PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
CONVERTS_TO,C0017346,GAG Gene,gngm,C0017973,Glycosaminoglycans,carb,PubMed
CONVERTS_TO,C0017346,GAG Gene,gngm,C0028959,Oligosaccharides,carb,PubMed
CONVERTS_TO,C0017973,Glycosaminoglycans,bacs,C0012611,Disaccharides,carb,PubMed
CONVERTS_TO,C0017973,Glycosaminoglycans,bacs,C0028959,Oligosaccharides,carb,PubMed
CONVERTS_TO,C0063100,hydroperoxide lyase,aapp,C0870883,Metabolites,bacs,PubMed
CONVERTS_TO,C0918027,OK-432,orch,C0012854,DNA,bacs,PubMed
CONVERTS_TO,C0003320,Antigens,bacs,C0030956,Peptides,gngm,PubMed
CONVERTS_TO,C0005390,Bile Acids,bacs,C0242958,DNA Adducts,bacs,PubMed
CONVERTS_TO,C0033551,Prostaglandin-Endoperoxide Synthase,aapp,C0072288,Prostaglandin H2,eico,PubMed
CONVERTS_TO,C0019134,Heparin,bacs,C0556151,Tetrasaccharide,carb,PubMed
CONVERTS_TO,C0025831,Methyltransferase,aapp,C1334043,Homologous Gene,gngm,PubMed
CONVERTS_TO,C0003036,Aniline,hops,C0020930,Imines,orch,PubMed
CONVERTS_TO,C0066400,methylmercaptan,hops,C0025617,Methane,orch,PubMed
CONVERTS_TO,C0057779,dibenzofuran,orch,C0036079,Salicylic Acid,orch,PubMed
CONVERTS_TO,C0023705,Lignin,bacs,C0870883,Metabolites,bacs,PubMed
CONVERTS_TO,C0001975,Alcohols,orch,C0007066,Carboxylic Acids,orch,PubMed
CONVERTS_TO,C0017861,Glycerol,bacs,C0017725,Glucose,bacs,PubMed
CONVERTS_TO,C0017911,Glycogen,bacs,C0017725,Glucose,bacs,PubMed
CONVERTS_TO,C0052389,aroclor 1242,orch,C0032447,Polychlorinated Biphenyls,hops,PubMed
CONVERTS_TO,C0049295,5-methyl-2-furfural,orch,C0016849,Furaldehyde,bacs,PubMed
CONVERTS_TO,C0025617,Methane,orch,C0007009,Carbon,elii,PubMed
CONVERTS_TO,C0024658,Maltose,bacs,C0017911,Glycogen,bacs,PubMed
CONVERTS_TO,C0041070,Trinitrotoluene,hops,C0007009,Carbon,elii,PubMed
CONVERTS_TO,C0002645,Amoxicillin,antb,C0003232,Antibiotics,antb,PubMed
CONVERTS_TO,C0002680,Ampicillin,antb,C0003232,Antibiotics,antb,PubMed
CONVERTS_TO,C0030840,Penicillin V,antb,C0003232,Antibiotics,antb,PubMed
CONVERTS_TO,C0051653,aminopenicillanic acid,antb,C0003232,Antibiotics,antb,PubMed
CONVERTS_TO,C0021521,Inorganic Chemicals,inch,C0014442,Enzymes,enzy,PubMed
CONVERTS_TO,C0002508,Amines,orch,C0001992,Aldehydes,orch,PubMed
CONVERTS_TO,C0002508,Amines,orch,C0005023,benzaldehyde,orch,PubMed
CONVERTS_TO,C0002508,Amines,orch,C0163697,caprylic aldehyde,orch,PubMed
CONVERTS_TO,C0002508,Amines,orch,C0610286,methyl phenylacetate,orch,PubMed
CONVERTS_TO,C0207712,methyl phenylglycine,orch,C0610286,methyl phenylacetate,orch,PubMed
CONVERTS_TO,C0056947,cytochrome C-550,aapp,C0030956,Peptides,gngm,PubMed
CONVERTS_TO,C0079941,Open Reading Frames,gngm,C0035668,RNA,bacs,PubMed
CONVERTS_TO,C0021236,indole,orch,C0025641,Metergoline,orch,PubMed
CONVERTS_TO,C0014707,Ergot Alkaloids,bacs,C0369632,Lysergic Acid,orch,PubMed
CONVERTS_TO,C0005457,"Binding Sites, Antibody",imft,C0030956,Peptides,gngm,PubMed
CONVERTS_TO,C0043316,Xanthine Dehydrogenase,aapp,C0162772,Reactive Oxygen Species,bacs,PubMed
CONVERTS_TO,C1289975,Androgenic steroid,horm,C0020235,Hydrazones,orch,PubMed
CONVERTS_TO,C0042896,Vitellogenins,aapp,C0013708,Yolk Proteins,gngm,PubMed
CONVERTS_TO,C0220839,Glutamate,aapp,C0016904,gamma-Aminobutyric Acid,gngm,PubMed
CONVERTS_TO,C0041945,Urease,aapp,C0002607,Ammonia,bacs,PubMed
CONVERTS_TO,C0111840,Cytochrome P-450 Monooxygenase,aapp,C0003695,Arachidonic Acid,eico,PubMed
CONVERTS_TO,C1512523,hydrochloride,inch,C0017054,gamma-Tocopherol,lipd,PubMed
CONVERTS_TO,C0623362,Matrix Metalloproteinases,aapp,C0079189,cytokine,gngm,PubMed
CONVERTS_TO,C0032136,Plasmids,bacs,C0164503,AmpC beta-lactamases,gngm,PubMed
CONVERTS_TO,C0058611,DNCO,orch,C0039882,Thiocarbamates,orch,PubMed
CONVERTS_TO,C0002132,allobarbital,orch,C0242958,DNA Adducts,bacs,PubMed
CONVERTS_TO,C0014939,Estrogens,horm,C0242958,DNA Adducts,bacs,PubMed
CONVERTS_TO,C0038730,Sulfenic Acids,orch,C0870883,Metabolites,bacs,PubMed
CONVERTS_TO,C0025252,Membrane Proteins,aapp,C0030956,Peptides,gngm,PubMed
CONVERTS_TO,C0669368,Nitric Oxide Synthase Type I,aapp,C0028128,Nitric Oxide,bacs,PubMed
CONVERTS_TO,C0015689,"Fatty Acids, Omega-3",bacs,C0013725,Eicosanoids,eico,PubMed
CONVERTS_TO,C0063105,hydrotalcite,inch,C0015919,Fertilizers,hops,PubMed
CONVERTS_TO,C0063491,indole-3-carbinol,orch,C1100708,diindolylmethane,orch,PubMed
CONVERTS_TO,C0005367,Bicarbonates,inch,C0220873,malate,bacs,PubMed
CONVERTS_TO,C1564227,Kelfizine,orch,C0001962,Ethanol,orch,PubMed
CONVERTS_TO,C0029923,Ovalbumin,aapp,C0003316,Epitopes,imft,PubMed
CONVERTS_TO,C0031453,Phenylalanine,aapp,C0035711,Transfer RNA,bacs,PubMed
CONVERTS_TO,C0022984,Laminin,aapp,C0030956,Peptides,gngm,PubMed
CONVERTS_TO,C0004359,Autoantigens,imft,C0030956,Peptides,gngm,PubMed
CONVERTS_TO,C0949738,Indole Alkaloids,orch,C0013227,Pharmaceutical Preparations,phsu,PubMed
CONVERTS_TO,C0053932,Bone Morphogenetic Proteins,aapp,C0030956,Peptides,gngm,PubMed
CONVERTS_TO,C0527443,bone morphogenetic protein 2,aapp,C0030956,Peptides,gngm,PubMed
CONVERTS_TO,C0125631,Leukotriene A4,bacs,C0023542,Leukotriene C4,bacs,PubMed
CONVERTS_TO,C0242417,Oxidase,aapp,C0162772,Reactive Oxygen Species,bacs,PubMed
CONVERTS_TO,C0085151,Amyloid beta-Protein Precursor,aapp,C0611285,"APP protein, human",gngm,PubMed
CONVERTS_TO,C0596581,fluoropyrimidine,phsu,C0016360,Fluorouracil,phsu,PubMed
CONVERTS_TO,C0312743,Complement component,aapp,C0008013,Chemotactic Factors,bacs,PubMed
CONVERTS_TO,C0220839,Glutamate,aapp,C0220918,succinate,orch,PubMed
CONVERTS_TO,C0124235,itaconate,orch,C0220918,succinate,orch,PubMed
CONVERTS_TO,C0041249,Tryptophan,aapp,C0021236,indole,orch,PubMed
CONVERTS_TO,C0060234,Prussian blue,inch,C0009148,Cobalt,bacs,PubMed
CONVERTS_TO,C0077431,tryptamine,nsba,C0022164,Isocyanides,inch,PubMed
CONVERTS_TO,C0162969,Chitosan,carb,C0007009,Carbon,elii,PubMed
CONVERTS_TO,C0034284,Pyrimidine,orch,C0381187,BODIPY,orch,PubMed
CONVERTS_TO,C0027270,Nicotinamide adenine dinucleotide (NAD),bacs,C0162772,Reactive Oxygen Species,bacs,PubMed
CONVERTS_TO,C0023689,Ligase,aapp,C0038734,Sulfhydryl Compounds,orch,PubMed
CONVERTS_TO,C0059030,ellagitannin,orch,C0870883,Metabolites,bacs,PubMed
CONVERTS_TO,C0013900,Ellagic Acid,bacs,C0870883,Metabolites,bacs,PubMed
CONVERTS_TO,C0220839,Glutamate,aapp,C0051395,alpha-ketoglutaric acid,orch,PubMed
CONVERTS_TO,C0597668,vitamin antagonist,phsu,C1566558,Natural Products,bacs,PubMed
CONVERTS_TO,C0041485,Tyrosine,aapp,C1566558,Natural Products,bacs,PubMed
CONVERTS_TO,C0041249,Tryptophan,aapp,C0258434,brassinin,orch,PubMed
CONVERTS_TO,C0042479,Venoms,bacs,C0030956,Peptides,gngm,PubMed
CONVERTS_TO,C0000975,Acetate,orch,C0772162,AROMATICS,orch,PubMed
CONVERTS_TO,C0037494,Sodium Chloride,bacs,C0286152,perovskite,inch,PubMed
CONVERTS_TO,C0075821,tartaric acid,hops,C0039894,Thioethers,orch,PubMed
CONVERTS_TO,C0078032,vanillin,orch,C0359916,Phenolics,orch,PubMed
CONVERTS_TO,C0015846,Fentanyl,orch,C0011684,Designer Drugs,hops,PubMed
CONVERTS_TO,C0040077,Thymidine,bacs,C0969469,phosphoramidite,orch,PubMed
CONVERTS_TO,C0007332,Caseins,aapp,C0030956,Peptides,gngm,PubMed
CONVERTS_TO,C0061200,geniposide,orch,C0304518,Aglycone,orch,PubMed
CONVERTS_TO,C0023705,Lignin,bacs,C1510940,Aromatic Compounds,orch,PubMed
CONVERTS_TO,C0015689,"Fatty Acids, Omega-3",bacs,C1568094,"5S,12R,18R-trihydroxy-6Z,8E,10E,14Z,16E-eicosapentaenoic acid",orch,PubMed
CONVERTS_TO,C0069676,osteopontin,aapp,C0597551,synthetic peptide,gngm,PubMed
CONVERTS_TO,C0028128,Nitric Oxide,bacs,C0870883,Metabolites,bacs,PubMed
CONVERTS_TO,C0028908,Oils,lipd,C0015684,Fatty Acids,bacs,PubMed
CONVERTS_TO,C0022192,Isoleucine,aapp,C0017767,Glucosinolates,bacs,PubMed
CONVERTS_TO,C0621304,valylleucine,aapp,C0017767,Glucosinolates,bacs,PubMed
CONVERTS_TO,C0652942,methionylphenylalanine,aapp,C0017767,Glucosinolates,bacs,PubMed
CONVERTS_TO,C1334043,Homologous Gene,aapp,C0017767,Glucosinolates,bacs,PubMed
CONVERTS_TO,C1134558,Chinese herbs,phsu,C0010206,coumarin,orch,PubMed
CONVERTS_TO,C1305923,Polypeptides,aapp,C0022023,Ions,elii,PubMed
CONVERTS_TO,C0002482,Amides,orch,C0596514,enolate,orch,PubMed
CONVERTS_TO,C0023779,Lipids,lipd,C0003313,Antigen-Antibody Complex,gngm,PubMed
CONVERTS_TO,C0025646,Methionine,aapp,C0019878,homocysteine,aapp,PubMed
CONVERTS_TO,C0025646,Methionine,aapp,C0002520,Amino Acids,gngm,PubMed
CONVERTS_TO,C0023749,Linoleic Acid,bacs,C0014898,Esters,orch,PubMed
CONVERTS_TO,C0021187,Indazoles,orch,C0006864,Cannabinoids,orch,PubMed
CONVERTS_TO,C0021187,Indazoles,orch,C0022634,Ketones,orch,PubMed
CONVERTS_TO,C0073561,Rolipram,orch,C0010502,Cyanamide,inch,PubMed
CONVERTS_TO,C0022023,Ions,elii,C0919332,Magnetite,inch,PubMed
CONVERTS_TO,C1566558,Natural Products,bacs,C1563758,Tubulin Inhibitors,gngm,PubMed
CONVERTS_TO,C0056060,Coconut Oil,lipd,C0014898,Esters,orch,PubMed
