PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_ADMINISTERED_TO,C0041618,Ultrasonography,diap,C0043210,Woman,humn,PubMed
NEG_ADMINISTERED_TO,C0032375,"Poliovirus Vaccine, Oral",imft,C0008059,Child,humn,PubMed
NEG_ADMINISTERED_TO,C0018747,Health Services,hlca,C0087132,Underinsured,humn,PubMed
NEG_ADMINISTERED_TO,C0013227,Pharmaceutical Preparations,phsu,C1511501,Control Animal,anim,PubMed
NEG_ADMINISTERED_TO,C0087111,Therapeutic procedure,topp,C0034693,Rattus norvegicus,mamm,PubMed
NEG_ADMINISTERED_TO,C0850397,"Information, health",hlca,C0870221,Boys,popg,PubMed
NEG_ADMINISTERED_TO,C0850397,"Information, health",hlca,C0870604,Girls,humn,PubMed
NEG_ADMINISTERED_TO,C0042210,Vaccines,imft,C0025266,Male population group,humn,PubMed
NEG_ADMINISTERED_TO,C0018964,Hematoxylin,orch,C0506994,Goblet Cells,cell,PubMed
NEG_ADMINISTERED_TO,C0033081,"Prescriptions, Drug",topp,C0038492,student,humn,PubMed
NEG_ADMINISTERED_TO,C0730920,Thymoglobulin,imft,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0041618,Ultrasonography,diap,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0018747,Health Services,hlca,C0031831,Physicians,humn,PubMed
NEG_ADMINISTERED_TO,C0021083,Immunotherapy,topp,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0206788,zorubicin,antb,C0680022,member,humn,PubMed
NEG_ADMINISTERED_TO,C0120107,Goserelin,phsu,C0043210,Woman,humn,PubMed
NEG_ADMINISTERED_TO,C0887947,"Antiretroviral Therapy, Highly Active",topp,C0025266,Male population group,humn,PubMed
NEG_ADMINISTERED_TO,C0006560,C-reactive protein,imft,C0026809,Mus,mamm,PubMed
NEG_ADMINISTERED_TO,C0013227,Pharmaceutical Preparations,phsu,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0009262,Colchicine,orch,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0087111,Therapeutic procedure,topp,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C1364818,APP gene,aapp,C0039194,T-Lymphocyte,cell,PubMed
NEG_ADMINISTERED_TO,C0041618,Ultrasonography,diap,C0282122,Respondents,humn,PubMed
NEG_ADMINISTERED_TO,C0013227,Pharmaceutical Preparations,phsu,C0008059,Child,humn,PubMed
NEG_ADMINISTERED_TO,C0083032,Interleukin 7 Receptor,aapp,C0039194,T-Lymphocyte,cell,PubMed
NEG_ADMINISTERED_TO,C0684167,hypertensive medication,phsu,C0679646,Participant,humn,PubMed
NEG_ADMINISTERED_TO,C0216784,valsartan,orch,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0677965,Video-Assisted Surgery,topp,C1257890,Population Group,humn,PubMed
NEG_ADMINISTERED_TO,C0010711,Cytarabine,hops,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0013216,Pharmacotherapy,topp,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0010132,Corticotropin-Releasing Hormone,aapp,C0027882,Neurons,cell,PubMed
NEG_ADMINISTERED_TO,C0031237,Pertussis Vaccine,imft,C0205653,Adolescent,humn,PubMed
NEG_ADMINISTERED_TO,C0600558,Neoadjuvant Therapy,topp,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0042210,Vaccines,imft,C0029235,Organism,orgm,PubMed
NEG_ADMINISTERED_TO,C0003232,Antibiotics,antb,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0085105,Breast Self-Examination,diap,C0238703,athlete,humn,PubMed
NEG_ADMINISTERED_TO,C0436138,Testicular self-examination,hlca,C0238703,athlete,humn,PubMed
NEG_ADMINISTERED_TO,C0001617,Adrenal Cortex Hormones,horm,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0302583,Iron,bacs,C0021270,Infant,humn,PubMed
NEG_ADMINISTERED_TO,C1522577,follow-up,hlca,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0013227,Pharmaceutical Preparations,phsu,C0001675,Adult,humn,PubMed
NEG_ADMINISTERED_TO,C0040808,Treatment Protocols,topp,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0383429,alemtuzumab,imft,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0033080,prescription procedure,hlca,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C1273869,Intervention regimes,hlca,C0009932,Control Groups,humn,PubMed
NEG_ADMINISTERED_TO,C0009871,Contraceptive Agents,phsu,C0043210,Woman,humn,PubMed
NEG_ADMINISTERED_TO,C0003281,anticoagulation,topp,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0011946,Dialysis procedure,topp,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0018284,Growth Factor,bacs,C0007634,Cells,cell,PubMed
NEG_ADMINISTERED_TO,C0011900,Diagnosis,hlca,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0011923,Diagnostic Imaging,diap,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0013798,Electrocardiogram,diap,C0679646,Participant,humn,PubMed
NEG_ADMINISTERED_TO,C0024485,Magnetic Resonance Imaging,diap,C0679646,Participant,humn,PubMed
NEG_ADMINISTERED_TO,C0087111,Therapeutic procedure,topp,C0027361,Persons,humn,PubMed
NEG_ADMINISTERED_TO,C0008320,Cholecystectomy,topp,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0042890,Vitamins,orch,C0679646,Participant,humn,PubMed
NEG_ADMINISTERED_TO,C1261322,Assessment procedure,hlca,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0005558,Biopsy,diap,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C1261322,Assessment procedure,hlca,C0027361,Persons,humn,PubMed
NEG_ADMINISTERED_TO,C0043047,Water,inch,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0035525,Ribavirin,phsu,C0033011,Pregnant Women,humn,PubMed
NEG_ADMINISTERED_TO,C0242402,Opioids,hops,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0038636,Sucrose,bacs,C0034693,Rattus norvegicus,mamm,PubMed
NEG_ADMINISTERED_TO,C0700876,MK-486,orch,C0012984,Canis familiaris,mamm,PubMed
NEG_ADMINISTERED_TO,C0019932,Hormones,horm,C0034693,Rattus norvegicus,mamm,PubMed
NEG_ADMINISTERED_TO,C0014939,Estrogens,horm,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0042211,"Vaccines, Attenuated",imft,C0008059,Child,humn,PubMed
NEG_ADMINISTERED_TO,C0677881,Cytotoxic Chemotherapy,topp,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0013103,Drainage procedure,topp,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0150457,Anticoagulant therapy,topp,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0013227,Pharmaceutical Preparations,phsu,C0870869,Medical Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0547070,Ablation,topp,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0003195,Anti-Arrhythmia Agents,phsu,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0194073,Kidney biopsy,diap,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0003641,Aprotinin,bacs,C0030705,Patients,humn,PubMed
NEG_ADMINISTERED_TO,C0030940,Peptide Hydrolases,aapp,C0007634,Cells,cell,PubMed
NEG_ADMINISTERED_TO,C0079459,Granulocyte Colony-Stimulating Factor,imft,C0030705,Patients,humn,PubMed
