PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_ASSOCIATED_WITH,C0035668,RNA,bacs,C0006826,Malignant Neoplasms,neop,PubMed
NEG_ASSOCIATED_WITH,C0007412,Catecholamines,nsba,C0026846,Muscular Atrophy,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0017710,Glucocorticoids,horm,C0026846,Muscular Atrophy,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0082920,HLA-G antigen,aapp,C0178874,Neoplasm progression,neop,PubMed
NEG_ASSOCIATED_WITH,C0019602,Histidine,aapp,C0012634,Disease,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0012854,DNA,bacs,C0007137,Squamous cell carcinoma,neop,PubMed
NEG_ASSOCIATED_WITH,C0012854,DNA,bacs,C0022602,Actinic keratosis,neop,PubMed
NEG_ASSOCIATED_WITH,C0752046,Single Nucleotide Polymorphism,nusq,C0006142,Malignant neoplasm of breast,neop,PubMed
NEG_ASSOCIATED_WITH,C0042172,E-Cadherin,aapp,C0206692,"Carcinoma, Lobular",neop,PubMed
NEG_ASSOCIATED_WITH,C0105770,beta catenin,aapp,C0206692,"Carcinoma, Lobular",neop,PubMed
NEG_ASSOCIATED_WITH,C0108280,alpha Catenin,aapp,C0206692,"Carcinoma, Lobular",neop,PubMed
NEG_ASSOCIATED_WITH,C0033684,Proteins,aapp,C0027651,Neoplasm,neop,PubMed
NEG_ASSOCIATED_WITH,C0067762,N-Acetylneuraminic Acid,bacs,C0006826,Malignant Neoplasms,neop,PubMed
NEG_ASSOCIATED_WITH,C0005615,Birth,orgf,C0021167,Incontinence,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0596707,histocompatibility gene,gngm,C0018213,Graves' Disease,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0030190,Plasminogen Activator Inhibitor 1,aapp,C0242184,Hypoxia,patf,PubMed
NEG_ASSOCIATED_WITH,C0242827,Minisatellite Repeats,bacs,C1263846,Attention deficit hyperactivity disorder,mobd,PubMed
NEG_ASSOCIATED_WITH,C0002085,Alleles,gngm,C1263846,Attention deficit hyperactivity disorder,mobd,PubMed
NEG_ASSOCIATED_WITH,C0017337,Genes,gngm,C0040137,Thyroid Nodule,neop,PubMed
NEG_ASSOCIATED_WITH,C0450442,Agent,chvf,C0600688,Toxic effect,inpo,PubMed
NEG_ASSOCIATED_WITH,C0039082,Syndrome,dsyn,C0026882,Mutation,genf,PubMed
NEG_ASSOCIATED_WITH,C0042890,Vitamins,vita,C0162429,Malnutrition,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0018591,Haplotypes,orga,C0085580,Essential Hypertension,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0017337,Genes,gngm,C0278701,Gastric Adenocarcinoma,neop,PubMed
NEG_ASSOCIATED_WITH,C0752046,Single Nucleotide Polymorphism,nusq,C0011854,"Diabetes Mellitus, Insulin-Dependent",dsyn,PubMed
NEG_ASSOCIATED_WITH,C1563761,"Genes, Mitochondrial",gngm,C0028960,Oligospermia,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0006631,Cadherins,aapp,C0007097,Carcinoma,neop,PubMed
NEG_ASSOCIATED_WITH,C0108280,alpha Catenin,aapp,C0007097,Carcinoma,neop,PubMed
NEG_ASSOCIATED_WITH,C0233844,Clumsiness,sosy,C0236792,Asperger Syndrome,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0040329,Tobacco,hops,C0024305,"Lymphoma, Non-Hodgkin's",neop,PubMed
NEG_ASSOCIATED_WITH,C0443640,Specific antibody,aapp,C0276640,Transmissible mink encephalopathy,dsyn,PubMed
NEG_ASSOCIATED_WITH,C1101610,MicroRNAs,bacs,C0006826,Malignant Neoplasms,neop,PubMed
NEG_ASSOCIATED_WITH,C0003622,Appetite Regulation,orgf,C0003123,Anorexia,sosy,PubMed
NEG_ASSOCIATED_WITH,C0002395,Alzheimer's Disease,dsyn,C0026882,Mutation,genf,PubMed
NEG_ASSOCIATED_WITH,C0037570,"Sodium, Dietary",inch,C0400966,Non-alcoholic fatty liver,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0037570,"Sodium, Dietary",inch,C0012634,Disease,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0086132,Depressive Symptoms,sosy,C0040558,Toxoplasmosis,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0026578,Mosaicism,orga,C0012634,Disease,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0021368,Inflammation,patf,C0582263,Structural protein,gngm,PubMed
NEG_ASSOCIATED_WITH,C0282312,Bubonic Plague,dsyn,C0043408,Yersinia pestis,bact,PubMed
NEG_ASSOCIATED_WITH,C0017347,"Genes, Homeobox",gngm,C0280100,Solid tumor,neop,PubMed
NEG_ASSOCIATED_WITH,C0333670,Glycogen depletion,patf,C0021760,Interleukin-6,gngm,PubMed
NEG_ASSOCIATED_WITH,C0001617,Adrenal Cortex Hormones,horm,C0042029,Urinary tract infection,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0245382,Galectin 3,aapp,C0023487,Acute Promyelocytic Leukemia,neop,PubMed
NEG_ASSOCIATED_WITH,C1384666,hearing impairment,sosy,C0003873,Rheumatoid Arthritis,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0079189,cytokine,aapp,C1457887,Symptoms,sosy,PubMed
NEG_ASSOCIATED_WITH,C0449911,View,orga,C0012634,Disease,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0806140,Flow,orga,C0022116,Ischemia,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0001779,Age,orga,C0021359,Infertility,dsyn,PubMed
NEG_ASSOCIATED_WITH,C1456473,Bound copper,inch,C0019202,Hepatolenticular Degeneration,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0018270,Growth,orgf,C1457887,Symptoms,sosy,PubMed
NEG_ASSOCIATED_WITH,C0020268,Hydrocortisone,horm,C0001622,Adrenal Gland Hyperfunction,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0037817,Speech,orgf,C1457887,Symptoms,sosy,PubMed
NEG_ASSOCIATED_WITH,C0024337,Lysine,aapp,C0006826,Malignant Neoplasms,neop,PubMed
NEG_ASSOCIATED_WITH,C0079460,Granulocyte-Macrophage Colony-Stimulating Factor,aapp,C0002103,Allergic rhinitis NOS,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0012854,DNA,bacs,C0007131,"Carcinoma, Non-Small-Cell Lung",neop,PubMed
NEG_ASSOCIATED_WITH,C0383327,Interleukin-18,aapp,C0024143,Lupus Nephritis,dsyn,PubMed
NEG_ASSOCIATED_WITH,C0079399,Gender,orga,C0020538,Hypertensive disease,dsyn,PubMed
