PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_AUGMENTS,C0006674,Calcitriol,horm,C0175895,calcification,patf,PubMed
NEG_AUGMENTS,C0010656,caspase,aapp,C0026255,Mitosis,celf,PubMed
NEG_AUGMENTS,C0033308,Progesterone,phsu,C0018270,Growth,orgf,PubMed
NEG_AUGMENTS,C0028174,Nitrogenase,aapp,C0596836,light intensity,npop,PubMed
NEG_AUGMENTS,C0003765,Arginine,aapp,C1140999,Contraction,patf,PubMed
NEG_AUGMENTS,C0019168,Hepatitis B Surface Antigens,phsu,C1155229,humoral immune response,celf,PubMed
NEG_AUGMENTS,C0242546,Rauwolscine,orch,C0042396,Vascular constriction (function),ortf,PubMed
NEG_AUGMENTS,C0028128,Nitric Oxide,bacs,C0034059,Pulmonary Diffusing Capacity,ortf,PubMed
NEG_AUGMENTS,C0243192,agonists,phsu,C0042401,Vasodilation,phsf,PubMed
NEG_AUGMENTS,C0055817,citrate carrier,aapp,C0023884,Liver,bpoc,PubMed
NEG_AUGMENTS,C0080125,Catalytic RNA,nnon,C0227531,Ito cell,cell,PubMed
NEG_AUGMENTS,C0037657,Somatomedins,aapp,C1160185,transduction,orgf,PubMed
NEG_AUGMENTS,C0041385,Tunicamycin,antb,C1171362,Protein Expression,genf,PubMed
NEG_AUGMENTS,C1364818,APP gene,gngm,C1171362,Protein Expression,genf,PubMed
NEG_AUGMENTS,C0023689,Ligase,aapp,C0162638,Apoptosis,celf,PubMed
NEG_AUGMENTS,C0007012,Carbon Dioxide,inch,C0018270,Growth,orgf,PubMed
NEG_AUGMENTS,C0030817,Penicillamine,aapp,C0206249,Long-Term Potentiation,ortf,PubMed
NEG_AUGMENTS,C0079717,Lymphocyte Function-Associated Antigen-1,aapp,C0001511,Adhesions,acab,PubMed
NEG_AUGMENTS,C0054845,casein hydrolysate,aapp,C0018270,Growth,orgf,PubMed
NEG_AUGMENTS,C0282774,pimagedine,orch,C0020542,"Hypertension, Pulmonary",dsyn,PubMed
NEG_AUGMENTS,C0002068,Alkenes,orch,C0376525,Dimerization,npop,PubMed
NEG_AUGMENTS,C0028128,Nitric Oxide,inch,C0020649,Hypotension,fndg,PubMed
NEG_AUGMENTS,C0013227,Pharmaceutical Preparations,phsu,C0001811,Aging,orgf,PubMed
NEG_AUGMENTS,C0008359,Cholera Vaccine,phsu,C0542243,Toxic reaction (NOS),fndg,PubMed
NEG_AUGMENTS,C0014563,Epinephrine,horm,C0042769,Virus Diseases,dsyn,PubMed
NEG_AUGMENTS,C0014264,Endotoxins,carb,C0600688,Toxic effect,inpo,PubMed
NEG_AUGMENTS,C0009498,Complement System Proteins,aapp,C0598935,Tumor Initiation,neop,PubMed
NEG_AUGMENTS,C0162772,Reactive Oxygen Species,bacs,C0242606,Oxidative Stress,comd,PubMed
NEG_AUGMENTS,C0069562,rebamipide,phsu,C0597295,Protein Biosynthesis,moft,PubMed
NEG_AUGMENTS,C0030095,Oxytocin,aapp,C1181159,Apical part of apical segmental vein,bpoc,PubMed
NEG_AUGMENTS,C0596922,methyl group,orch,C0042784,Viscosity,npop,PubMed
NEG_AUGMENTS,C0053932,Bone Morphogenetic Proteins,aapp,C0007595,Cell Growth,celf,PubMed
NEG_AUGMENTS,C0025598,Metformin,phsu,C1521754,Protein Acetylation,moft,PubMed
NEG_AUGMENTS,C0031617,Lecithin,lipd,C0024432,macrophage,cell,PubMed
NEG_AUGMENTS,C0011479,Deoxycholic Acid,phsu,C0023884,Liver,bpoc,PubMed
NEG_AUGMENTS,C0011479,Deoxycholic Acid,phsu,C0227525,Hepatocyte,cell,PubMed
NEG_AUGMENTS,C0084111,polybis(carbophenoxypropane),orch,C0596897,membrane activity,celf,PubMed
NEG_AUGMENTS,C0040615,Antipsychotic Agents,phsu,C0149623,BEHAVIOR DISTURBANCE,mobd,PubMed
NEG_AUGMENTS,C0055103,cerebellar soluble lectin,aapp,C1257986,Cross-Presentation,celf,PubMed
NEG_AUGMENTS,C0023810,Lipopolysaccharides,lipd,C0231441,Immobile,fndg,PubMed
NEG_AUGMENTS,C0042839,Vitamin A,orch,C0022567,keratinocyte,cell,PubMed
NEG_AUGMENTS,C0016712,Freund's Adjuvant,imft,C0596402,cytotoxicity,comd,PubMed
NEG_AUGMENTS,C0042287,Valinomycin,aapp,C0025251,Membrane Potentials,celf,PubMed
NEG_AUGMENTS,C0020268,Hydrocortisone,phsu,C0001613,Adrenal Cortex,bpoc,PubMed
NEG_AUGMENTS,C0520481,Saponin,strd,C0016315,Fluorescence,npop,PubMed
NEG_AUGMENTS,C0014939,Estrogens,horm,C0018270,Growth,orgf,PubMed
NEG_AUGMENTS,C0301818,Steroid hormone,strd,C0018270,Growth,orgf,PubMed
NEG_AUGMENTS,C0002482,Amides,orch,C1160577,acid secretion,celf,PubMed
NEG_AUGMENTS,C0049579,N6-furfuryladenine,phsu,C1150906,phenylalanine ammonia-lyase activity,moft,PubMed
NEG_AUGMENTS,C0061256,gibberellic acid,horm,C1150906,phenylalanine ammonia-lyase activity,moft,PubMed
NEG_AUGMENTS,C0936060,indoleacetic acid,horm,C1150906,phenylalanine ammonia-lyase activity,moft,PubMed
NEG_AUGMENTS,C0036323,Schistosomiasis,dsyn,C0018889,Helminthiasis,dsyn,PubMed
NEG_AUGMENTS,C0243192,agonists,phsu,C0233494,Tension,mobd,PubMed
NEG_AUGMENTS,C0005321,Betazole,orch,C0015283,Exocytosis,celf,PubMed
NEG_AUGMENTS,C0005404,Bile Salts,strd,C0036760,Serous Membrane,tisu,PubMed
NEG_AUGMENTS,C0004259,Atropine,orch,C0232338,Blood flow,orgf,PubMed
NEG_AUGMENTS,C0012522,Diphenhydramine,orch,C0232338,Blood flow,orgf,PubMed
NEG_AUGMENTS,C0033497,Propranolol,orch,C0232338,Blood flow,orgf,PubMed
NEG_AUGMENTS,C0022023,Ions,elii,C0031164,Permeability,npop,PubMed
NEG_AUGMENTS,C0040521,Toxaphene,hops,C0031164,Permeability,npop,PubMed
NEG_AUGMENTS,C0018242,Griseofulvin,antb,C0311392,Physical findings,sosy,PubMed
NEG_AUGMENTS,C0028630,Nucleotides,nnon,C0598312,DNA biosynthesis,genf,PubMed
NEG_AUGMENTS,C0041921,Uracil Nucleotides,nnon,C0598312,DNA biosynthesis,genf,PubMed
NEG_AUGMENTS,C0024730,Mannitol,carb,C0221102,Excretory function,phsf,PubMed
NEG_AUGMENTS,C0023870,Lithium,elii,C0596901,Membrane,celc,PubMed
NEG_AUGMENTS,C0597277,Potassium Ions,elii,C0596901,Membrane,celc,PubMed
NEG_AUGMENTS,C0001962,Ethanol,orch,C0008625,Chromosome abnormality,comd,PubMed
NEG_AUGMENTS,C0023570,Levodopa,aapp,C0042531,Verbal Learning,menp,PubMed
NEG_AUGMENTS,C0000190,2'-CMP,nnon,C0301641,Macromolecular alteration,moft,PubMed
NEG_AUGMENTS,C0042002,Uridine Monophosphate,bacs,C0301641,Macromolecular alteration,moft,PubMed
NEG_AUGMENTS,C0170660,2'-adenylic acid,nnon,C0301641,Macromolecular alteration,moft,PubMed
NEG_AUGMENTS,C0038581,Neurokinin A,aapp,C0020291,Hydrolysis,npop,PubMed
NEG_AUGMENTS,C0038585,Substance P,aapp,C0020291,Hydrolysis,npop,PubMed
NEG_AUGMENTS,C0000184,"2',3'-Cyclic-Nucleotide Phosphodiesterases",aapp,C0011164,Degenerative abnormality,patf,PubMed
NEG_AUGMENTS,C0037659,Somatostatin,aapp,C0015376,Extravasation,patf,PubMed
NEG_AUGMENTS,C0139706,Quinolinate,orch,C0006104,Brain,bpoc,PubMed
NEG_AUGMENTS,C0057389,dendrotoxin,aapp,C0028778,Obstruction,patf,PubMed
NEG_AUGMENTS,C0109278,Charybdotoxin,aapp,C0028778,Obstruction,patf,PubMed
NEG_AUGMENTS,C0054537,calphostin C,orch,C0243144,uptake,phsf,PubMed
NEG_AUGMENTS,C0078460,WEB 2086,orch,C0232164,Cardiac function,ortf,PubMed
NEG_AUGMENTS,C0038838,Superoxide Dismutase,aapp,C0162524,Chemiluminescence,npop,PubMed
NEG_AUGMENTS,C0022714,Kinins,aapp,C0221102,Excretory function,phsf,PubMed
NEG_AUGMENTS,C0031586,Phorbol Esters,hops,C0031715,Phosphorylation,moft,PubMed
NEG_AUGMENTS,C0003765,Arginine,aapp,C0034965,Regional Blood Flow,ortf,PubMed
NEG_AUGMENTS,C1522428,Recombinant Interleukin-1,aapp,C0237820,Recovery,orgf,PubMed
NEG_AUGMENTS,C0022023,Ions,elii,C0041625,Ultraviolet Rays,npop,PubMed
NEG_AUGMENTS,C0025677,Methotrexate,phsu,C0376669,DNA Fragmentation,moft,PubMed
NEG_AUGMENTS,C0596581,fluoropyrimidine,nnon,C0376669,DNA Fragmentation,moft,PubMed
NEG_AUGMENTS,C0597573,thiopurine,phsu,C0376669,DNA Fragmentation,moft,PubMed
NEG_AUGMENTS,C0014027,Enalaprilat,aapp,C0042401,Vasodilation,phsf,PubMed
NEG_AUGMENTS,C0162326,DNA Sequence,nnon,C0032592,Polyribosomes,celc,PubMed
NEG_AUGMENTS,C0060527,fluorescein isothiocyanate dextran,carb,C0012222,Diffusion,npop,PubMed
NEG_AUGMENTS,C0126264,lucifer yellow CH,orch,C0012222,Diffusion,npop,PubMed
NEG_AUGMENTS,C0009014,Clonidine,orch,C0037313,Sleep,orgf,PubMed
NEG_AUGMENTS,C0010749,CYTOCHROME C,aapp,C0035203,Respiration,phsf,PubMed
NEG_AUGMENTS,C0002006,Aldosterone,phsu,C1159690,sodium ion transport,celf,PubMed
NEG_AUGMENTS,C0006675,Calcium,bacs,C1148926,adenosinetriphosphatase activity,moft,PubMed
NEG_AUGMENTS,C0771648,Poractant alfa,orch,C0429627,Oxygen uptake,fndg,PubMed
NEG_AUGMENTS,C0023810,Lipopolysaccharides,lipd,C0871786,Internalization,menp,PubMed
NEG_AUGMENTS,C0023810,Lipopolysaccharides,lipd,C0947286,CD14+ cell,cell,PubMed
NEG_AUGMENTS,C0027303,NADP,bacs,C1148916,nucleotide binding,moft,PubMed
NEG_AUGMENTS,C0017710,Glucocorticoids,strd,C0232478,Ingestion,biof,PubMed
NEG_AUGMENTS,C0701303,R-38486,strd,C0232478,Ingestion,biof,PubMed
NEG_AUGMENTS,C0733854,Intralipid,lipd,C0014272,Energy Metabolism,phsf,PubMed
NEG_AUGMENTS,C0003682,Arabinose,carb,C0007634,Cells,cell,PubMed
NEG_AUGMENTS,C0001047,Acetylcysteine,aapp,C0026004,Micronucleus,celc,PubMed
NEG_AUGMENTS,C0040057,Thromboxane A2,eico,C0002103,Allergic rhinitis NOS,dsyn,PubMed
NEG_AUGMENTS,C0043481,Zinc,elii,C0016030,Fibroblasts,cell,PubMed
NEG_AUGMENTS,C0001041,Acetylcholine,orch,C0596901,Membrane,celc,PubMed
NEG_AUGMENTS,C0202474,Strychnine,orch,C0596901,Membrane,celc,PubMed
NEG_AUGMENTS,C0010738,Cytochalasin D,bacs,C0031715,Phosphorylation,moft,PubMed
NEG_AUGMENTS,C0376597,Dietary Sucrose,carb,C1272641,Systemic arterial pressure,fndg,PubMed
NEG_AUGMENTS,C0025545,Metallothionein,aapp,C0023884,Liver,bpoc,PubMed
NEG_AUGMENTS,C0023820,Lipoproteins,aapp,C0031164,Permeability,npop,PubMed
NEG_AUGMENTS,C0064294,Fibroblast Growth Factor 7,aapp,C0040649,"Transcription, Genetic",genf,PubMed
NEG_AUGMENTS,C0815278,neurosteroids,strd,C0006104,Brain,bpoc,PubMed
NEG_AUGMENTS,C0008838,Cisplatin,inch,C0007634,Cells,cell,PubMed
NEG_AUGMENTS,C0017725,Glucose,bacs,C0376669,DNA Fragmentation,moft,PubMed
NEG_AUGMENTS,C0031469,Phenylephrine,orch,C1522460,Thoracic aorta,bpoc,PubMed
NEG_AUGMENTS,C0733521,Ara-C,nnon,C0011065,Cessation of life,orgf,PubMed
NEG_AUGMENTS,C0022984,Laminin,aapp,C0007577,Cell Adhesion,celf,PubMed
NEG_AUGMENTS,C0024337,Lysine,aapp,C0007577,Cell Adhesion,celf,PubMed
NEG_AUGMENTS,C0024337,Lysine,aapp,C1159970,neuron differentiation,celf,PubMed
NEG_AUGMENTS,C0022984,Laminin,aapp,C1159970,neuron differentiation,celf,PubMed
NEG_AUGMENTS,C0040905,Trichloroethylene,orch,C0205734,"Diabetes, Autoimmune",dsyn,PubMed
NEG_AUGMENTS,C0040905,Trichloroethylene,orch,C0011847,Diabetes,dsyn,PubMed
NEG_AUGMENTS,C0034392,Quercetin,orch,C0007634,Cells,cell,PubMed
NEG_AUGMENTS,C0002006,Aldosterone,horm,C0031715,Phosphorylation,moft,PubMed
NEG_AUGMENTS,C0897751,sphingosine kinase-1,gngm,C0022646,Kidney,bpoc,PubMed
NEG_AUGMENTS,C0073328,ribosomal protein S3,aapp,C1148673,DNA Binding,genf,PubMed
NEG_AUGMENTS,C0003289,Antidepressive Agents,phsu,C0814002,Neural Development,orgf,PubMed
NEG_AUGMENTS,C0041942,Urea,bacs,C0023895,Liver diseases,dsyn,PubMed
NEG_AUGMENTS,C0142281,Siderophores,bacs,C1510847,Alkalinization,moft,PubMed
NEG_AUGMENTS,C0014964,Ethambutol,orch,C0042789,Vision,orgf,PubMed
NEG_AUGMENTS,C0001367,Acyclovir,nnon,C0017471,Germ Cells,cell,PubMed
NEG_AUGMENTS,C0243192,agonists,phsu,C0038856,Suppressor T Lymphocyte,cell,PubMed
NEG_AUGMENTS,C0032136,Plasmids,nnon,C1182707,Hair root,bpoc,PubMed
NEG_AUGMENTS,C0175776,Dichlorophenoxyacetic acid,orch,C0018270,Growth,orgf,PubMed
NEG_AUGMENTS,C0041004,Triglycerides,lipd,C1159442,sporulation,celf,PubMed
NEG_AUGMENTS,C0012963,Dobutamine,orch,C0871470,Systolic Pressure,orgf,PubMed
NEG_AUGMENTS,C0017725,Glucose,bacs,C0596620,glucose metabolism,moft,PubMed
NEG_AUGMENTS,C0050465,acetovanillone,orch,C0007620,Cell Survival,celf,PubMed
NEG_AUGMENTS,C0596902,Membrane Transport Proteins,aapp,C0018270,Growth,orgf,PubMed
NEG_AUGMENTS,C0079904,NF-kappa B,aapp,C0007620,Cell Survival,celf,PubMed
NEG_AUGMENTS,C0036751,Serotonin,orch,C0001272,Action Potentials,celf,PubMed
NEG_AUGMENTS,C0597357,receptor,aapp,C0001272,Action Potentials,celf,PubMed
NEG_AUGMENTS,C0017710,Glucocorticoids,strd,C0175518,Nucleus solitarius,bpoc,PubMed
NEG_AUGMENTS,C0033755,Proviruses,nnon,C0026255,Mitosis,celf,PubMed
NEG_AUGMENTS,C0025242,Memantine,orch,C0206249,Long-Term Potentiation,ortf,PubMed
NEG_AUGMENTS,C0021641,Insulin,aapp,C0031715,Phosphorylation,moft,PubMed
NEG_AUGMENTS,C0021641,Insulin,aapp,C0178666,glucose transport,celf,PubMed
NEG_AUGMENTS,C0068980,norethindrone acetate,phsu,C0162638,Apoptosis,celf,PubMed
NEG_AUGMENTS,C0038636,Sucrose,bacs,C0015695,Fatty Liver,dsyn,PubMed
NEG_AUGMENTS,C0790024,Corn syrup,phsu,C0015695,Fatty Liver,dsyn,PubMed
NEG_AUGMENTS,C0790024,Corn syrup,phsu,C0333574,Fatty deposition,patf,PubMed
NEG_AUGMENTS,C0038636,Sucrose,bacs,C0333574,Fatty deposition,patf,PubMed
NEG_AUGMENTS,C0028040,Nicotine,hops,C0600688,Toxic effect,inpo,PubMed
NEG_AUGMENTS,C0014705,Ergosterol,phsu,C0023693,Light,npop,PubMed
NEG_AUGMENTS,C0038323,Sterols,strd,C0023693,Light,npop,PubMed
NEG_AUGMENTS,C0247771,interleukin-10 receptor,aapp,C1155266,Inflammatory Response,patf,PubMed
NEG_AUGMENTS,C1176309,bortezomib,orch,C0007634,Cells,cell,PubMed
NEG_AUGMENTS,C0034320,Diphosphates,inch,C0023693,Light,npop,PubMed
NEG_AUGMENTS,C0040690,Transforming Growth Factor beta,aapp,C0598067,Chondrogenesis,ortf,PubMed
NEG_AUGMENTS,C0076430,thidiazuron,orch,C0013935,Embryo,emst,PubMed
NEG_AUGMENTS,C0041070,Trinitrotoluene,hops,C0018270,Growth,orgf,PubMed
NEG_AUGMENTS,C0056782,cyclonite,orch,C0018270,Growth,orgf,PubMed
NEG_AUGMENTS,C0008546,Chromatin,aapp,C0040649,"Transcription, Genetic",genf,PubMed
NEG_AUGMENTS,C0302583,Iron,elii,C0006104,Brain,bpoc,PubMed
NEG_AUGMENTS,C0019046,Hemoglobin,aapp,C1140999,Contraction,patf,PubMed
NEG_AUGMENTS,C0242209,Sugars,carb,C0005823,Blood Pressure,orgf,PubMed
NEG_AUGMENTS,C0282587,Neural Cell Adhesion Molecules,aapp,C1518294,Neuronal Differentiation,fndg,PubMed
NEG_AUGMENTS,C0018340,Guanosine Diphosphate,bacs,C0004372,Autolysis,patf,PubMed
NEG_AUGMENTS,C0017950,Glycolipids,lipd,C0041904,Up-Regulation (Physiology),celf,PubMed
NEG_AUGMENTS,C0038636,Sucrose,carb,C0001811,Aging,orgf,PubMed
NEG_AUGMENTS,C0162638,Apoptosis,celf,C0040649,"Transcription, Genetic",genf,PubMed
NEG_AUGMENTS,C0023810,Lipopolysaccharides,lipd,C0007765,Cerebellum,bpoc,PubMed
NEG_AUGMENTS,C0000843,Abscisic Acid,orch,C1326553,seed dormancy,orgf,PubMed
