PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_COMPLICATES,C0024141,"Lupus Erythematosus, Systemic",dsyn,C0879626,Adverse effects,patf,PubMed
NEG_COMPLICATES,C0717550,candesartan,orch,C0021655,Insulin Resistance,patf,PubMed
NEG_COMPLICATES,C0166417,PPAR gamma,aapp,C0277524,Infectious colitis,dsyn,PubMed
NEG_COMPLICATES,C0003811,cardiac arrhythmia,patf,C1301670,Drug-induced bradycardia,dsyn,PubMed
NEG_COMPLICATES,C0042212,"Vaccines, Inactivated",imft,C0012634,Disease,dsyn,PubMed
NEG_COMPLICATES,C0041004,Triglycerides,bacs,C0019158,Hepatitis,dsyn,PubMed
NEG_COMPLICATES,C0332907,Congenital absence,cgab,C0266387,Bicornuate uterus,cgab,PubMed
NEG_COMPLICATES,C0036980,"Shock, Cardiogenic",patf,C0027051,Myocardial Infarction,dsyn,PubMed
NEG_COMPLICATES,C0728940,Excision,topp,C0037817,Speech,orgf,PubMed
NEG_COMPLICATES,C1364818,APP gene,aapp,C0265008,Aortocaval fistula,anab,PubMed
NEG_COMPLICATES,C0023570,Levodopa,nsba,C0017127,Gastric Emptying,ortf,PubMed
NEG_COMPLICATES,C0015934,Fetal Growth Retardation,patf,C0020459,Hyperinsulinism,dsyn,PubMed
NEG_COMPLICATES,C0015934,Fetal Growth Retardation,patf,C0242339,Dyslipidemias,dsyn,PubMed
NEG_COMPLICATES,C0015934,Fetal Growth Retardation,patf,C0872215,mild intolerance,dsyn,PubMed
NEG_COMPLICATES,C0032046,Placenta Previa,dsyn,C0032044,Placenta Accreta,dsyn,PubMed
NEG_COMPLICATES,C0004153,Atherosclerosis,dsyn,C0023890,Liver Cirrhosis,dsyn,PubMed
NEG_COMPLICATES,C0877635,Cytomegalovirus viraemia,dsyn,C0009324,Ulcerative Colitis,dsyn,PubMed
NEG_COMPLICATES,C0537535,heme oxygenase-2,aapp,C0021368,Inflammation,patf,PubMed
NEG_COMPLICATES,C0537535,heme oxygenase-2,aapp,C0151692,Impaired wound healing,patf,PubMed
NEG_COMPLICATES,C0879626,Adverse effects,patf,C0006826,Malignant Neoplasms,neop,PubMed
NEG_COMPLICATES,C0069477,omega-N-Methylarginine,aapp,C0001122,Acidosis,patf,PubMed
NEG_COMPLICATES,C0001271,Actins,aapp,C0877271,Denervation atrophy,inpo,PubMed
NEG_COMPLICATES,C1328025,pertuzumab,aapp,C0876994,Cardiotoxicity,inpo,PubMed
NEG_COMPLICATES,C0020456,Hyperglycemia,dsyn,C0342257,Complications of Diabetes Mellitus,patf,PubMed
NEG_COMPLICATES,C0074554,Simvastatin,orch,C0021655,Insulin Resistance,patf,PubMed
NEG_COMPLICATES,C0019154,Hepatic Vein Thrombosis,dsyn,C0023467,"Leukemia, Myelocytic, Acute",neop,PubMed
NEG_COMPLICATES,C0073393,Risperidone,phsu,C0041904,Up-Regulation (Physiology),celf,PubMed
NEG_COMPLICATES,C0149654,Conduct Disorder,mobd,C0011581,Depressive disorder,mobd,PubMed
NEG_COMPLICATES,C0087111,Therapeutic procedure,topp,C0013384,Dyskinetic syndrome,dsyn,PubMed
NEG_COMPLICATES,C0028040,Nicotine,hops,C0242422,Parkinsonian Disorders,dsyn,PubMed
NEG_COMPLICATES,C0206153,Cell Transplantation,topp,C0009566,Complication,patf,PubMed
NEG_COMPLICATES,C0026933,Mycophenolic Acid,antb,C0243144,uptake,phsf,PubMed
NEG_COMPLICATES,C0087111,Therapeutic procedure,topp,C0018213,Graves' Disease,dsyn,PubMed
NEG_COMPLICATES,C0011057,"Hearing Loss, Sudden",fndg,C0015469,Facial paralysis,dsyn,PubMed
NEG_COMPLICATES,C0004057,Aspirin,orch,C0242656,Disease Progression,patf,PubMed
NEG_COMPLICATES,C0262926,Medical History,fndg,C0008031,Chest Pain,sosy,PubMed
NEG_COMPLICATES,C0053799,Bisoprolol,orch,C0278092,Sexual function,orgf,PubMed
NEG_COMPLICATES,C0054836,carvedilol,orch,C0278092,Sexual function,orgf,PubMed
NEG_COMPLICATES,C0068475,nebivolol,phsu,C0278092,Sexual function,orgf,PubMed
NEG_COMPLICATES,C0087111,Therapeutic procedure,topp,C0242422,Parkinsonian Disorders,dsyn,PubMed
NEG_COMPLICATES,C0020514,Hyperprolactinemia,dsyn,C0008370,Cholestasis,dsyn,PubMed
NEG_COMPLICATES,C0034830,Nicotinic Receptors,aapp,C0242422,Parkinsonian Disorders,dsyn,PubMed
NEG_COMPLICATES,C0013227,Pharmaceutical Preparations,phsu,C0242422,Parkinsonian Disorders,dsyn,PubMed
NEG_COMPLICATES,C0010294,Creatinine,bacs,C1565489,Renal Insufficiency,dsyn,PubMed
NEG_COMPLICATES,C0041942,Urea,bacs,C1565489,Renal Insufficiency,dsyn,PubMed
