PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_CONVERTS_TO,C0023779,Lipids,lipd,C0066324,methylamphotericin B,orch,PubMed
NEG_CONVERTS_TO,C0038230,Stearic Acids,lipd,C0041004,Triglycerides,bacs,PubMed
NEG_CONVERTS_TO,C0030956,Peptides,aapp,C0016693,Free Radicals,bacs,PubMed
NEG_CONVERTS_TO,C0282641,Transgenes,gngm,C0080124,Antisense RNA,bacs,PubMed
NEG_CONVERTS_TO,C0039746,Thebaine,orch,C0002771,Analgesics,phsu,PubMed
NEG_CONVERTS_TO,C0031610,Phosphatidic Acid,lipd,C0031621,Phosphatidylinositols,bacs,PubMed
NEG_CONVERTS_TO,C0012854,DNA,bacs,C0162326,DNA Sequence,nusq,PubMed
NEG_CONVERTS_TO,C1257879,Trans Fatty Acids,lipd,C0015684,Fatty Acids,bacs,PubMed
NEG_CONVERTS_TO,C0047701,3-phosphoglycerate,bacs,C0001898,Alanine,bacs,PubMed
NEG_CONVERTS_TO,C0047701,3-phosphoglycerate,bacs,C0038636,Sucrose,bacs,PubMed
NEG_CONVERTS_TO,C0061418,Glucose-6-Phosphate,bacs,C0038636,Sucrose,bacs,PubMed
NEG_CONVERTS_TO,C0061418,Glucose-6-Phosphate,bacs,C0001898,Alanine,bacs,PubMed
NEG_CONVERTS_TO,C0017890,Glycine,aapp,C0036720,Serine,gngm,PubMed
NEG_CONVERTS_TO,C1453650,corynoline,orch,C0001047,Acetylcysteine,gngm,PubMed
NEG_CONVERTS_TO,C0031866,Phytosterols,bacs,C0008377,Cholesterol,bacs,PubMed
NEG_CONVERTS_TO,C0001407,Adenine,bacs,C0010815,Cytokinins,bacs,PubMed
NEG_CONVERTS_TO,C0018321,Guanine,bacs,C0010815,Cytokinins,bacs,PubMed
NEG_CONVERTS_TO,C0035668,RNA,bacs,C0010815,Cytokinins,bacs,PubMed
NEG_CONVERTS_TO,C0027303,NADP,bacs,C0027289,NADH,bacs,PubMed
NEG_CONVERTS_TO,C0017996,Glyoxylates,orch,C0017890,Glycine,gngm,PubMed
NEG_CONVERTS_TO,C0002860,Androstenedione,horm,C0014939,Estrogens,horm,PubMed
NEG_CONVERTS_TO,C0282523,CpG Islands,bacs,C1366752,Neomycin resistance gene,gngm,PubMed
