PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_DIAGNOSES,C0040395,tomography,diap,C0400966,Non-alcoholic fatty liver,dsyn,PubMed
NEG_DIAGNOSES,C0040395,tomography,diap,C0012634,Disease,dsyn,PubMed
NEG_DIAGNOSES,C0040405,X-Ray Computed Tomography,diap,C0221198,Lesion,fndg,PubMed
NEG_DIAGNOSES,C0079304,Esophagogastroduodenoscopy,diap,C0221198,Lesion,fndg,PubMed
NEG_DIAGNOSES,C0199873,Esophageal manometry,diap,C0221198,Lesion,fndg,PubMed
NEG_DIAGNOSES,C0203065,Barium swallow,diap,C0221198,Lesion,fndg,PubMed
NEG_DIAGNOSES,C0871685,Clinicians,prog,C0026773,Multiple Personality Disorder,mobd,PubMed
NEG_DIAGNOSES,C1510438,Assay,lbpr,C0856687,Trichinella infection,dsyn,PubMed
NEG_DIAGNOSES,C0024485,Magnetic Resonance Imaging,diap,C0581296,[D]Intracranial lesion,fndg,PubMed
NEG_DIAGNOSES,C0441633,Scanning,diap,C0581296,[D]Intracranial lesion,fndg,PubMed
NEG_DIAGNOSES,C0024485,Magnetic Resonance Imaging,diap,C0027651,Neoplasm,neop,PubMed
NEG_DIAGNOSES,C0040395,tomography,diap,C0027651,Neoplasm,neop,PubMed
NEG_DIAGNOSES,C0042293,Valsalva Maneuver,diap,C0018801,Heart failure,dsyn,PubMed
NEG_DIAGNOSES,C0024485,Magnetic Resonance Imaging,diap,C0012634,Disease,dsyn,PubMed
NEG_DIAGNOSES,C0007767,Cerebral Angiography,diap,C0158570,Vascular anomaly,cgab,PubMed
NEG_DIAGNOSES,C0024485,Magnetic Resonance Imaging,diap,C0158570,Vascular anomaly,cgab,PubMed
NEG_DIAGNOSES,C0024219,Lymphangiography,diap,C0085084,Motor Neuron Disease,dsyn,PubMed
NEG_DIAGNOSES,C0013524,2D Echocardiography,diap,C0007165,Cardiac Output,fndg,PubMed
NEG_DIAGNOSES,C0750430,WORK UP,diap,C0277554,Primary disease,dsyn,PubMed
NEG_DIAGNOSES,C0079278,"Endoscopy, Gastrointestinal",diap,C0221198,Lesion,fndg,PubMed
NEG_DIAGNOSES,C0598451,radioscopy,diap,C0221198,Lesion,fndg,PubMed
NEG_DIAGNOSES,C0085532,Coronary angiography,diap,C1261287,Stenosis,patf,PubMed
NEG_DIAGNOSES,C0043299,Diagnostic radiologic examination,diap,C0016658,Fracture,inpo,PubMed
NEG_DIAGNOSES,C0005558,Biopsy,diap,C0006826,Malignant Neoplasms,neop,PubMed
NEG_DIAGNOSES,C0751980,Comet Assay,mbrt,C0012860,DNA Damage,comd,PubMed
NEG_DIAGNOSES,C0260194,radiologist,prog,C0027651,Neoplasm,neop,PubMed
NEG_DIAGNOSES,C0040395,tomography,diap,C0241657,VASCULAR ABNORMALITY,fndg,PubMed
NEG_DIAGNOSES,C0041618,Ultrasonography,diap,C0206062,"Lung Diseases, Interstitial",dsyn,PubMed
NEG_DIAGNOSES,C1384593,Digital Rectal Examination,diap,C0239942,Prolapsed hemorrhoids NOS,acab,PubMed
NEG_DIAGNOSES,C0396473,Bronchoscopic irrigation,diap,C0340257,Ventilator-associated lung injury,inpo,PubMed
NEG_DIAGNOSES,C0430022,diagnostic procedure,diap,C0340257,Ventilator-associated lung injury,inpo,PubMed
NEG_DIAGNOSES,C0025086,Medical Imaging,diap,C0016658,Fracture,inpo,PubMed
NEG_DIAGNOSES,C0041618,Ultrasonography,diap,C0221198,Lesion,fndg,PubMed
NEG_DIAGNOSES,C0040395,tomography,diap,C1513183,Metastatic Lesion,fndg,PubMed
NEG_DIAGNOSES,C0441633,Scanning,diap,C0006267,Bronchiectasis,dsyn,PubMed
NEG_DIAGNOSES,C0430022,diagnostic procedure,diap,C0024530,Malaria,dsyn,PubMed
NEG_DIAGNOSES,C0008310,Endoscopic Retrograde Cholangiopancreatography,diap,C0009566,Complication,patf,PubMed
NEG_DIAGNOSES,C0028708,Nutrition Assessment,diap,C0009566,Complication,patf,PubMed
NEG_DIAGNOSES,C0013798,Electrocardiogram,diap,C0549255,Excitation,fndg,PubMed
NEG_DIAGNOSES,C0040395,tomography,diap,C1504464,Endoleak,patf,PubMed
NEG_DIAGNOSES,C0037943,Spinal Puncture,diap,C0085436,"Meningitis, Cryptococcal",dsyn,PubMed
NEG_DIAGNOSES,C0200931,Polymerase chain reaction analysis,lbpr,C0004352,Autistic Disorder,mobd,PubMed
NEG_DIAGNOSES,C0427979,Toxin assay procedure,lbpr,C0600688,Toxic effect,inpo,PubMed
NEG_DIAGNOSES,C0043299,Diagnostic radiologic examination,diap,C0041296,Tuberculosis,dsyn,PubMed
NEG_DIAGNOSES,C0202896,Carotid artery angiography,diap,C0020255,Hydrocephalus,dsyn,PubMed
NEG_DIAGNOSES,C0043299,Diagnostic radiologic examination,diap,C1457887,Symptoms,sosy,PubMed
NEG_DIAGNOSES,C0034606,Radionuclide Imaging,diap,C0027051,Myocardial Infarction,dsyn,PubMed
NEG_DIAGNOSES,C0004398,Autopsy,diap,C0006826,Malignant Neoplasms,neop,PubMed
NEG_DIAGNOSES,C0843591,Staging laparotomy,diap,C0012634,Disease,dsyn,PubMed
NEG_DIAGNOSES,C0026995,Myelography,diap,C0221198,Lesion,fndg,PubMed
NEG_DIAGNOSES,C0009378,colonoscopy,diap,C0009324,Ulcerative Colitis,dsyn,PubMed
NEG_DIAGNOSES,C0004398,Autopsy,diap,C0041657,Unconscious State,fndg,PubMed
NEG_DIAGNOSES,C0005558,Biopsy,diap,C0702118,Abnormally hard consistency,fndg,PubMed
NEG_DIAGNOSES,C0031831,Physicians,prog,C0155626,Acute myocardial infarction,dsyn,PubMed
NEG_DIAGNOSES,C0201968,Hydrocortisone measurement,lbpr,C0271738,Secondary hypocortisolism,dsyn,PubMed
NEG_DIAGNOSES,C0597347,radioactive microsphere technique,diap,C0428886,Mean blood pressure,fndg,PubMed
NEG_DIAGNOSES,C0040395,tomography,diap,C0003708,Arachnoiditis,dsyn,PubMed
NEG_DIAGNOSES,C0200896,Cytogenetic procedure,lbpr,C0008625,Chromosome abnormality,comd,PubMed
NEG_DIAGNOSES,C0441633,Scanning,diap,C0677043,Histopathology,patf,PubMed
NEG_DIAGNOSES,C0040405,X-Ray Computed Tomography,diap,C0012634,Disease,dsyn,PubMed
NEG_DIAGNOSES,C0036828,Serum Alanine Transaminase tests,lbpr,C0042749,Viremia,dsyn,PubMed
NEG_DIAGNOSES,C0203108,Intravenous pyelogram,diap,C0022650,Kidney Calculi,patf,PubMed
NEG_DIAGNOSES,C1510438,Assay,lbpr,C0009566,Complication,patf,PubMed
NEG_DIAGNOSES,C1510438,Assay,lbpr,C1277200,Normal concentration,fndg,PubMed
NEG_DIAGNOSES,C0150866,Biopsy of skin procedure,diap,C0021368,Inflammation,patf,PubMed
NEG_DIAGNOSES,C0032520,Polymerase Chain Reaction,lbpr,C1290905,Discrepancy,fndg,PubMed
NEG_DIAGNOSES,C0013855,Electrophoresis,lbpr,C0596962,Molecular Pathology,comd,PubMed
NEG_DIAGNOSES,C0005863,"Blotting, Western",lbpr,C0699790,Colon Carcinoma,neop,PubMed
NEG_DIAGNOSES,C0188624,Diagnostic arthroscopy of ankle joint,diap,C0029421,Osteochondritis Dissecans,dsyn,PubMed
NEG_DIAGNOSES,C0023901,Liver Function Tests,lbpr,C0085605,Liver Failure,patf,PubMed
NEG_DIAGNOSES,C0373719,Renin measurement,lbpr,C0020538,Hypertensive disease,dsyn,PubMed
NEG_DIAGNOSES,C0683459,Adjective Check List,diap,C0019699,HIV Seropositivity,fndg,PubMed
NEG_DIAGNOSES,C0031831,Physicians,prog,C0151465,Renal abscess,dsyn,PubMed
NEG_DIAGNOSES,C1522486,Professional Organization or Group,prog,C0011253,Delusions,mobd,PubMed
NEG_DIAGNOSES,C0005558,Biopsy,diap,C0027651,Neoplasm,neop,PubMed
NEG_DIAGNOSES,C0034606,Radionuclide Imaging,diap,C0263214,Pyotraumatic dermatitis,dsyn,PubMed
NEG_DIAGNOSES,C0040398,"Tomography, Emission-Computed",diap,C0263214,Pyotraumatic dermatitis,dsyn,PubMed
NEG_DIAGNOSES,C0024485,Magnetic Resonance Imaging,diap,C0001511,Adhesions,acab,PubMed
NEG_DIAGNOSES,C0005558,Biopsy,diap,C0239946,"Fibrosis, Liver",dsyn,PubMed
NEG_DIAGNOSES,C0026995,Myelography,diap,C0023182,Cerebrospinal fluid leak,patf,PubMed
NEG_DIAGNOSES,C0025086,Medical Imaging,diap,C0001624,Adrenal Gland Neoplasms,neop,PubMed
NEG_DIAGNOSES,C0162789,Fluorescent in Situ Hybridization,lbpr,C0007138,"Carcinoma, Transitional Cell",neop,PubMed
NEG_DIAGNOSES,C0935912,Computed Tomographic Colonography,diap,C0001175,Acquired Immunodeficiency Syndrome,dsyn,PubMed
NEG_DIAGNOSES,C0018795,Cardiac Catheterization Procedures,diap,C0010054,Coronary Arteriosclerosis,dsyn,PubMed
NEG_DIAGNOSES,C0200125,Nerve conduction testing,diap,C0031117,Peripheral Neuropathy,dsyn,PubMed
NEG_DIAGNOSES,C0011906,Differential Diagnosis,diap,C0085652,Pyoderma Gangrenosum,dsyn,PubMed
NEG_DIAGNOSES,C0033053,Prenatal Diagnosis,diap,C0015929,Fetal Diseases,dsyn,PubMed
NEG_DIAGNOSES,C0200931,Polymerase chain reaction analysis,lbpr,C0010418,Cryptosporidiosis,dsyn,PubMed
NEG_DIAGNOSES,C0040395,tomography,diap,C0221198,Lesion,fndg,PubMed
NEG_DIAGNOSES,C0042014,Urinalysis,lbpr,C0013146,Drug abuse,mobd,PubMed
NEG_DIAGNOSES,C0024485,Magnetic Resonance Imaging,diap,C0221198,Lesion,fndg,PubMed
NEG_DIAGNOSES,C0085532,Coronary angiography,diap,C0221198,Lesion,fndg,PubMed
NEG_DIAGNOSES,C0016263,Flow Cytometry,lbpr,C0027651,Neoplasm,neop,PubMed
NEG_DIAGNOSES,C0022885,Laboratory Procedures,lbpr,C0043167,Pertussis,dsyn,PubMed
NEG_DIAGNOSES,C0442973,Ultrasonic guidance procedure,diap,C0242422,Parkinsonian Disorders,dsyn,PubMed
NEG_DIAGNOSES,C0038577,Substance Abuse Detection,lbpr,C0085281,Addictive Behavior,mobd,PubMed
NEG_DIAGNOSES,C0021044,Immunohistochemistry,lbpr,C1368871,Pediatric Neoplasm,neop,PubMed
NEG_DIAGNOSES,C0441633,Scanning,diap,C0021368,Inflammation,patf,PubMed
NEG_DIAGNOSES,C0402112,Scientist,prog,C0030567,Parkinson Disease,dsyn,PubMed
NEG_DIAGNOSES,C0871685,Clinicians,prog,C0030567,Parkinson Disease,dsyn,PubMed
NEG_DIAGNOSES,C0040405,X-Ray Computed Tomography,diap,C0234387,Cerebral disorder,dsyn,PubMed
NEG_DIAGNOSES,C0018941,Blood Tests,lbpr,C0600688,Toxic effect,inpo,PubMed
NEG_DIAGNOSES,C0085532,Coronary angiography,diap,C0010054,Coronary Arteriosclerosis,dsyn,PubMed
NEG_DIAGNOSES,C0024485,Magnetic Resonance Imaging,diap,C0019080,Hemorrhage,fndg,PubMed
NEG_DIAGNOSES,C0024485,Magnetic Resonance Imaging,diap,C0235946,Cerebral atrophy,dsyn,PubMed
NEG_DIAGNOSES,C0202890,"Non-coronary arterial angiography, NOS",diap,C0016169,pathologic fistula,anab,PubMed
NEG_DIAGNOSES,C0024485,Magnetic Resonance Imaging,diap,C0235656,Lesion of cervix,patf,PubMed
NEG_DIAGNOSES,C0040395,tomography,diap,C0235656,Lesion of cervix,patf,PubMed
NEG_DIAGNOSES,C0021044,Immunohistochemistry,lbpr,C0027651,Neoplasm,neop,PubMed
NEG_DIAGNOSES,C0796344,genetic analysis,diap,C0039082,Syndrome,dsyn,PubMed
NEG_DIAGNOSES,C1510438,Assay,lbpr,C0596402,cytotoxicity,comd,PubMed
NEG_DIAGNOSES,C0750430,WORK UP,diap,C0012634,Disease,dsyn,PubMed
NEG_DIAGNOSES,C0525032,International Normalized Ratio,lbpr,C0019080,Hemorrhage,fndg,PubMed
NEG_DIAGNOSES,C0521307,Neurostimulation procedure,diap,C0038580,Substance Dependence,mobd,PubMed
NEG_DIAGNOSES,C0016263,Flow Cytometry,lbpr,C0220603,childhood brain tumor,neop,PubMed
NEG_DIAGNOSES,C0920696,cerebrovascular imaging,diap,C0085616,Vasospasm,patf,PubMed
NEG_DIAGNOSES,C0024485,Magnetic Resonance Imaging,diap,C1290905,Discrepancy,fndg,PubMed
NEG_DIAGNOSES,C0204047,Ischemic forearm exercise test,diap,C0017924,Glycogen Storage Disease Type V,dsyn,PubMed
NEG_DIAGNOSES,C0751980,Comet Assay,mbrt,C0598309,genotoxicity,comd,PubMed
NEG_DIAGNOSES,C0005558,Biopsy,diap,C0022658,Kidney Diseases,dsyn,PubMed
NEG_DIAGNOSES,C0600324,Serodiagnosis,lbpr,C0014061,Tick-Borne Encephalitis,dsyn,PubMed
NEG_DIAGNOSES,C0021044,Immunohistochemistry,lbpr,C0858952,Silence,mobd,PubMed
NEG_DIAGNOSES,C0037981,Spirometry,diap,C0221725,Obstruction of bronchus,fndg,PubMed
NEG_DIAGNOSES,C0040405,X-Ray Computed Tomography,diap,C0475072,Traumatic cerebral hemorrhage,inpo,PubMed
NEG_DIAGNOSES,C0002978,angiogram,diap,C0027051,Myocardial Infarction,dsyn,PubMed
NEG_DIAGNOSES,C0040395,tomography,diap,C0027627,Neoplasm Metastasis,neop,PubMed
NEG_DIAGNOSES,C0041618,Ultrasonography,diap,C0027627,Neoplasm Metastasis,neop,PubMed
NEG_DIAGNOSES,C0796358,comparative genomic analysis,diap,C1442161,DELETION,comd,PubMed
NEG_DIAGNOSES,C0039985,"Radiography, Thoracic",diap,C0242459,Loeffler Syndrome,dsyn,PubMed
NEG_DIAGNOSES,C0041618,Ultrasonography,diap,C0032994,"Pregnancy, Tubal",dsyn,PubMed
NEG_DIAGNOSES,C0005558,Biopsy,diap,C0041582,Ulcer,patf,PubMed
NEG_DIAGNOSES,C0019635,Histocytochemistry,lbpr,C0006826,Malignant Neoplasms,neop,PubMed
NEG_DIAGNOSES,C0005558,Biopsy,diap,C0021368,Inflammation,patf,PubMed
NEG_DIAGNOSES,C0162481,Doppler Ultrasound,diap,C0035067,Renal Artery Stenosis,dsyn,PubMed
NEG_DIAGNOSES,C0017319,General Practitioners,prog,C0011581,Depressive disorder,mobd,PubMed
NEG_DIAGNOSES,C0679575,neuroimaging,diap,C0025517,Metabolic Diseases,dsyn,PubMed
NEG_DIAGNOSES,C0021044,Immunohistochemistry,lbpr,C0014644,"Herpesvirus 4, Human",virs,PubMed
