PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_DISRUPTS,C1454771,PD 184161,orch,C1150604,MAP kinase kinase activity,moft,PubMed
NEG_DISRUPTS,C0037494,Sodium Chloride,bacs,C0018270,Growth,orgf,PubMed
NEG_DISRUPTS,C0044496,1-naphthol,orch,C0018270,Growth,orgf,PubMed
NEG_DISRUPTS,C0009742,Congo Red,orch,C0018270,Growth,orgf,PubMed
NEG_DISRUPTS,C0010505,Cyanides,inch,C0018270,Growth,orgf,PubMed
NEG_DISRUPTS,C1170000,drotrecogin alfa,aapp,C0011065,Cessation of life,orgf,PubMed
NEG_DISRUPTS,C0032458,"Polycyclic Hydrocarbons, Aromatic",orch,C0018270,Growth,orgf,PubMed
NEG_DISRUPTS,C0003805,Aromatase,aapp,C0019868,Homeostasis,orgf,PubMed
NEG_DISRUPTS,C0046725,3 (or 17)-beta-hydroxysteroid dehydrogenase,aapp,C0019868,Homeostasis,orgf,PubMed
NEG_DISRUPTS,C0208355,multicatalytic endopeptidase complex,aapp,C0007634,Cells,cell,PubMed
NEG_DISRUPTS,C0007004,Carbohydrates,carb,C0031764,Photosynthesis,phsf,PubMed
NEG_DISRUPTS,C0245382,Galectin 3,aapp,C0162638,Apoptosis,celf,PubMed
NEG_DISRUPTS,C0001911,Albendazole,orch,C0243102,enzyme activity,moft,PubMed
NEG_DISRUPTS,C0025872,Metronidazole,orch,C0243102,enzyme activity,moft,PubMed
NEG_DISRUPTS,C0045093,gemcitabine,nnon,C0032227,Pleural effusion disorder,patf,PubMed
NEG_DISRUPTS,C0013227,Pharmaceutical Preparations,phsu,C0234194,Nociception,orgf,PubMed
NEG_DISRUPTS,C0016277,Fluconazole,orch,C0018270,Growth,orgf,PubMed
NEG_DISRUPTS,C0064113,Itraconazole,orch,C0018270,Growth,orgf,PubMed
NEG_DISRUPTS,C0393080,voriconazole,orch,C0018270,Growth,orgf,PubMed
NEG_DISRUPTS,C0006405,Buprenorphine,orch,C0275518,Acute infectious disease,dsyn,PubMed
NEG_DISRUPTS,C0058381,diphenyleneiodonium,orch,C0007587,Cell Death,celf,PubMed
NEG_DISRUPTS,C0010592,Cyclosporine,aapp,C0243144,uptake,phsf,PubMed
NEG_DISRUPTS,C0746730,myocardium; injury,inpo,C0080310,"Ventricular Function, Left",ortf,PubMed
NEG_DISRUPTS,C0023820,Lipoproteins,aapp,C1156200,Histone Acetylation,moft,PubMed
NEG_DISRUPTS,C0132555,Nitric Oxide Synthase,aapp,C0040300,Body tissue,tisu,PubMed
NEG_DISRUPTS,C0080138,Sch-23390,orch,C0920532,gene induction,genf,PubMed
NEG_DISRUPTS,C0663182,Daclizumab,aapp,C0596290,Cell Proliferation,celf,PubMed
NEG_DISRUPTS,C0066653,ML 9,orch,C1158320,diacylglycerol metabolism,moft,PubMed
NEG_DISRUPTS,C0004057,Aspirin,orch,C1159962,platelet formation,celf,PubMed
NEG_DISRUPTS,C0070122,Paroxetine,orch,C1159962,platelet formation,celf,PubMed
NEG_DISRUPTS,C0083536,NG-Nitroarginine Methyl Ester,aapp,C0597295,Protein Biosynthesis,moft,PubMed
NEG_DISRUPTS,C0033640,PROTEIN KINASE,aapp,C0007634,Cells,cell,PubMed
NEG_DISRUPTS,C0003320,Antigens,bacs,C0018903,Hemagglutination,moft,PubMed
NEG_DISRUPTS,C0017649,Globulins,aapp,C0243102,enzyme activity,moft,PubMed
NEG_DISRUPTS,C0010590,Cycloserine,aapp,C0007590,Cell division,celf,PubMed
NEG_DISRUPTS,C0047729,3-tyrosine,aapp,C0018270,Growth,orgf,PubMed
NEG_DISRUPTS,C0017428,Genome,gngm,C0027651,Neoplasm,neop,PubMed
NEG_DISRUPTS,C0052536,aspartic acid receptor,aapp,C0025260,Memory,menp,PubMed
NEG_DISRUPTS,C0032144,Plasminogen Activator,aapp,C0031911,Pigmentation,fndg,PubMed
NEG_DISRUPTS,C0058218,dimethyl fumarate,orch,C0206116,Microglia,cell,PubMed
NEG_DISRUPTS,C0870883,Metabolites,bacs,C0206116,Microglia,cell,PubMed
NEG_DISRUPTS,C0025196,Melanins,bacs,C0162638,Apoptosis,celf,PubMed
NEG_DISRUPTS,C0302339,Systemic poison,hops,C0025202,melanoma,neop,PubMed
NEG_DISRUPTS,C0003241,Antibodies,aapp,C0003255,Antibody Affinity,moft,PubMed
NEG_DISRUPTS,C0056777,Adenylate Cyclase Toxin,aapp,C1325881,biofilm formation,celf,PubMed
NEG_DISRUPTS,C0033551,Prostaglandin-Endoperoxide Synthase,aapp,C0042401,Vasodilation,phsf,PubMed
NEG_DISRUPTS,C0755562,U 0126,orch,C1150604,MAP kinase kinase activity,moft,PubMed
NEG_DISRUPTS,C0020459,Hyperinsulinism,dsyn,C0004391,Autophagy,celf,PubMed
NEG_DISRUPTS,C0032200,Platelet-Derived Growth Factor,aapp,C0230704,Lipid droplet,celc,PubMed
NEG_DISRUPTS,C0074554,Simvastatin,orch,C0162761,Protein Geranylgeranylation,genf,PubMed
NEG_DISRUPTS,C0025746,Methylene blue,orch,C0018270,Growth,orgf,PubMed
NEG_DISRUPTS,C0085889,3-Hydroxyacyl-CoA dehydrogenase,aapp,C0243102,enzyme activity,moft,PubMed
NEG_DISRUPTS,C0035696,"RNA, Messenger",bacs,C0040649,"Transcription, Genetic",genf,PubMed
NEG_DISRUPTS,C0605321,compound 18,orch,C0031715,Phosphorylation,moft,PubMed
NEG_DISRUPTS,C0017978,Glycosphingolipids,phsu,C1517880,Ligand Binding,moft,PubMed
NEG_DISRUPTS,C0067033,Proteinase 3,enzy,C0040649,"Transcription, Genetic",genf,PubMed
NEG_DISRUPTS,C0543467,Operative Surgical Procedures,topp,C0035126,Reperfusion Injury,inpo,PubMed
NEG_DISRUPTS,C0041242,Trypsin Inhibitors,phsu,C0600485,Acrosome Reaction,celf,PubMed
NEG_DISRUPTS,C0596337,chymotrypsin inhibitor,phsu,C0600485,Acrosome Reaction,celf,PubMed
NEG_DISRUPTS,C0086356,Glycine Cholate,bacs,C0243144,uptake,phsf,PubMed
NEG_DISRUPTS,C0700496,Pyridoxine Hydrochloride,orch,C0018270,Growth,orgf,PubMed
NEG_DISRUPTS,C0078373,alpha-tocopherol acetate,orch,C0032176,Platelet aggregation,celf,PubMed
NEG_DISRUPTS,C0003241,Antibodies,aapp,C0018903,Hemagglutination,moft,PubMed
NEG_DISRUPTS,C0301260,Mushroom poison,hops,C0018873,Hela Cells,cell,PubMed
NEG_DISRUPTS,C0038838,Superoxide Dismutase,aapp,C0023775,Lipid Peroxidation,moft,PubMed
NEG_DISRUPTS,C0035696,"RNA, Messenger",bacs,C0032592,Polyribosomes,celc,PubMed
NEG_DISRUPTS,C0085180,Aflatoxin B1,hops,C0243144,uptake,phsf,PubMed
NEG_DISRUPTS,C0020960,Immune Sera,aapp,C0018903,Hemagglutination,moft,PubMed
NEG_DISRUPTS,C0010572,Cycloheximide,antb,C0243144,uptake,phsf,PubMed
NEG_DISRUPTS,C0017337,Genes,gngm,C0007600,Cell Line,cell,PubMed
NEG_DISRUPTS,C0021641,Insulin,aapp,C0599816,ketogenesis,moft,PubMed
NEG_DISRUPTS,C0016006,Fibrinogen,aapp,C0016017,Fibrinolysis,phsf,PubMed
NEG_DISRUPTS,C0014264,Endotoxins,carb,C0544570,Bactericidal activity,phsf,PubMed
NEG_DISRUPTS,C0003009,Angiotensin II,aapp,C0019868,Homeostasis,orgf,PubMed
NEG_DISRUPTS,C0597277,Potassium Ions,elii,C1325847,Sensitization,menp,PubMed
NEG_DISRUPTS,C0010934,Dactinomycin,aapp,C0007634,Cells,cell,PubMed
NEG_DISRUPTS,C0010572,Cycloheximide,antb,C0368983,Clot retraction,ortf,PubMed
NEG_DISRUPTS,C0034145,Puromycin,antb,C0368983,Clot retraction,ortf,PubMed
NEG_DISRUPTS,C0038838,Superoxide Dismutase,aapp,C0001811,Aging,orgf,PubMed
NEG_DISRUPTS,C0599538,thymidylate,bacs,C0598312,DNA biosynthesis,genf,PubMed
NEG_DISRUPTS,C0013227,Pharmaceutical Preparations,phsu,C0024262,Lymphocyte Activation,celf,PubMed
NEG_DISRUPTS,C0014361,Enteroglucagons,horm,C0232552,Gastric acid secretion,ortf,PubMed
NEG_DISRUPTS,C0030511,Parasympatholytics,phsu,C0015283,Exocytosis,celf,PubMed
NEG_DISRUPTS,C0042523,Verapamil,orch,C1140999,Contraction,patf,PubMed
NEG_DISRUPTS,C0015627,FANFT,hops,C0027651,Neoplasm,neop,PubMed
NEG_DISRUPTS,C0015627,FANFT,hops,C1265938,Transitional cell hyperplasia,patf,PubMed
NEG_DISRUPTS,C0729502,Chemotherapeutic agent,phsu,C0598934,tumor growth,neop,PubMed
NEG_DISRUPTS,C0014442,Enzymes,enzy,C0597295,Protein Biosynthesis,moft,PubMed
NEG_DISRUPTS,C0035711,Transfer RNA,bacs,C0597295,Protein Biosynthesis,moft,PubMed
NEG_DISRUPTS,C0017797,Glutamine,aapp,C0022646,Kidney,bpoc,PubMed
