PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_INHIBITS,C0619285,"1,4-dioxin",orch,C0039601,Testosterone,horm,PubMed
NEG_INHIBITS,C0053608,binaltorphimine,orch,C0030049,Oxycodone,orch,PubMed
NEG_INHIBITS,C0003765,Arginine,aapp,C0041942,Urea,bacs,PubMed
NEG_INHIBITS,C0014486,Epichlorohydrin,hops,C0066315,Methylacetylene,orch,PubMed
NEG_INHIBITS,C0119452,Glucosyltransferase,aapp,C0017696,Glucans,carb,PubMed
NEG_INHIBITS,C0005058,Benzoates,orch,C0038785,Sulfuric Acid Esters,orch,PubMed
NEG_INHIBITS,C0000975,Acetate,orch,C0005058,Benzoates,orch,PubMed
NEG_INHIBITS,C0032458,"Polycyclic Hydrocarbons, Aromatic",orch,C0014442,Enzymes,enzy,PubMed
NEG_INHIBITS,C0005104,Benzyl Viologen,orch,C0030493,Paraquat,hops,PubMed
NEG_INHIBITS,C0015540,Flavin-Adenine Dinucleotide,bacs,C0030493,Paraquat,hops,PubMed
NEG_INHIBITS,C0016388,Flavin Mononucleotide,bacs,C0030493,Paraquat,hops,PubMed
NEG_INHIBITS,C0027289,NADH,bacs,C0030493,Paraquat,hops,PubMed
NEG_INHIBITS,C0027303,NADP,bacs,C0030493,Paraquat,hops,PubMed
NEG_INHIBITS,C0012854,DNA,bacs,C0043047,Water,inch,PubMed
NEG_INHIBITS,C0028040,Nicotine,hops,C0039315,Tars,orch,PubMed
NEG_INHIBITS,C0000975,Acetate,orch,C0021246,Indomethacin,orch,PubMed
NEG_INHIBITS,C0022947,Lactones,orch,C0031727,Phosphotransferases,gngm,PubMed
NEG_INHIBITS,C0058990,Eukaryotic Initiation Factor-4G,aapp,C0030946,Endopeptidases,aapp,PubMed
NEG_INHIBITS,C0003250,Monoclonal Antibodies,aapp,C0021756,Interleukin-2,aapp,PubMed
NEG_INHIBITS,C0003250,Monoclonal Antibodies,aapp,C0021758,Interleukin-4,aapp,PubMed
NEG_INHIBITS,C0003250,Monoclonal Antibodies,aapp,C0254610,Interleukin-15,aapp,PubMed
NEG_INHIBITS,C0010592,Cyclosporine,aapp,C0010656,caspase,aapp,PubMed
NEG_INHIBITS,C0012273,Dihydro-beta-Erythroidine,orch,C0034792,Cholinergic Receptors,gngm,PubMed
NEG_INHIBITS,C0110038,Clavulanate,antb,C0486433,Extended-spectrum beta lactamase,gngm,PubMed
NEG_INHIBITS,C1373040,beta Lactamase Inhibitors,phsu,C0486433,Extended-spectrum beta lactamase,gngm,PubMed
NEG_INHIBITS,C0755813,SKAP55-related protein,aapp,C0043047,Water,inch,PubMed
NEG_INHIBITS,C0026056,Midazolam,phsu,C0561740,Digit span performance,fndg,PubMed
NEG_INHIBITS,C0010467,Curcumin,orch,C0085828,Transcription Factor AP-1,gngm,PubMed
NEG_INHIBITS,C0055729,cilostazol,orch,C0038836,Superoxides,elii,PubMed
NEG_INHIBITS,C0023820,Lipoproteins,aapp,C0040627,Trans-Activators,aapp,PubMed
NEG_INHIBITS,C0042071,Urokinase,aapp,C1565434,Focal Adhesion Protein-Tyrosine Kinases,gngm,PubMed
NEG_INHIBITS,C0002932,Anesthetics,phsu,C0373561,Ionized calcium,bacs,PubMed
NEG_INHIBITS,C0031866,Phytosterols,bacs,C0008377,Cholesterol,bacs,PubMed
NEG_INHIBITS,C0038774,Sulfur,elii,C0016217,Flavodoxin,gngm,PubMed
NEG_INHIBITS,C0041242,Trypsin Inhibitors,bacs,C0041236,TRYPSIN,gngm,PubMed
NEG_INHIBITS,C0036075,salicylate,orch,C0034809,Glucocorticoid Receptor,aapp,PubMed
NEG_INHIBITS,C0036075,salicylate,orch,C0034809,Glucocorticoid Receptor,gngm,PubMed
NEG_INHIBITS,C0020352,Hetastarch,phsu,C0019116,Hemostatic function,ortf,PubMed
NEG_INHIBITS,C0039705,Tetrodotoxin,bacs,C0036751,Serotonin,nsba,PubMed
NEG_INHIBITS,C0053721,"2',7'-bis-(2-carboxyethyl)-5(6)-carboxyfluorescein acetoxymethyl ester",orch,C0242643,P-Glycoprotein,gngm,PubMed
NEG_INHIBITS,C0006675,Calcium,bacs,C0072899,"Receptors, AMPA",gngm,PubMed
NEG_INHIBITS,C0018353,Guanosine Triphosphate,bacs,C0299792,aripiprazole,orch,PubMed
NEG_INHIBITS,C0031644,Phosphoenolpyruvate Carboxylase,aapp,C0017861,Glycerol,bacs,PubMed
NEG_INHIBITS,C0052796,Azithromycin,antb,C0010798,Cytochromes,gngm,PubMed
NEG_INHIBITS,C0282386,Levofloxacin,orch,C0039771,Theophylline,bacs,PubMed
NEG_INHIBITS,C0536495,moxifloxacin,orch,C0039771,Theophylline,bacs,PubMed
NEG_INHIBITS,C0002520,Amino Acids,aapp,C0003765,Arginine,aapp,PubMed
NEG_INHIBITS,C0208355,multicatalytic endopeptidase complex,aapp,C0286330,26S proteasome,aapp,PubMed
NEG_INHIBITS,C0030306,Pancreatic Elastase,aapp,C0041236,TRYPSIN,aapp,PubMed
NEG_INHIBITS,C0030306,Pancreatic Elastase,aapp,C0064833,Leukocyte Elastase,aapp,PubMed
NEG_INHIBITS,C0003241,Antibodies,aapp,C0020852,Immunoglobulin G,aapp,PubMed
NEG_INHIBITS,C0013227,Pharmaceutical Preparations,phsu,C0038425,Streptomycin,antb,PubMed
NEG_INHIBITS,C0009226,Coenzyme A,bacs,C0907648,Ephrin Receptor EphB1,gngm,PubMed
NEG_INHIBITS,C0041942,Urea,bacs,C0026402,Molybdenum,bacs,PubMed
NEG_INHIBITS,C0041942,Urea,bacs,C0077513,tungstate,inch,PubMed
NEG_INHIBITS,C0025598,Metformin,orch,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_INHIBITS,C0022180,Isoflurane,phsu,C1272641,Systemic arterial pressure,fndg,PubMed
NEG_INHIBITS,C1120843,mitogen-activated protein kinase p38,aapp,C0162772,Reactive Oxygen Species,bacs,PubMed
NEG_INHIBITS,C0031727,Phosphotransferases,aapp,C0162772,Reactive Oxygen Species,bacs,PubMed
NEG_INHIBITS,C0034263,Pyridoxal,orch,C0162772,Reactive Oxygen Species,bacs,PubMed
NEG_INHIBITS,C0028066,Nifedipine,orch,C0006675,Calcium,bacs,PubMed
NEG_INHIBITS,C0037107,Silicon,bacs,C0596902,Membrane Transport Proteins,gngm,PubMed
NEG_INHIBITS,C0015684,Fatty Acids,bacs,C0128062,methyl jasmonate,bacs,PubMed
NEG_INHIBITS,C0018318,Guanethidine,orch,C0621769,"2,3,4-tri-O-acetylarabinopyranosyl isothiocyanate",orch,PubMed
NEG_INHIBITS,C0033209,Probenecid,orch,C0232816,Tubular reabsorption,ortf,PubMed
NEG_INHIBITS,C0031412,Phenobarbital,orch,C1305923,Polypeptides,gngm,PubMed
NEG_INHIBITS,C0053490,beta-Naphthoflavone,orch,C1305923,Polypeptides,gngm,PubMed
NEG_INHIBITS,C0006233,Bromodeoxyuridine,phsu,C0002059,Alkaline Phosphatase,gngm,PubMed
NEG_INHIBITS,C0020960,Immune Sera,phsu,C0234222,Baresthesia,ortf,PubMed
NEG_INHIBITS,C0027326,Nafenopin,orch,C0005097,Benzpyrene,hops,PubMed
NEG_INHIBITS,C0042523,Verapamil,orch,C0012471,Dinoprost,eico,PubMed
NEG_INHIBITS,C0039674,Tetrahydropapaveroline,bacs,C0026454,Monoamine Oxidase,gngm,PubMed
NEG_INHIBITS,C0003968,Ascorbic Acid,carb,C0041980,Uric Acid,bacs,PubMed
NEG_INHIBITS,C0005035,Benzbromarone,orch,C0043317,Xanthine Oxidase,gngm,PubMed
NEG_INHIBITS,C0041986,Uridine Diphosphate,bacs,C0012993,Dolichol Phosphates,lipd,PubMed
NEG_INHIBITS,C0042002,Uridine Monophosphate,bacs,C0012993,Dolichol Phosphates,lipd,PubMed
NEG_INHIBITS,C0002335,Alprostadil,eico,C0012471,Dinoprost,eico,PubMed
NEG_INHIBITS,C0012471,Dinoprost,eico,C0009574,Compound 48-80,orch,PubMed
NEG_INHIBITS,C0012471,Dinoprost,eico,C0025842,Methysergide,orch,PubMed
NEG_INHIBITS,C0012471,Dinoprost,eico,C0031441,Phenoxybenzamine,orch,PubMed
NEG_INHIBITS,C0034234,Pyrans,orch,C0009630,Concanavalin A,gngm,PubMed
NEG_INHIBITS,C0027358,Naloxone,orch,C0026549,Morphine,orch,PubMed
NEG_INHIBITS,C0014442,Enzymes,enzy,C0040005,Threonine,gngm,PubMed
NEG_INHIBITS,C0009262,Colchicine,orch,C0115922,endogenous pyrogen,gngm,PubMed
NEG_INHIBITS,C0033554,Prostaglandins,phsu,C0042396,Vascular constriction (function),ortf,PubMed
NEG_INHIBITS,C0034272,pyridoxine,orch,C0033371,Prolactin,gngm,PubMed
NEG_INHIBITS,C0056742,cyclocreatine,orch,C0022914,Lactams,antb,PubMed
NEG_INHIBITS,C0017725,Glucose,bacs,C0015688,"Fatty Acids, Nonesterified",lipd,PubMed
NEG_INHIBITS,C0039771,Theophylline,bacs,C0013030,Dopamine,nsba,PubMed
NEG_INHIBITS,C0039771,Theophylline,bacs,C0014563,Epinephrine,horm,PubMed
NEG_INHIBITS,C0019134,Heparin,bacs,C1292267,Procoagulant,gngm,PubMed
NEG_INHIBITS,C0005456,Binding Sites,rcpt,C0034793,Complement Receptor,gngm,PubMed
NEG_INHIBITS,C0001898,Alanine,aapp,C0014442,Enzymes,enzy,PubMed
NEG_INHIBITS,C0010287,Creatine Kinase,aapp,C0001459,Adenosine Diphosphate,bacs,PubMed
NEG_INHIBITS,C0053208,"benzo-1,2,3-thiadiazole",orch,C0014939,Estrogens,horm,PubMed
NEG_INHIBITS,C0002932,Anesthetics,phsu,C0027793,Synaptic Transmission,ortf,PubMed
NEG_INHIBITS,C0004259,Atropine,orch,C0001041,Acetylcholine,nsba,PubMed
NEG_INHIBITS,C0041345,Tubocurarine,orch,C0001041,Acetylcholine,nsba,PubMed
NEG_INHIBITS,C0030131,p-Chloroamphetamine,orch,C0023570,Levodopa,phsu,PubMed
NEG_INHIBITS,C0030131,p-Chloroamphetamine,orch,C0040778,Tranylcypromine,orch,PubMed
NEG_INHIBITS,C0010652,Cysteic Acid,aapp,C0002607,Ammonia,bacs,PubMed
NEG_INHIBITS,C0019878,homocysteine,aapp,C0002607,Ammonia,bacs,PubMed
NEG_INHIBITS,C0025646,Methionine,aapp,C0002607,Ammonia,bacs,PubMed
NEG_INHIBITS,C0003295,Antidotes,phsu,C0001275,Activated Charcoal,orch,PubMed
NEG_INHIBITS,C0243192,agonists,phsu,C0002006,Aldosterone,horm,PubMed
NEG_INHIBITS,C0035975,Ruthenium Red,inch,C0025234,Melitten,gngm,PubMed
NEG_INHIBITS,C0039664,Tetrahydrocortisol,horm,C0063695,Intercellular adhesion molecule 1,aapp,PubMed
NEG_INHIBITS,C0039664,Tetrahydrocortisol,horm,C0115305,E-Selectin,gngm,PubMed
NEG_INHIBITS,C0031448,Phentolamine,orch,C0026820,Muscle Contraction,ortf,PubMed
NEG_INHIBITS,C0906889,CMDBS,carb,C0026249,Mitogens,phsu,PubMed
NEG_INHIBITS,C0037956,Spiperone,orch,C0013030,Dopamine,nsba,PubMed
NEG_INHIBITS,C0031448,Phentolamine,orch,C0028351,Norepinephrine,nsba,PubMed
NEG_INHIBITS,C0001641,Adrenergic alpha-Antagonists,phsu,C0028351,Norepinephrine,nsba,PubMed
NEG_INHIBITS,C0010934,Dactinomycin,aapp,C0035701,Ribosomal RNA,bacs,PubMed
NEG_INHIBITS,C0020731,Pertussis Toxin,aapp,C0033567,Epoprostenol,bacs,PubMed
NEG_INHIBITS,C0030131,p-Chloroamphetamine,orch,C0036751,Serotonin,nsba,PubMed
NEG_INHIBITS,C0014563,Epinephrine,horm,C0068129,N-methylglycinamide,gngm,PubMed
NEG_INHIBITS,C0052335,arginine methyl ester,aapp,C0132555,Nitric Oxide Synthase,aapp,PubMed
NEG_INHIBITS,C0010592,Cyclosporine,aapp,C0013725,Eicosanoids,eico,PubMed
NEG_INHIBITS,C0002712,Amylases,aapp,C0013725,Eicosanoids,eico,PubMed
NEG_INHIBITS,C0006938,Captopril,aapp,C0028351,Norepinephrine,nsba,PubMed
NEG_INHIBITS,C0003765,Arginine,aapp,C0068821,Nitroarginine,orch,PubMed
NEG_INHIBITS,C0132555,Nitric Oxide Synthase,aapp,C0304437,Smooth muscle relaxant,phsu,PubMed
NEG_INHIBITS,C0141313,S-Nitrosothiols,bacs,C0038734,Sulfhydryl Compounds,orch,PubMed
NEG_INHIBITS,C0656277,"maleylated serum albumin, human",aapp,C0035379,RNA-Directed DNA Polymerase,aapp,PubMed
NEG_INHIBITS,C0054537,calphostin C,phsu,C0001041,Acetylcholine,nsba,PubMed
NEG_INHIBITS,C0124356,K 252b,phsu,C0001041,Acetylcholine,nsba,PubMed
