PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_ISA,C0025376,Meperidine,orch,C0002771,Analgesics,phsu,PubMed
NEG_ISA,C0014118,Endocarditis,dsyn,C0018799,Heart Diseases,dsyn,PubMed
NEG_ISA,C0026917,Mycobacterium bovis,bact,C0004611,Bacteria,bact,PubMed
NEG_ISA,C0666066,M-protease,aapp,C0030940,Peptide Hydrolases,aapp,PubMed
NEG_ISA,C1034493,Comamonadaceae,bact,C0751987,Betaproteobacteria,bact,PubMed
NEG_ISA,C0525064,Hearing Impaired Persons,podg,C0003062,Animals,anim,PubMed
NEG_ISA,C0009077,Cloxacillin,antb,C0029983,Oxacillin,antb,PubMed
NEG_ISA,C0012093,Dicloxacillin,antb,C0029983,Oxacillin,antb,PubMed
NEG_ISA,C0020268,Hydrocortisone,horm,C0019932,Hormones,horm,PubMed
NEG_ISA,C0004419,Infectious bronchitis virus,virs,C0042776,Virus,virs,PubMed
NEG_ISA,C0346255,Oncocytoma of kidney,neop,C1457887,Symptoms,sosy,PubMed
NEG_ISA,C0025914,House mice,mamm,C0026809,Mus,mamm,PubMed
NEG_ISA,C0035139,Surgical Replantation,topp,C0524865,Reconstructive Surgical Procedures,topp,PubMed
NEG_ISA,C1336767,Topoisomerase,aapp,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_ISA,C0028259,Nodule,acab,C0221198,Lesion,fndg,PubMed
NEG_ISA,C0005186,beta-Actin,aapp,C0087111,Therapeutic procedure,topp,PubMed
NEG_ISA,C0401976,Occupational physician,prog,C0018724,Health Personnel,prog,PubMed
NEG_ISA,C0006801,Camels,mamm,C0024660,Mammals,mamm,PubMed
NEG_ISA,C0539884,endonuclease III,aapp,C0031640,phosphoric diester hydrolase,aapp,PubMed
NEG_ISA,C0034665,Ranitidine,orch,C1254351,Pharmacologic Substance,phsu,PubMed
NEG_ISA,C0009079,Clozapine,orch,C0040615,Antipsychotic Agents,phsu,PubMed
NEG_ISA,C0028128,Nitric Oxide,bacs,C1533685,Injection procedure,topp,PubMed
NEG_ISA,C0017725,Glucose,bacs,C0242209,Sugars,carb,PubMed
NEG_ISA,C0016360,Fluorouracil,nnon,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_ISA,C0006560,C-reactive protein,aapp,C0001347,Acute-Phase Proteins,aapp,PubMed
NEG_ISA,C0021246,Indomethacin,orch,C0085387,Cyclooxygenase Inhibitors,phsu,PubMed
NEG_ISA,C0022635,Ketoprofen,orch,C0085387,Cyclooxygenase Inhibitors,phsu,PubMed
NEG_ISA,C0679657,cognitive technique,topp,C0033968,Psychotherapy,topp,PubMed
NEG_ISA,C0023401,Leucine,aapp,C0002520,Amino Acids,aapp,PubMed
NEG_ISA,C0004057,Aspirin,orch,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_ISA,C0001924,Albumins,aapp,C0087111,Therapeutic procedure,topp,PubMed
