PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_MANIFESTATION_OF,C1265875,Disintegration,acab,C1514248,Post-Transcriptional Regulation,genf,PubMed
NEG_MANIFESTATION_OF,C1457887,Symptoms,sosy,C0521169,"Fractures, Compression",patf,PubMed
NEG_MANIFESTATION_OF,C0546884,Hypovolemia,patf,C0221102,Excretory function,phsf,PubMed
NEG_MANIFESTATION_OF,C0019114,Hemosiderosis,dsyn,C0012634,Disease,dsyn,PubMed
NEG_MANIFESTATION_OF,C0021308,Infarction,patf,C0857353,Hypotensive,patf,PubMed
NEG_MANIFESTATION_OF,C0021308,Infarction,patf,C1261287,Stenosis,patf,PubMed
NEG_MANIFESTATION_OF,C0010276,Craniopharyngioma,neop,C0025568,Metaplasia,comd,PubMed
NEG_MANIFESTATION_OF,C0151799,Skin necrosis,patf,C0334096,Intimal proliferation,patf,PubMed
NEG_MANIFESTATION_OF,C1264606,Persistent infection,dsyn,C0042749,Viremia,dsyn,PubMed
NEG_MANIFESTATION_OF,C1264606,Persistent infection,dsyn,C0042769,Virus Diseases,dsyn,PubMed
NEG_MANIFESTATION_OF,C0037284,Skin lesion,acab,C1302772,Primary cutaneous lymphoma,neop,PubMed
NEG_MANIFESTATION_OF,C0027651,Neoplasm,neop,C0206062,"Lung Diseases, Interstitial",dsyn,PubMed
NEG_MANIFESTATION_OF,C0311392,Physical findings,sosy,C0599177,protein activation,genf,PubMed
NEG_MANIFESTATION_OF,C0343525,Fusobacterial necrotizing tonsillitis,dsyn,C0012634,Disease,dsyn,PubMed
NEG_MANIFESTATION_OF,C0232599,Vomiting bile,sosy,C0038359,Stomach Volvulus,acab,PubMed
NEG_MANIFESTATION_OF,C0242528,Azotemia,dsyn,C0221102,Excretory function,phsf,PubMed
NEG_MANIFESTATION_OF,C0746408,MASS LESION,dsyn,C0001430,adenoma,neop,PubMed
NEG_MANIFESTATION_OF,C0678222,Breast Carcinoma,neop,C0035335,Retinoblastoma,neop,PubMed
NEG_MANIFESTATION_OF,C1265604,Ulcerated mass,anab,C0006826,Malignant Neoplasms,neop,PubMed
NEG_MANIFESTATION_OF,C0006826,Malignant Neoplasms,neop,C0175895,calcification,patf,PubMed
NEG_MANIFESTATION_OF,C0311392,Physical findings,sosy,C0024141,"Lupus Erythematosus, Systemic",dsyn,PubMed
NEG_MANIFESTATION_OF,C1457887,Symptoms,sosy,C0037313,Sleep,orgf,PubMed
NEG_MANIFESTATION_OF,C0015672,Fatigue,sosy,C0233794,Memory impairment,mobd,PubMed
