PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_MEASURES,C0005863,"Blotting, Western",lbpr,C0074554,Simvastatin,orch,PubMed
NEG_MEASURES,C0013845,Electron Spin Resonance Spectroscopy,lbpr,C0003241,Antibodies,aapp,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0032521,Polymers,bodm,PubMed
NEG_MEASURES,C0681797,paradigm,resa,C0017952,Glycolysis,moft,PubMed
NEG_MEASURES,C0079240,Dilution Technics,lbpr,C0066409,Methylmethacrylate,bodm,PubMed
NEG_MEASURES,C0202155,"Oxygen measurement, partial pressure, arterial",lbpr,C0009566,Complication,patf,PubMed
NEG_MEASURES,C0150105,random sample,resa,C0806140,Flow,orga,PubMed
NEG_MEASURES,C0858105,Serum copper,lbpr,C0019202,Hepatolenticular Degeneration,dsyn,PubMed
NEG_MEASURES,C0034580,Radioimmunoassay,lbpr,C0039601,Testosterone,horm,PubMed
NEG_MEASURES,C0936012,Analysis,resa,C0123771,Interleukin 4 Receptor,aapp,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0439234,year,tmco,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0678518,congener,chvs,PubMed
NEG_MEASURES,C0037806,"Spectrophotometry, Atomic Absorption",lbpr,C0040223,Time,tmco,PubMed
NEG_MEASURES,C0023981,Longitudinal Studies,resa,C0002395,Alzheimer's Disease,dsyn,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0025545,Metallothionein,aapp,PubMed
NEG_MEASURES,C0037806,"Spectrophotometry, Atomic Absorption",lbpr,C0032821,Potassium,bacs,PubMed
NEG_MEASURES,C0683134,voltammetry,lbpr,C0011145,Deferoxamine,bacs,PubMed
NEG_MEASURES,C0008559,"Chromatography, Gel",lbpr,C0376525,Dimerization,npop,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0443302,Several,qnco,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0035668,RNA,bacs,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0205390,Phase,tmco,PubMed
NEG_MEASURES,C0017654,Glomerular Filtration Rate,diap,C0151746,Abnormal renal function,patf,PubMed
NEG_MEASURES,C0021044,Immunohistochemistry,lbpr,C0007587,Cell Death,celf,PubMed
NEG_MEASURES,C0949466,Western Blot,lbpr,C0007587,Cell Death,celf,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0028778,Obstruction,patf,PubMed
NEG_MEASURES,C1510486,Dual-Energy X-Ray Absorptiometry,diap,C0005885,Body Composition,orga,PubMed
NEG_MEASURES,C0597731,Surface Plasmon Resonance,mbrt,C0037791,Specificity,qnco,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0279516,Anti-Bacterial Agents,antb,PubMed
NEG_MEASURES,C0008976,Clinical Trials,resa,C0814843,effect size,qnco,PubMed
NEG_MEASURES,C0441677,Accelerometry,lbpr,C0596840,limb movement,orgf,PubMed
NEG_MEASURES,C0013819,Electroencephalography,diap,C0449243,Timing,tmco,PubMed
NEG_MEASURES,C0014441,Enzyme-Linked Immunosorbent Assay,lbpr,C0003250,Monoclonal Antibodies,aapp,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C1547011,Aspect,qnco,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0237753,Numbers,qnco,PubMed
NEG_MEASURES,C0016640,Fractionation,lbpr,C0003765,Arginine,aapp,PubMed
NEG_MEASURES,C0008555,Gas Chromatography,lbpr,C0032447,Polychlorinated Biphenyls,hops,PubMed
NEG_MEASURES,C0008555,Gas Chromatography,lbpr,C0057764,"dibenzo(1,4)dioxin",orch,PubMed
NEG_MEASURES,C0037813,"Spectrum Analysis, Mass",lbpr,C0032447,Polychlorinated Biphenyls,hops,PubMed
NEG_MEASURES,C0037813,"Spectrum Analysis, Mass",lbpr,C0057764,"dibenzo(1,4)dioxin",orch,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0017337,Genes,aapp,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_MEASURES,C0033522,Prospective Studies,resa,C0021149,Incidence,qnco,PubMed
NEG_MEASURES,C0936012,Analysis,resa,C0023115,Latex,bodm,PubMed
NEG_MEASURES,C0006781,"Calorimetry, Indirect",lbpr,C0429702,Respiratory quotient,lbtr,PubMed
NEG_MEASURES,C0870071,Modeling,resa,C0032105,Plasma,bdsu,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C1336767,Topoisomerase,aapp,PubMed
NEG_MEASURES,C0018935,Hematocrit procedure,lbpr,C0007595,Cell Growth,celf,PubMed
NEG_MEASURES,C0679083,simulation,resa,C0014272,Energy Metabolism,phsf,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0007818,Cerebrovascular Circulation,ortf,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0003250,Monoclonal Antibodies,aapp,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0449911,View,orga,PubMed
NEG_MEASURES,C0026018,Microscopy,lbpr,C1288291,Organic dye,orch,PubMed
NEG_MEASURES,C0041618,Ultrasonography,diap,C1265611,Quantity,qnco,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0443228,Largest,qnco,PubMed
NEG_MEASURES,C0008976,Clinical Trials,resa,C0814225,Benefits,qnco,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0596402,cytotoxicity,comd,PubMed
NEG_MEASURES,C0086231,Enzyme Immunoassay,lbpr,C0001455,Cyclic AMP,bacs,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0597177,particle,chvs,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0332152,Status pre-,tmco,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0012860,DNA Damage,comd,PubMed
NEG_MEASURES,C0442842,Conventional angiography,diap,C0232338,Blood flow,orgf,PubMed
NEG_MEASURES,C0008813,Circular Dichroism,lbpr,C0017837,Glutathione S-Transferase,aapp,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0449247,Time course,tmco,PubMed
NEG_MEASURES,C0085854,Auditory Brainstem Responses,diap,C0392673,Adaptation,biof,PubMed
NEG_MEASURES,C0013516,Echocardiography,diap,C0449468,Volume,qnco,PubMed
NEG_MEASURES,C0024485,Magnetic Resonance Imaging,diap,C0449468,Volume,qnco,PubMed
NEG_MEASURES,C0040395,tomography,diap,C0449468,Volume,qnco,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0012634,Disease,dsyn,PubMed
NEG_MEASURES,C0037815,"Spectrum Analysis, Raman",lbpr,C0007009,Carbon,elii,PubMed
NEG_MEASURES,C0041618,Ultrasonography,diap,C1441416,PROSTATE VOLUME,qnco,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C1335144,Orthologous Gene,aapp,PubMed
NEG_MEASURES,C0021044,Immunohistochemistry,lbpr,C0022864,Labor (Childbirth),orgf,PubMed
NEG_MEASURES,C0949466,Western Blot,lbpr,C0022864,Labor (Childbirth),orgf,PubMed
NEG_MEASURES,C0017654,Glomerular Filtration Rate,diap,C0022005,Iohexol,irda,PubMed
NEG_MEASURES,C0017654,Glomerular Filtration Rate,diap,C0022032,Iothalamate,irda,PubMed
NEG_MEASURES,C0039593,Testing,resa,C0012634,Disease,dsyn,PubMed
NEG_MEASURES,C0037805,Spectrophotometry,lbpr,C0077431,tryptamine,nsba,PubMed
NEG_MEASURES,C0599748,Tandem Mass Spectrometry,mbrt,C0008377,Cholesterol,bacs,PubMed
NEG_MEASURES,C0599748,Tandem Mass Spectrometry,mbrt,C0011704,Desmosterol,strd,PubMed
NEG_MEASURES,C0599748,Tandem Mass Spectrometry,mbrt,C0023025,Lanosterol,strd,PubMed
NEG_MEASURES,C0599748,Tandem Mass Spectrometry,mbrt,C0038323,Sterols,strd,PubMed
NEG_MEASURES,C0206077,"Ultrasonography, Doppler, Transcranial",diap,C0007787,Transient Ischemic Attack,dsyn,PubMed
NEG_MEASURES,C0018935,Hematocrit procedure,lbpr,C0020538,Hypertensive disease,dsyn,PubMed
NEG_MEASURES,C0014441,Enzyme-Linked Immunosorbent Assay,lbpr,C0298067,pirfenidone,orch,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0003232,Antibiotics,antb,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0014175,"Endometriosis, site unspecified",dsyn,PubMed
NEG_MEASURES,C0162462,Velocimetry,lbpr,C1547053,*Velocity,qnco,PubMed
NEG_MEASURES,C0877853,"Spectroscopy, Nuclear Magnetic Resonance",diap,C0022262,Isotopes,elii,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0005890,Body Height,orga,PubMed
NEG_MEASURES,C0936012,Analysis,resa,C0205390,Phase,tmco,PubMed
NEG_MEASURES,C0282597,"Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",lbpr,C0032594,Polysaccharides,carb,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0242643,P-Glycoprotein,aapp,PubMed
NEG_MEASURES,C0008555,Gas Chromatography,lbpr,C0015219,Evolution,genf,PubMed
NEG_MEASURES,C0040395,tomography,diap,C0020507,Hyperplasia,patf,PubMed
NEG_MEASURES,C0020980,Immunoassay,lbpr,C1442488,BASELINE,qnco,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0016263,Flow Cytometry,lbpr,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0008838,Cisplatin,phsu,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0016360,Fluorouracil,phsu,PubMed
NEG_MEASURES,C0373345,Transrectal Ultrasound,diap,C0332448,Infiltration,patf,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C1273642,Coated tablet,bodm,PubMed
NEG_MEASURES,C0040395,tomography,diap,C0080310,"Ventricular Function, Left",ortf,PubMed
NEG_MEASURES,C0442977,ECG analysis,diap,C0879626,Adverse effects,patf,PubMed
NEG_MEASURES,C0016352,Fluorometry,lbpr,C1265611,Quantity,qnco,PubMed
NEG_MEASURES,C0013839,Electromyography,diap,C0489786,Height,orga,PubMed
NEG_MEASURES,C0430499,Infrared thermometry,diap,C0037294,Skin Temperature,orga,PubMed
NEG_MEASURES,C0038577,Substance Abuse Detection,lbpr,C0678756,drug concentration,qnco,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0036581,Selenium,bacs,PubMed
NEG_MEASURES,C0039593,Testing,resa,C0043047,Water,inch,PubMed
NEG_MEASURES,C0005558,Biopsy,diap,C0006826,Malignant Neoplasms,neop,PubMed
NEG_MEASURES,C0085854,Auditory Brainstem Responses,diap,C0556965,kHz,qnco,PubMed
NEG_MEASURES,C0043301,X-Ray Diffraction,lbpr,C0444626,Crystal Structure,chvs,PubMed
NEG_MEASURES,C1441506,CALCULATION,lbpr,C0444626,Crystal Structure,chvs,PubMed
NEG_MEASURES,C0751980,Comet Assay,mbrt,C0012854,DNA,bacs,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0030046,Oxyclozanide,orch,PubMed
NEG_MEASURES,C0008976,Clinical Trials,resa,C0598958,Neuroprotection,moft,PubMed
NEG_MEASURES,C0013819,Electroencephalography,diap,C0439234,year,tmco,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C1444754,Length,qnco,PubMed
NEG_MEASURES,C0681814,research study,resa,C0806140,Flow,orga,PubMed
NEG_MEASURES,C0441677,Accelerometry,lbpr,C0542330,Joint mobilization,ortf,PubMed
NEG_MEASURES,C0202391,Gentamicin measurement,lbpr,C1563772,Bacterial Viability,npop,PubMed
NEG_MEASURES,C0368993,Colony count,lbpr,C1563772,Bacterial Viability,npop,PubMed
NEG_MEASURES,C0035168,research,resa,C0012634,Disease,dsyn,PubMed
NEG_MEASURES,C0936012,Analysis,resa,C1517945,Loss,qnco,PubMed
NEG_MEASURES,C0039593,Testing,resa,C0370231,whole blood,bdsu,PubMed
NEG_MEASURES,C0178862,Thermometry,diap,C0039476,Temperature,qnco,PubMed
NEG_MEASURES,C0681814,research study,resa,C0205156,Previous,tmco,PubMed
NEG_MEASURES,C0041618,Ultrasonography,diap,C0262469,Embolic stroke,dsyn,PubMed
NEG_MEASURES,C0748972,SSA,lbpr,C0229671,Serum,bdsu,PubMed
NEG_MEASURES,C0748972,SSA,lbpr,C1550101,Supernatant,bdsu,PubMed
NEG_MEASURES,C0024485,Magnetic Resonance Imaging,diap,C1279919,Early,tmco,PubMed
NEG_MEASURES,C0037813,"Spectrum Analysis, Mass",lbpr,C0003161,Anthocyanins,orch,PubMed
NEG_MEASURES,C0037813,"Spectrum Analysis, Mass",lbpr,C0359916,Phenolics,orch,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0205178,acute,tmco,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0205191,chronic,tmco,PubMed
NEG_MEASURES,C1516365,Cellular Assay,resa,C0066801,morin,orch,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0028754,Obesity,dsyn,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C1160185,transduction,orgf,PubMed
NEG_MEASURES,C0872318,Liquid Chromatography Mass Spectrometry,lbpr,C1334043,Homologous Gene,aapp,PubMed
NEG_MEASURES,C0037813,"Spectrum Analysis, Mass",lbpr,C1334043,Homologous Gene,aapp,PubMed
NEG_MEASURES,C0021044,Immunohistochemistry,lbpr,C0235991,Small-for-dates unspecified,patf,PubMed
NEG_MEASURES,C0201679,Human papillomavirus typing,lbpr,C1533148,Case unit dose,qnco,PubMed
NEG_MEASURES,C0037812,Spectrum Analysis,lbpr,C0007818,Cerebrovascular Circulation,ortf,PubMed
NEG_MEASURES,C0014441,Enzyme-Linked Immunosorbent Assay,lbpr,C0667830,caspase-8,aapp,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0667830,caspase-8,aapp,PubMed
NEG_MEASURES,C0936012,Analysis,resa,C0205314,New,tmco,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0302583,Iron,bacs,PubMed
NEG_MEASURES,C0202155,"Oxygen measurement, partial pressure, arterial",lbpr,C0443252,Long-term,tmco,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0035203,Respiration,phsf,PubMed
NEG_MEASURES,C0037812,Spectrum Analysis,lbpr,C0012854,DNA,bacs,PubMed
NEG_MEASURES,C0021730,Interferometry,lbpr,C0013764,elasticity,npop,PubMed
NEG_MEASURES,C0014441,Enzyme-Linked Immunosorbent Assay,lbpr,C0474643,Antibody titer measurement,lbpr,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0086715,Normal Range,qnco,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0013879,Elements,elii,PubMed
NEG_MEASURES,C1515654,in vitro Model,resa,C0017725,Glucose,bacs,PubMed
NEG_MEASURES,C0024485,Magnetic Resonance Imaging,diap,C0439659,Beginning,tmco,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0456696,/24h,tmco,PubMed
NEG_MEASURES,C0007723,Cephalometry,diap,C0001779,Age,orga,PubMed
NEG_MEASURES,C0005800,Blood Gas Analysis,lbpr,C0231940,Alveolar ventilation function,ortf,PubMed
NEG_MEASURES,C0200931,Polymerase chain reaction analysis,lbpr,C0349639,Juvenile myelomonocytic leukemia,neop,PubMed
NEG_MEASURES,C0877853,"Spectroscopy, Nuclear Magnetic Resonance",diap,C0017725,Glucose,bacs,PubMed
NEG_MEASURES,C0013819,Electroencephalography,diap,C0205087,Late,tmco,PubMed
NEG_MEASURES,C0039593,Testing,resa,C0017431,Genotype,orga,PubMed
NEG_MEASURES,C0008562,High pressure liquid chromatography procedure,lbpr,C0014563,Epinephrine,horm,PubMed
NEG_MEASURES,C0373748,Zinc measurement,lbpr,C0014442,Enzymes,enzy,PubMed
NEG_MEASURES,C0005863,"Blotting, Western",lbpr,C0596402,cytotoxicity,comd,PubMed
NEG_MEASURES,C0037981,Spirometry,diap,C0277785,Functional disorder,patf,PubMed
NEG_MEASURES,C0376519,"Spectroscopy, Near-Infrared",lbpr,C0443158,Brain activity,phsf,PubMed
NEG_MEASURES,C0596723,human data,resa,C0002092,Allergens,imft,PubMed
NEG_MEASURES,C0936012,Analysis,resa,C1522384,sex,orga,PubMed
NEG_MEASURES,C0040398,"Tomography, Emission-Computed",diap,C0150312,Present,qnco,PubMed
NEG_MEASURES,C1553145,Vitek,lbpr,C0427978,Minimum Inhibitory Concentration measurement,lbpr,PubMed
NEG_MEASURES,C0021044,Immunohistochemistry,lbpr,C1533148,Case unit dose,qnco,PubMed
NEG_MEASURES,C0032520,Polymerase Chain Reaction,lbpr,C1533148,Case unit dose,qnco,PubMed
NEG_MEASURES,C0751980,Comet Assay,mbrt,C1148806,nuclease activity,genf,PubMed
NEG_MEASURES,C0201823,"Crystal identification, chemical",lbpr,C0205390,Phase,tmco,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0002976,Angiogenesis Factor,bacs,PubMed
NEG_MEASURES,C0002978,angiogram,diap,C0439534,Dimensions,qnco,PubMed
NEG_MEASURES,C0016441,Follow-Up Studies,resa,C1442488,BASELINE,qnco,PubMed
NEG_MEASURES,C1527218,Chemical-Induced Change,resa,C0001807,Aggressive behavior,mobd,PubMed
NEG_MEASURES,C0013819,Electroencephalography,diap,C1610540,Kind of quantity - Ratios,qnco,PubMed
NEG_MEASURES,C0681814,research study,resa,C0023114,Handedness,orga,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0023114,Handedness,orga,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0033687,Proteinuria,dsyn,PubMed
NEG_MEASURES,C0039593,Testing,resa,C0424166,Social fear,mobd,PubMed
NEG_MEASURES,C0008976,Clinical Trials,resa,C0028873,Odds Ratio,qnco,PubMed
NEG_MEASURES,C0039593,Testing,resa,C0002520,Amino Acids,aapp,PubMed
NEG_MEASURES,C0008972,Clinical Research,resa,C0021149,Incidence,qnco,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0086231,Enzyme Immunoassay,lbpr,PubMed
NEG_MEASURES,C1510438,Assay,lbpr,C0201622,Cytotoxicity assay,lbpr,PubMed
NEG_MEASURES,C0681814,research study,resa,C0008318,Cholecalciferol,phsu,PubMed
