PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_METHOD_OF,C0407295,Fixation of fracture using plate,topp,C0042196,Vaccination,topp,PubMed
NEG_METHOD_OF,C0184661,Procedures,hlca,C0920467,disorder control,topp,PubMed
NEG_METHOD_OF,C0032520,Polymerase Chain Reaction,lbpr,C0019664,Recording of previous events,ocdi,PubMed
NEG_METHOD_OF,C0150162,Caregiver support,topp,C0150126,Airway management,topp,PubMed
NEG_METHOD_OF,C0039152,Systems Analysis,ocac,C0030664,Pathology,bmod,PubMed
NEG_METHOD_OF,C0008972,Clinical Research,resa,C0019664,Recording of previous events,ocdi,PubMed
NEG_METHOD_OF,C0001674,Adsorption,lbpr,C0243114,purification,lbpr,PubMed
NEG_METHOD_OF,C0008976,Clinical Trials,resa,C0005532,Biology,bmod,PubMed
NEG_METHOD_OF,C0037943,Spinal Puncture,diap,C0920455,diagnosis evaluation,ocdi,PubMed
NEG_METHOD_OF,C0040395,tomography,diap,C0920455,diagnosis evaluation,ocdi,PubMed
NEG_METHOD_OF,C0348025,Open approach,topp,C1511790,Detection,topp,PubMed
NEG_METHOD_OF,C0011121,Decontamination,topp,C0543467,Operative Surgical Procedures,topp,PubMed
NEG_METHOD_OF,C0008972,Clinical Research,resa,C0010802,Cytogenetics,bmod,PubMed
NEG_METHOD_OF,C1510438,Assay,lbpr,C1533685,Injection procedure,topp,PubMed
NEG_METHOD_OF,C0543467,Operative Surgical Procedures,topp,C0030664,Pathology,bmod,PubMed
NEG_METHOD_OF,C0184661,Procedures,hlca,C0040732,Transplantation,topp,PubMed
NEG_METHOD_OF,C0176996,Total nephrectomy NOS,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_METHOD_OF,C0013103,Drainage procedure,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_METHOD_OF,C0011946,Dialysis procedure,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_METHOD_OF,C0430879,Indocyanine green angiography,diap,C0016313,Fluorescein Angiography,diap,PubMed
NEG_METHOD_OF,C0949466,Western Blot,lbpr,C0022100,Irrigation,topp,PubMed
NEG_METHOD_OF,C0949466,Western Blot,lbpr,C0087111,Therapeutic procedure,topp,PubMed
NEG_METHOD_OF,C0032520,Polymerase Chain Reaction,lbpr,C1511790,Detection,topp,PubMed
NEG_METHOD_OF,C0016640,Fractionation,lbpr,C0185115,Extraction,topp,PubMed
NEG_METHOD_OF,C0009418,Colpotomy,topp,C0184898,Surgical incisions,topp,PubMed
NEG_METHOD_OF,C0040732,Transplantation,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_METHOD_OF,C0087111,Therapeutic procedure,topp,C0036435,Sclerotherapy,topp,PubMed
NEG_METHOD_OF,C0949632,Electrophoretic Mobility Shift Assay,lbpr,C0596495,"Spectrometry, Mass, Electrospray Ionization",lbpr,PubMed
NEG_METHOD_OF,C0079595,Imaging Techniques,topp,C0003737,Architecture,ocdi,PubMed
NEG_METHOD_OF,C0034117,Puncture procedure,hlca,C0039991,Thoracotomy,topp,PubMed
NEG_METHOD_OF,C0024485,Magnetic Resonance Imaging,diap,C0040399,"Tomography, Emission-Computed, Single-Photon",diap,PubMed
NEG_METHOD_OF,C0087111,Therapeutic procedure,topp,C1533685,Injection procedure,topp,PubMed
NEG_METHOD_OF,C0184661,Procedures,hlca,C0422202,Notifications NOS,hlca,PubMed
NEG_METHOD_OF,C0087111,Therapeutic procedure,topp,C0019638,Histology,bmod,PubMed
NEG_METHOD_OF,C0407295,Fixation of fracture using plate,topp,C0728940,Excision,topp,PubMed
NEG_METHOD_OF,C0041394,Turbidimetry,lbpr,C1533685,Injection procedure,topp,PubMed
NEG_METHOD_OF,C0087111,Therapeutic procedure,topp,C0023690,Ligation,topp,PubMed
NEG_METHOD_OF,C1449551,"Microscopy, Energy-Filtering Transmission Electron",lbpr,C0678648,electron spectroscopy,lbpr,PubMed
NEG_METHOD_OF,C1449551,"Microscopy, Energy-Filtering Transmission Electron",lbpr,C0025086,Medical Imaging,diap,PubMed
NEG_METHOD_OF,C1533685,Injection procedure,topp,C0021107,Implantation procedure,topp,PubMed
NEG_METHOD_OF,C0021044,Immunohistochemistry,lbpr,C0032520,Polymerase Chain Reaction,lbpr,PubMed
NEG_METHOD_OF,C0087111,Therapeutic procedure,topp,C0872104,"Reproductive Technology, Assisted",topp,PubMed
NEG_METHOD_OF,C1273869,Intervention regimes,hlca,C0087111,Therapeutic procedure,topp,PubMed
NEG_METHOD_OF,C0678634,zone electrophoresis,lbpr,C0008550,Chromatography,lbpr,PubMed
NEG_METHOD_OF,C0348025,Open approach,topp,C0399995,Interval appendectomy,topp,PubMed
NEG_METHOD_OF,C0021267,Industry,ocac,C1510624,Pedagogy,ocdi,PubMed
NEG_METHOD_OF,C0185115,Extraction,topp,C1511790,Detection,topp,PubMed
NEG_METHOD_OF,C0543467,Operative Surgical Procedures,topp,C0393293,Endoscopic dilatation,topp,PubMed
NEG_METHOD_OF,C0728940,Excision,topp,C0152060,Transection (procedure),topp,PubMed
NEG_METHOD_OF,C0008555,Gas Chromatography,lbpr,C1511790,Detection,topp,PubMed
NEG_METHOD_OF,C0041618,Ultrasonography,diap,C0030664,Pathology,bmod,PubMed
NEG_METHOD_OF,C0369671,Microscopic observation,lbpr,C1328870,DNA chemical synthesis,lbpr,PubMed
NEG_METHOD_OF,C0013819,Electroencephalography,diap,C0001164,Acoustic Stimulation,diap,PubMed
NEG_METHOD_OF,C0679083,simulation,resa,C0014279,Engineering,ocdi,PubMed
NEG_METHOD_OF,C0013786,Electric Stimulation,lbpr,C0035028,Relaxation,topp,PubMed
NEG_METHOD_OF,C0022100,Irrigation,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_METHOD_OF,C0022885,Laboratory Procedures,lbpr,C1511790,Detection,topp,PubMed
NEG_METHOD_OF,C0184661,Procedures,hlca,C0451615,Pain relief,topp,PubMed
NEG_METHOD_OF,C0013845,Electron Spin Resonance Spectroscopy,lbpr,C0853169,Blood iron,lbpr,PubMed
NEG_METHOD_OF,C0679560,Genetic screening method,lbpr,C1511790,Detection,topp,PubMed
NEG_METHOD_OF,C0185115,Extraction,topp,C0003737,Architecture,ocdi,PubMed
NEG_METHOD_OF,C1510438,Assay,lbpr,C1293131,Fusion procedure,topp,PubMed
NEG_METHOD_OF,C0029090,Ophthalmoscopy,diap,C0920367,"Tomography, Optical Coherence",diap,PubMed
NEG_METHOD_OF,C1096489,Vitamin K antagonist,topp,C0003281,anticoagulation,topp,PubMed
NEG_METHOD_OF,C0087111,Therapeutic procedure,topp,C0279023,chemosensitization/potentiation,topp,PubMed
NEG_METHOD_OF,C0728940,Excision,topp,C0019004,Hemodialysis,topp,PubMed
NEG_METHOD_OF,C0008555,Gas Chromatography,lbpr,C0243114,purification,lbpr,PubMed
NEG_METHOD_OF,C0184661,Procedures,hlca,C0011900,Diagnosis,hlca,PubMed
NEG_METHOD_OF,C0681814,research study,resa,C0024934,Mathematics,ocdi,PubMed
NEG_METHOD_OF,C0026018,Microscopy,lbpr,C0019664,Recording of previous events,ocdi,PubMed
NEG_METHOD_OF,C0204727,Isolation procedure,topp,C0728940,Excision,topp,PubMed
NEG_METHOD_OF,C0021267,Industry,ocac,C0039421,Technology,ocdi,PubMed
NEG_METHOD_OF,C0199974,Cytokine therapy,topp,C0302189,Cell Therapy,topp,PubMed
NEG_METHOD_OF,C0024671,Mammography,diap,C0025086,Medical Imaging,diap,PubMed
NEG_METHOD_OF,C0041618,Ultrasonography,diap,C0025086,Medical Imaging,diap,PubMed
NEG_METHOD_OF,C0087111,Therapeutic procedure,topp,C0003737,Architecture,ocdi,PubMed
NEG_METHOD_OF,C0243009,CD4 Count determination procedure,lbpr,C0087111,Therapeutic procedure,topp,PubMed
NEG_METHOD_OF,C0087111,Therapeutic procedure,topp,C0035849,Root Canal Therapy,topp,PubMed
NEG_METHOD_OF,C0019004,Hemodialysis,topp,C0031139,Peritoneal Dialysis,topp,PubMed
NEG_METHOD_OF,C0019014,Hemofiltration,topp,C0031139,Peritoneal Dialysis,topp,PubMed
NEG_METHOD_OF,C0087111,Therapeutic procedure,topp,C1511790,Detection,topp,PubMed
NEG_METHOD_OF,C0430054,"Toxicology screen, general",lbpr,C0043299,Diagnostic radiologic examination,diap,PubMed
NEG_METHOD_OF,C0087111,Therapeutic procedure,topp,C0037680,Sonication,topp,PubMed
NEG_METHOD_OF,C0002913,"Anesthesia, Epidural",topp,C0038906,Obstetric Surgical Procedures,topp,PubMed
NEG_METHOD_OF,C0262685,Delegation,hlca,C0087111,Therapeutic procedure,topp,PubMed
NEG_METHOD_OF,C0087111,Therapeutic procedure,topp,C0018943,Hematology,bmod,PubMed
NEG_METHOD_OF,C0597410,reversed phase chromatography,lbpr,C0008562,High pressure liquid chromatography procedure,lbpr,PubMed
NEG_METHOD_OF,C0728940,Excision,topp,C0524865,Reconstructive Surgical Procedures,topp,PubMed
NEG_METHOD_OF,C0199551,Cardiac electrophysiologic stimulation and recording study,diap,C0850293,Electrophysiological studies,diap,PubMed
NEG_METHOD_OF,C0194708,Amputation of penis NOS,topp,C0728940,Excision,topp,PubMed
NEG_METHOD_OF,C0194708,Amputation of penis NOS,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_METHOD_OF,C0021044,Immunohistochemistry,lbpr,C0016263,Flow Cytometry,lbpr,PubMed
NEG_METHOD_OF,C0013516,Echocardiography,diap,C0441633,Scanning,diap,PubMed
NEG_METHOD_OF,C0034580,Radioimmunoassay,lbpr,C0017231,Immunodiffusion,lbpr,PubMed
