PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_OCCURS_IN,C0006826,Malignant Neoplasms,neop,C0683971,General Population,popg,PubMed
NEG_OCCURS_IN,C0018270,Growth,orgf,C0025266,Male population group,popg,PubMed
NEG_OCCURS_IN,C0011065,Cessation of life,orgf,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0028263,Noise,phpr,C0021270,Infant,aggp,PubMed
NEG_OCCURS_IN,C0014412,Environmental Exposure,inpo,C0037047,sibling,famg,PubMed
NEG_OCCURS_IN,C0043251,Wounds and Injuries,inpo,C0870221,Boys,popg,PubMed
NEG_OCCURS_IN,C0085612,Ventricular arrhythmia,patf,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0242528,Azotemia,dsyn,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0003537,Aphasia,mobd,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C1442161,DELETION,comd,C0006826,Malignant Neoplasms,neop,PubMed
NEG_OCCURS_IN,C0015523,Factor XI Deficiency,dsyn,C0337704,Ashkenazi Jew,popg,PubMed
NEG_OCCURS_IN,C0012634,Disease,dsyn,C0337704,Ashkenazi Jew,popg,PubMed
NEG_OCCURS_IN,C0032961,Pregnancy,orgf,C0043210,Woman,popg,PubMed
NEG_OCCURS_IN,C0010054,Coronary Arteriosclerosis,dsyn,C0043210,Woman,popg,PubMed
NEG_OCCURS_IN,C0600688,Toxic effect,inpo,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0031212,Personality Disorders,mobd,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0006826,Malignant Neoplasms,neop,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0018801,Heart failure,dsyn,C0679646,Participant,popg,PubMed
NEG_OCCURS_IN,C0878544,Cardiomyopathies,dsyn,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0016169,pathologic fistula,anab,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0572025,Acetaminophen overdose,inpo,C1257890,Population Group,popg,PubMed
NEG_OCCURS_IN,C0029944,overdose,inpo,C1257890,Population Group,popg,PubMed
NEG_OCCURS_IN,C0085271,Self-Injurious Behavior,mobd,C0683971,General Population,popg,PubMed
NEG_OCCURS_IN,C0012634,Disease,dsyn,C0027362,Human Age Group,aggp,PubMed
NEG_OCCURS_IN,C0022408,Arthropathies NOS,dsyn,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0009566,Complication,patf,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0000768,Congenital Abnormality,cgab,C0238598,Young adult,aggp,PubMed
NEG_OCCURS_IN,C0040553,Toxocariasis,dsyn,C1257890,Population Group,popg,PubMed
NEG_OCCURS_IN,C0000786,Spontaneous abortion,dsyn,C0043210,Woman,popg,PubMed
NEG_OCCURS_IN,C0854571,Reocclusion,inpo,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0041912,"Infections, Upper Respiratory",dsyn,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0920710,liver hypoxia,patf,C0001792,Elderly,aggp,PubMed
NEG_OCCURS_IN,C0037313,Sleep,orgf,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0018801,Heart failure,dsyn,C0021270,Infant,aggp,PubMed
NEG_OCCURS_IN,C0087086,Thrombus,dsyn,C1257890,Population Group,popg,PubMed
NEG_OCCURS_IN,C1456574,Anterior Cruciate Ligament Injury,inpo,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0439857,Dependence,mobd,C0683971,General Population,popg,PubMed
NEG_OCCURS_IN,C0034065,Pulmonary Embolism,dsyn,C0871463,Surgical Patients,podg,PubMed
NEG_OCCURS_IN,C0740406,Incarcerated hernia,acab,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0011127,Decubitus ulcer,dsyn,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0009450,Communicable Diseases,dsyn,C0008100,"Child, Preschool",aggp,PubMed
NEG_OCCURS_IN,C0016658,Fracture,inpo,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0033893,Tension Headache,dsyn,C0683971,General Population,popg,PubMed
NEG_OCCURS_IN,C0741923,CARDIAC EVENT,dsyn,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0035020,Relapse,phpr,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0002895,Sickle Cell Anemia,dsyn,C0079891,Natives,popg,PubMed
NEG_OCCURS_IN,C0017086,Gangrene,dsyn,C0008059,Child,aggp,PubMed
NEG_OCCURS_IN,C0012634,Disease,dsyn,C0008059,Child,humn,PubMed
NEG_OCCURS_IN,C0012634,Disease,dsyn,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0079744,"Lymphoma, Large-Cell, Diffuse",neop,C0030705,Patients,podg,PubMed
NEG_OCCURS_IN,C0038436,"Stress Disorders, Post-Traumatic",mobd,C1257890,Population Group,popg,PubMed
NEG_OCCURS_IN,C0162678,Neurofibromatoses,neop,C0008059,Child,aggp,PubMed
NEG_OCCURS_IN,C0475073,"Subarachnoid Hemorrhage, Traumatic",inpo,C1257890,Population Group,popg,PubMed
NEG_OCCURS_IN,C0011881,Diabetic Nephropathy,dsyn,C0030705,Patients,podg,PubMed
