PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_PRECEDES,C0193769,Operation on thyroid gland,topp,C0198813,"Local anesthesia, by infiltration",topp,PubMed
NEG_PRECEDES,C0022671,Kidney Transplantation,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_PRECEDES,C0543467,Operative Surgical Procedures,topp,C0013216,Pharmacotherapy,topp,PubMed
NEG_PRECEDES,C0005615,Birth,orgf,C0004048,Inspiration function,ortf,PubMed
NEG_PRECEDES,C0021586,Insemination,ortf,C0425583,Heart beat,ortf,PubMed
NEG_PRECEDES,C1532338,Percutaneous coronary intervention,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_PRECEDES,C0009637,Conception,orgf,C1260875,mating,orgf,PubMed
NEG_PRECEDES,C0950151,Estrous Cycle,orgf,C0015895,Fertility,orgf,PubMed
NEG_PRECEDES,C0185188,Division of fascia NOS,topp,C0185292,Fasciectomy,topp,PubMed
NEG_PRECEDES,C0087111,Therapeutic procedure,topp,C0728940,Excision,topp,PubMed
NEG_PRECEDES,C0003506,Aortic valve replacement NOS,topp,C0150457,Anticoagulant therapy,topp,PubMed
NEG_PRECEDES,C0087111,Therapeutic procedure,topp,C0013839,Electromyography,diap,PubMed
NEG_PRECEDES,C0543467,Operative Surgical Procedures,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_PRECEDES,C0267446,Acute gastroenteritis,dsyn,C0019061,Hemolytic-Uremic Syndrome,dsyn,PubMed
NEG_PRECEDES,C0267446,Acute gastroenteritis,dsyn,C1268936,Diarrhea-associated hemolytic uremic syndrome,dsyn,PubMed
NEG_PRECEDES,C0442944,Incision of neck,topp,C0185115,Extraction,topp,PubMed
NEG_PRECEDES,C0728940,Excision,topp,C0037284,Skin lesion,acab,PubMed
NEG_PRECEDES,C0013216,Pharmacotherapy,topp,C0023065,Laryngectomy,topp,PubMed
NEG_PRECEDES,C0392618,Postoperative infection NOS,dsyn,C0041296,Tuberculosis,dsyn,PubMed
NEG_PRECEDES,C0543467,Operative Surgical Procedures,topp,C1518592,Opioid Rotation,topp,PubMed
NEG_PRECEDES,C0376518,Adoptive Transfer,topp,C0025086,Medical Imaging,diap,PubMed
NEG_PRECEDES,C0012737,Dissection,topp,C1533685,Injection procedure,topp,PubMed
NEG_PRECEDES,C0036974,Shock,patf,C0024115,Lung diseases,dsyn,PubMed
NEG_PRECEDES,C0728940,Excision,topp,C0677850,adjuvant therapy,topp,PubMed
NEG_PRECEDES,C0017118,Gastrectomy,topp,C0017125,Gastric Bypass,topp,PubMed
NEG_PRECEDES,C0038640,Suction Lipectomy,topp,C0543467,Operative Surgical Procedures,topp,PubMed
NEG_PRECEDES,C0038640,Suction Lipectomy,topp,C1533685,Injection procedure,topp,PubMed
NEG_PRECEDES,C0042387,Vasectomy,topp,C0194920,Anastomosis of epididymis to vas deferens,topp,PubMed
NEG_PRECEDES,C0027695,Nephrectomy,topp,C0547070,Ablation,topp,PubMed
NEG_PRECEDES,C0027051,Myocardial Infarction,dsyn,C0028778,Obstruction,patf,PubMed
NEG_PRECEDES,C0728940,Excision,topp,C0279494,Oestrogen therapy,topp,PubMed
NEG_PRECEDES,C0543467,Operative Surgical Procedures,topp,C0003904,Arthroscopy,diap,PubMed
NEG_PRECEDES,C0543467,Operative Surgical Procedures,topp,C0040145,Thyroidectomy,topp,PubMed
NEG_PRECEDES,C0543467,Operative Surgical Procedures,topp,C0677850,adjuvant therapy,topp,PubMed
NEG_PRECEDES,C0043084,Weaning,orgf,C0032961,Pregnancy,orgf,PubMed
NEG_PRECEDES,C0009274,Colectomy,topp,C0728940,Excision,topp,PubMed
NEG_PRECEDES,C0007780,Cerebral Embolism,dsyn,C0242698,"Ventricular Dysfunction, Left",patf,PubMed
NEG_PRECEDES,C0022671,Kidney Transplantation,topp,C0040732,Transplantation,topp,PubMed
NEG_PRECEDES,C0037494,Sodium Chloride,bacs,C0025086,Medical Imaging,diap,PubMed
