PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_PREDISPOSES,C0359180,Albumin solution,aapp,C0940933,"Complication, infection",dsyn,PubMed
NEG_PREDISPOSES,C0006644,Caffeine,orch,C0006142,Malignant neoplasm of breast,neop,PubMed
NEG_PREDISPOSES,C0003242,"Antibodies, Anti-Idiotypic",aapp,C0004153,Atherosclerosis,dsyn,PubMed
NEG_PREDISPOSES,C0009237,Coffee,food,C0020538,Hypertensive disease,dsyn,PubMed
NEG_PREDISPOSES,C0246415,docetaxel,orch,C0027947,Neutropenia,dsyn,PubMed
NEG_PREDISPOSES,C0013227,Pharmaceutical Preparations,phsu,C0027947,Neutropenia,dsyn,PubMed
NEG_PREDISPOSES,C0017296,gene therapy,topp,C0002395,Alzheimer's Disease,dsyn,PubMed
NEG_PREDISPOSES,C0001072,Achievement,inbe,C0745153,Hypoglycaemic episode,dsyn,PubMed
NEG_PREDISPOSES,C0024032,Low Birth Weights,fndg,C0020538,Hypertensive disease,dsyn,PubMed
NEG_PREDISPOSES,C1384666,hearing impairment,sosy,C0235280,Ototoxicity,dsyn,PubMed
NEG_PREDISPOSES,C0019878,homocysteine,aapp,C0600688,Toxic effect,inpo,PubMed
NEG_PREDISPOSES,C0162758,Serotonin Uptake Inhibitors,phsu,C0003469,Anxiety Disorders,mobd,PubMed
NEG_PREDISPOSES,C0009566,Complication,patf,C0014118,Endocarditis,dsyn,PubMed
NEG_PREDISPOSES,C0037369,Smoking,inbe,C0024305,"Lymphoma, Non-Hodgkin's",neop,PubMed
NEG_PREDISPOSES,C0016412,Folic Acid Deficiency,dsyn,C0948008,Ischemic stroke,dsyn,PubMed
NEG_PREDISPOSES,C1096458,Vascular occlusion,dsyn,C0004153,Atherosclerosis,dsyn,PubMed
NEG_PREDISPOSES,C0031206,Personal Satisfaction,fndg,C0010054,Coronary Arteriosclerosis,dsyn,PubMed
NEG_PREDISPOSES,C0079904,NF-kappa B,aapp,C0030312,Pancytopenia,dsyn,PubMed
NEG_PREDISPOSES,C0004096,Asthma,dsyn,C0743284,Drug Exposure,fndg,PubMed
NEG_PREDISPOSES,C0702166,Acne,dsyn,C0376358,Malignant neoplasm of prostate,neop,PubMed
NEG_PREDISPOSES,C0175895,calcification,patf,C0007222,Cardiovascular Diseases,dsyn,PubMed
NEG_PREDISPOSES,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",dsyn,C0009450,Communicable Diseases,dsyn,PubMed
NEG_PREDISPOSES,C0001899,Alanine Transaminase,aapp,C0026946,Mycoses,dsyn,PubMed
NEG_PREDISPOSES,C0001899,Alanine Transaminase,aapp,C0036690,Septicemia,dsyn,PubMed
NEG_PREDISPOSES,C0039082,Syndrome,dsyn,C0006826,Malignant Neoplasms,neop,PubMed
NEG_PREDISPOSES,C0017337,Genes,gngm,C0026769,Multiple Sclerosis,dsyn,PubMed
NEG_PREDISPOSES,C0340293,Anterior myocardial infarction,dsyn,C0010054,Coronary Arteriosclerosis,dsyn,PubMed
NEG_PREDISPOSES,C0555907,Human leukocyte antigen allele,imft,C0473780,Neonatal alloimmune thrombocytopenia,dsyn,PubMed
NEG_PREDISPOSES,C1517883,Light Exercise,dora,C0007222,Cardiovascular Diseases,dsyn,PubMed
NEG_PREDISPOSES,C0014939,Estrogens,horm,C0038454,Cerebrovascular accident,dsyn,PubMed
NEG_PREDISPOSES,C0263541,Equine laminitis,dsyn,C0006142,Malignant neoplasm of breast,neop,PubMed
NEG_PREDISPOSES,C0560175,Carrier of disorder,fndg,C0006142,Malignant neoplasm of breast,neop,PubMed
NEG_PREDISPOSES,C0194810,Radical prostatectomy,topp,C0019360,Herpes zoster disease,dsyn,PubMed
NEG_PREDISPOSES,C0036883,Sex Hormone-Binding Globulin,aapp,C0016658,Fracture,inpo,PubMed
NEG_PREDISPOSES,C0038317,Steroids,strd,C0016658,Fracture,inpo,PubMed
NEG_PREDISPOSES,C0083355,amsacrine/azacitidine/etoposide,topp,C0003873,Rheumatoid Arthritis,dsyn,PubMed
NEG_PREDISPOSES,C0028754,Obesity,dsyn,C0020538,Hypertensive disease,dsyn,PubMed
NEG_PREDISPOSES,C1306577,Death (finding),fndg,C0006826,Malignant Neoplasms,neop,PubMed
NEG_PREDISPOSES,C0038454,Cerebrovascular accident,dsyn,C0004153,Atherosclerosis,dsyn,PubMed
NEG_PREDISPOSES,C0027941,Neutral Red,orch,C0600688,Toxic effect,inpo,PubMed
NEG_PREDISPOSES,C0647210,monooxyethylene trimethylolpropane tristearate,lipd,C0600688,Toxic effect,inpo,PubMed
NEG_PREDISPOSES,C0023870,Lithium,elii,C0232910,Teratogenesis,patf,PubMed
NEG_PREDISPOSES,C0185111,Surgical Manipulation,topp,C0034063,Pulmonary Edema,dsyn,PubMed
NEG_PREDISPOSES,C0487019,"Interleukin 2 receptor, soluble",aapp,C0242656,Disease Progression,patf,PubMed
NEG_PREDISPOSES,C0036429,Sclerosis,patf,C0029408,Degenerative polyarthritis,dsyn,PubMed
NEG_PREDISPOSES,C0009905,"Contraceptives, Oral",phsu,C1302401,Adenoma of large intestine,neop,PubMed
