PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_PREVENTS,C0005210,beta-Endorphin,aapp,C0231274,Intolerant of heat,patf,PubMed
NEG_PREVENTS,C0040905,Trichloroethylene,phsu,C0544461,Inactivation,comd,PubMed
NEG_PREVENTS,C0042210,Vaccines,imft,C0020094,Human T-lymphotropic virus 1,virs,PubMed
NEG_PREVENTS,C0020944,Immobilization,topp,C0009566,Complication,patf,PubMed
NEG_PREVENTS,C0079459,Granulocyte Colony-Stimulating Factor,aapp,C0270611,Brain Injuries,inpo,PubMed
NEG_PREVENTS,C0143630,Stem Cell Factor,aapp,C0270611,Brain Injuries,inpo,PubMed
NEG_PREVENTS,C0857127,Induction,topp,C0041296,Tuberculosis,dsyn,PubMed
NEG_PREVENTS,C0001617,Adrenal Cortex Hormones,horm,C0391821,Postcardiac injury syndrome,dsyn,PubMed
NEG_PREVENTS,C0087111,Therapeutic procedure,topp,C0002395,Alzheimer's Disease,dsyn,PubMed
NEG_PREVENTS,C0020974,passive immunization procedure,topp,C0034186,Pyelonephritis,dsyn,PubMed
NEG_PREVENTS,C0085297,"Immunoglobulins, Intravenous",imft,C0017086,Gangrene,dsyn,PubMed
NEG_PREVENTS,C0085297,"Immunoglobulins, Intravenous",imft,C0241950,Intestinal infarction,dsyn,PubMed
NEG_PREVENTS,C1513403,Molecular Target,chvs,C0879626,Adverse effects,patf,PubMed
NEG_PREVENTS,C0199176,Prophylactic treatment,topp,C0014867,Esophageal Varices,dsyn,PubMed
NEG_PREVENTS,C0419707,Pneumococcal vaccination,topp,C0012634,Disease,dsyn,PubMed
NEG_PREVENTS,C1273869,Intervention regimes,hlca,C1320716,Cardiovascular event,fndg,PubMed
NEG_PREVENTS,C0001771,Agar,phsu,C0022346,Icterus,patf,PubMed
NEG_PREVENTS,C0031412,Phenobarbital,orch,C0009952,Febrile Convulsions,dsyn,PubMed
NEG_PREVENTS,C0175730,biomedical tube device,medd,C0016059,Fibrosis,patf,PubMed
NEG_PREVENTS,C0175730,biomedical tube device,medd,C0853813,Local reaction,sosy,PubMed
NEG_PREVENTS,C0683177,cutaneous application,topp,C0342919,Essential fatty acid deficiency,patf,PubMed
NEG_PREVENTS,C0184661,Procedures,hlca,C0014038,Encephalitis,dsyn,PubMed
NEG_PREVENTS,C0050393,Acarbose,phsu,C0020459,Hyperinsulinism,dsyn,PubMed
NEG_PREVENTS,C1271481,Recombinant human granulocyte colony stimulating factor,phsu,C0023530,Leukopenia,dsyn,PubMed
NEG_PREVENTS,C0026549,Morphine,orch,C0392676,Hyperpyrexia,patf,PubMed
NEG_PREVENTS,C0039692,Tetramisole,orch,C0017160,Gastroenteritis,dsyn,PubMed
NEG_PREVENTS,C0626053,sural,phsu,C0017160,Gastroenteritis,dsyn,PubMed
NEG_PREVENTS,C0040555,Toxoids,imft,C0023885,Liver Abscess,dsyn,PubMed
NEG_PREVENTS,C0006086,Braces-Orthopedic appliances,medd,C0016664,Stress Fractures,inpo,PubMed
NEG_PREVENTS,C0037494,Sodium Chloride,phsu,C0544461,Inactivation,comd,PubMed
NEG_PREVENTS,C0025677,Methotrexate,orch,C0009566,Complication,patf,PubMed
NEG_PREVENTS,C0038348,Compression Stockings,medd,C0040038,Thromboembolism,patf,PubMed
