PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_PRODUCES,C0596988,Mutant,comd,C0037871,Spermidine,nsba,PubMed
NEG_PRODUCES,C0596988,Mutant,comd,C0037874,Spermine,nsba,PubMed
NEG_PRODUCES,C0007634,Cells,cell,C0242643,P-Glycoprotein,aapp,PubMed
NEG_PRODUCES,C0027882,Neurons,cell,C0021557,myo-Inositol-1-Phosphate Synthase,aapp,PubMed
NEG_PRODUCES,C0027882,Neurons,cell,C0596902,Membrane Transport Proteins,aapp,PubMed
NEG_PRODUCES,C0037868,sperm cell,cell,C0003323,CD4 Antigens,aapp,PubMed
NEG_PRODUCES,C0007634,Cells,cell,C0023820,Lipoproteins,aapp,PubMed
NEG_PRODUCES,C0033692,Proteoglycan,aapp,C0872896,Hops extract,orch,PubMed
NEG_PRODUCES,C0033692,Proteoglycan,gngm,C0872896,Hops extract,orch,PubMed
NEG_PRODUCES,C0064566,Laccase,gngm,C0015075,Ethylene,orch,PubMed
NEG_PRODUCES,C0064566,Laccase,aapp,C0001963,Methanol,hops,PubMed
NEG_PRODUCES,C0065647,manganese peroxidase,aapp,C0001963,Methanol,hops,PubMed
NEG_PRODUCES,C0004611,Bacteria,bact,C0028928,Oleic Acid,bacs,PubMed
NEG_PRODUCES,C0055034,cellobiose-quinone oxidoreductase,aapp,C0020281,Hydrogen Peroxide,inch,PubMed
NEG_PRODUCES,C0678897,hypothalamus-pituitary axis,ortf,C0020268,Hydrocortisone,horm,PubMed
NEG_PRODUCES,C0678897,hypothalamus-pituitary axis,ortf,C0025219,Melatonin,horm,PubMed
NEG_PRODUCES,C0678897,hypothalamus-pituitary axis,ortf,C0039601,Testosterone,horm,PubMed
NEG_PRODUCES,C1513959,Neoplastic Epithelial Cell,cell,C0665341,Estrogen Receptor alpha,aapp,PubMed
