PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_STIMULATES,C0037473,Sodium,bacs,C0021547,Inositol,carb,PubMed
NEG_STIMULATES,C0021017,Immunoglobulin Isotypes,aapp,C0004561,B-Lymphocytes,cell,PubMed
NEG_STIMULATES,C0074414,sevoflurane,orch,C0010976,Dantrolene,orch,PubMed
NEG_STIMULATES,C0040905,Trichloroethylene,orch,C0772162,AROMATICS,orch,PubMed
NEG_STIMULATES,C0114142,dimethylpropiothetin,orch,C0037494,Sodium Chloride,bacs,PubMed
NEG_STIMULATES,C0220839,Glutamate,aapp,C0039629,Tetracaine,orch,PubMed
NEG_STIMULATES,C0002367,Aluminum,elii,C0142281,Siderophores,bacs,PubMed
NEG_STIMULATES,C1533685,Injection procedure,topp,C0005823,Blood Pressure,orgf,PubMed
NEG_STIMULATES,C0027481,Atrial Natriuretic Factor,aapp,C0018338,Cyclic GMP,bacs,PubMed
NEG_STIMULATES,C0050486,acetyl-LDL,aapp,C0028128,Nitric Oxide,bacs,PubMed
NEG_STIMULATES,C0053602,Biliverdin reductase,aapp,C0005437,Bilirubin,bacs,PubMed
NEG_STIMULATES,C0908428,NR2A NMDA receptor,rcpt,C0006784,Calpain,gngm,PubMed
NEG_STIMULATES,C0040690,Transforming Growth Factor beta,aapp,C1334889,NOTCH1 gene,gngm,PubMed
NEG_STIMULATES,C0567415,Atom,elii,C0596066,alkyl group,orch,PubMed
NEG_STIMULATES,C0010124,Corticosterone,horm,C0082103,corticotropin releasing factor-binding protein,gngm,PubMed
NEG_STIMULATES,C0052575,astrin,orch,C0291573,caspase-3,gngm,PubMed
NEG_STIMULATES,C0028128,Nitric Oxide,bacs,C0242908,Glutamate Agonists,phsu,PubMed
NEG_STIMULATES,C0006560,C-reactive protein,aapp,C0009498,Complement System Proteins,gngm,PubMed
NEG_STIMULATES,C0040690,Transforming Growth Factor beta,aapp,C0245382,Galectin 3,gngm,PubMed
NEG_STIMULATES,C0376613,"Vaccines, DNA",imft,C0003242,"Antibodies, Anti-Idiotypic",gngm,PubMed
NEG_STIMULATES,C0005139,Beryllium,elii,C0021756,Interleukin-2,gngm,PubMed
NEG_STIMULATES,C0013227,Pharmaceutical Preparations,phsu,C0110613,Connexin 43,gngm,PubMed
NEG_STIMULATES,C0282774,pimagedine,orch,C0023810,Lipopolysaccharides,lipd,PubMed
NEG_STIMULATES,C0018358,Guanylate Cyclase,aapp,C0022009,Ion Channel,gngm,PubMed
NEG_STIMULATES,C0082965,iberiotoxin,aapp,C0032824,Potassium Channel,gngm,PubMed
NEG_STIMULATES,C0022956,Lactoylglutathione Lyase,aapp,C0034338,Pyruvaldehyde,orch,PubMed
NEG_STIMULATES,C0006674,Calcitriol,horm,C0108082,Vitamin D3 Receptor,gngm,PubMed
NEG_STIMULATES,C1335439,Polymerase,aapp,C0597304,Proteolysis,moft,PubMed
NEG_STIMULATES,C0017337,Genes,gngm,C0085295,Interleukin-10,aapp,PubMed
NEG_STIMULATES,C0017337,Genes,gngm,C0214743,Interleukin-13,gngm,PubMed
NEG_STIMULATES,C0044602,1-Phosphatidylinositol 3-Kinase,aapp,C0031715,Phosphorylation,moft,PubMed
NEG_STIMULATES,C0040648,TRANSCRIPTION FACTOR,aapp,C0039194,T-Lymphocyte,cell,PubMed
NEG_STIMULATES,C0079189,cytokine,aapp,C0039194,T-Lymphocyte,cell,PubMed
NEG_STIMULATES,C0009148,Cobalt,bacs,C1136254,Microbicides,phsu,PubMed
NEG_STIMULATES,C0001771,Agar,carb,C0021747,Interferons,gngm,PubMed
NEG_STIMULATES,C0032594,Polysaccharides,carb,C0021747,Interferons,gngm,PubMed
NEG_STIMULATES,C0033684,Proteins,aapp,C0035668,RNA,bacs,PubMed
NEG_STIMULATES,C0028351,Norepinephrine,nsba,C0034783,Adrenergic Receptor,gngm,PubMed
NEG_STIMULATES,C0919332,Magnetite,inch,C0015879,Ferritin,gngm,PubMed
NEG_STIMULATES,C0053608,binaltorphimine,orch,C0064239,"Receptors, Opioid, kappa",gngm,PubMed
NEG_STIMULATES,C0020616,Hypoglycemic Agents,phsu,C0041004,Triglycerides,bacs,PubMed
NEG_STIMULATES,C0020616,Hypoglycemic Agents,phsu,C0543421,Total cholesterol,strd,PubMed
NEG_STIMULATES,C0013227,Pharmaceutical Preparations,phsu,C0005802,Blood Glucose,carb,PubMed
NEG_STIMULATES,C0282625,src-Family Kinases,aapp,C0031715,Phosphorylation,moft,PubMed
NEG_STIMULATES,C0022322,Ivermectin,orch,C0055363,Chloride Channels,gngm,PubMed
NEG_STIMULATES,C0066646,abamectin,orch,C0055363,Chloride Channels,gngm,PubMed
NEG_STIMULATES,C0162772,Reactive Oxygen Species,bacs,C0068355,NADPH Oxidase,gngm,PubMed
NEG_STIMULATES,C0003241,Antibodies,aapp,C0009498,Complement System Proteins,gngm,PubMed
NEG_STIMULATES,C0014442,Enzymes,enzy,C0015528,Factor XIII,gngm,PubMed
NEG_STIMULATES,C0031858,Phytohemagglutinins,aapp,C0024264,Lymphocyte,cell,PubMed
NEG_STIMULATES,C0009498,Complement System Proteins,aapp,C0007634,Cells,cell,PubMed
NEG_STIMULATES,C0087111,Therapeutic procedure,topp,C0018270,Growth,orgf,PubMed
NEG_STIMULATES,C0033551,Prostaglandin-Endoperoxide Synthase,aapp,C0033559,Prostaglandins E,bacs,PubMed
NEG_STIMULATES,C0033554,Prostaglandins,bacs,C0001041,Acetylcholine,nsba,PubMed
NEG_STIMULATES,C0003241,Antibodies,aapp,C0012265,Digoxin,carb,PubMed
NEG_STIMULATES,C0003232,Antibiotics,antb,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_STIMULATES,C0033554,Prostaglandins,bacs,C0040018,Thrombin,gngm,PubMed
NEG_STIMULATES,C0024360,Lysophosphatidylcholines,lipd,C0002059,Alkaline Phosphatase,gngm,PubMed
NEG_STIMULATES,C0039644,Tetracycline,antb,C0041119,Tritium,elii,PubMed
NEG_STIMULATES,C0004057,Aspirin,orch,C0026249,Mitogens,phsu,PubMed
NEG_STIMULATES,C0014442,Enzymes,enzy,C0052332,Arginine deiminase,gngm,PubMed
NEG_STIMULATES,C0115922,endogenous pyrogen,aapp,C0034304,Pyrogens,bacs,PubMed
NEG_STIMULATES,C0009262,Colchicine,orch,C0115922,endogenous pyrogen,gngm,PubMed
NEG_STIMULATES,C0034266,Pyridoxal Phosphate,orch,C0036003,Adenosylmethionine Decarboxylase,gngm,PubMed
NEG_STIMULATES,C0021246,Indomethacin,orch,C0028158,Nitrogen,elii,PubMed
NEG_STIMULATES,C0041236,TRYPSIN,aapp,C0015498,Factor V,gngm,PubMed
NEG_STIMULATES,C0013615,Edrophonium,orch,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_STIMULATES,C0024297,Lymphokines,aapp,C0024432,macrophage,cell,PubMed
NEG_STIMULATES,C0041236,TRYPSIN,aapp,C0007634,Cells,cell,PubMed
NEG_STIMULATES,C0019652,Histones,aapp,C0008546,Chromatin,gngm,PubMed
NEG_STIMULATES,C0041213,Trypan Blue,orch,C0009498,Complement System Proteins,gngm,PubMed
NEG_STIMULATES,C0001455,Cyclic AMP,bacs,C0006675,Calcium,bacs,PubMed
NEG_STIMULATES,C0220839,Glutamate,aapp,C0018338,Cyclic GMP,bacs,PubMed
NEG_STIMULATES,C0026549,Morphine,orch,C0033532,Prostaglandin D2,bacs,PubMed
NEG_STIMULATES,C0015846,Fentanyl,orch,C0019588,Histamine,nsba,PubMed
NEG_STIMULATES,C0015846,Fentanyl,orch,C0147080,TRYPTASE,gngm,PubMed
NEG_STIMULATES,C0039654,Tetradecanoylphorbol Acetate,hops,C0033634,Protein Kinase C,gngm,PubMed
NEG_STIMULATES,C0039705,Tetrodotoxin,bacs,C0033371,Prolactin,gngm,PubMed
NEG_STIMULATES,C0070948,Phosphotyrosine,aapp,C0016030,Fibroblasts,cell,PubMed
NEG_STIMULATES,C0030940,Peptide Hydrolases,aapp,C0033621,Protein C,gngm,PubMed
NEG_STIMULATES,C0220821,dihydropyridine,orch,C0949369,Neurohumors,nsba,PubMed
NEG_STIMULATES,C0006684,Calcium Channel Blockers,phsu,C0949369,Neurohumors,nsba,PubMed
NEG_STIMULATES,C0079189,cytokine,aapp,C0027950,neutrophil,cell,PubMed
NEG_STIMULATES,C1334043,Homologous Gene,aapp,C0014467,eosinophil,cell,PubMed
NEG_STIMULATES,C0012854,DNA,bacs,C0021747,Interferons,gngm,PubMed
NEG_STIMULATES,C0143630,Stem Cell Factor,aapp,C0017526,Giant Cells,cell,PubMed
NEG_STIMULATES,C0063140,hydroxyguanidine,orch,C0033567,Epoprostenol,bacs,PubMed
NEG_STIMULATES,C0207071,Ciliary Neurotrophic Factor,aapp,C0001347,Acute-Phase Proteins,gngm,PubMed
NEG_STIMULATES,C0023542,Leukotriene C4,bacs,C0006675,Calcium,bacs,PubMed
NEG_STIMULATES,C0043481,Zinc,bacs,C0006632,Cadmium,elii,PubMed
NEG_STIMULATES,C0006931,Capsaicin,lipd,C0006100,Bradykinin,gngm,PubMed
NEG_STIMULATES,C0020352,Hetastarch,carb,C0079189,cytokine,gngm,PubMed
NEG_STIMULATES,C0079459,Granulocyte Colony-Stimulating Factor,aapp,C0085387,Cyclooxygenase Inhibitors,phsu,PubMed
NEG_STIMULATES,C0070570,phenol,orch,C0772162,AROMATICS,orch,PubMed
NEG_STIMULATES,C0040690,Transforming Growth Factor beta,aapp,C0018338,Cyclic GMP,bacs,PubMed
NEG_STIMULATES,C0006938,Captopril,aapp,C0917834,U-44619,eico,PubMed
