PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_USES,C0857127,Induction,topp,C0015075,Ethylene,phsu,PubMed
NEG_USES,C0040808,Treatment Protocols,topp,C0030946,Endopeptidases,aapp,PubMed
NEG_USES,C1261153,Drug measurement,lbpr,C0020980,Immunoassay,lbpr,PubMed
NEG_USES,C0034927,Patient referral,hlca,C0025086,Medical Imaging,diap,PubMed
NEG_USES,C0087111,Therapeutic procedure,topp,C0002403,Amantadine,orch,PubMed
NEG_USES,C0087111,Therapeutic procedure,topp,C0035629,Rimantadine,phsu,PubMed
NEG_USES,C0008972,Clinical Research,resa,C0026336,Study models,resd,PubMed
NEG_USES,C0596572,field study,resa,C0180392,Detectors,medd,PubMed
NEG_USES,C0282122,Respondents,popg,C0009653,"Condoms, Male",medd,PubMed
NEG_USES,C0204819,"Intubation, Nasogastric",topp,C0162645,Laryngeal Masks,medd,PubMed
NEG_USES,C0014243,Endoscopes,medd,C0181627,Ligator,medd,PubMed
NEG_USES,C0014243,Endoscopes,medd,C1446330,Band ligator,medd,PubMed
NEG_USES,C0936012,Analysis,resa,C0599748,Tandem Mass Spectrometry,mbrt,PubMed
NEG_USES,C0598908,Musicians,prog,C0026336,Study models,resd,PubMed
NEG_USES,C0087111,Therapeutic procedure,topp,C1562242,Anti-tumor necrosis factor alpha drug,phsu,PubMed
NEG_USES,C0087111,Therapeutic procedure,topp,C0072973,Ramipril,phsu,PubMed
NEG_USES,C0087111,Therapeutic procedure,topp,C0045093,gemcitabine,phsu,PubMed
NEG_USES,C0022100,Irrigation,topp,C0020281,Hydrogen Peroxide,phsu,PubMed
NEG_USES,C0728940,Excision,topp,C0336598,Vascular device,medd,PubMed
NEG_USES,C0181849,Operating microscope,medd,C1139730,Monitoring Systems,medd,PubMed
NEG_USES,C1260969,Ring device,medd,C0772162,AROMATICS,phsu,PubMed
