PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_higher_than,C0257343,tamsulosin,orch,C0032042,Placebos,medd,PubMed
NEG_higher_than,C0162326,DNA Sequence,nnon,C0162326,DNA Sequence,nnon,PubMed
NEG_higher_than,C0216784,valsartan,orch,C0006684,Calcium Channel Blockers,phsu,PubMed
NEG_higher_than,C1453642,telavancin,carb,C0087111,Therapeutic procedure,topp,PubMed
NEG_higher_than,C1533685,Injection procedure,topp,C0015237,Excipients,chvf,PubMed
NEG_higher_than,C0443354,Analyte,chvf,C0302918,Stable isotope,elii,PubMed
NEG_higher_than,C0040808,Treatment Protocols,resa,C0087111,Therapeutic procedure,topp,PubMed
NEG_higher_than,C0012512,Dipeptides,aapp,C0002520,Amino Acids,aapp,PubMed
NEG_higher_than,C0042679,Vincristine,orch,C0037494,Sodium Chloride,bacs,PubMed
NEG_higher_than,C1519595,Transcript,nnon,C0242610,"Codon, Initiator",bacs,PubMed
NEG_higher_than,C0087111,Therapeutic procedure,topp,C0032042,Placebos,medd,PubMed
NEG_higher_than,C0087111,Therapeutic procedure,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_higher_than,C1276413,Therapeutic regimen,topp,C0149783,Steroid therapy,topp,PubMed
NEG_higher_than,C0002658,Amphetamine,nsba,C0013030,Dopamine,nsba,PubMed
NEG_higher_than,C0971637,agomelatine,orch,C0032042,Placebos,medd,PubMed
NEG_higher_than,C0126732,I Kappa B-Alpha,aapp,C0387583,cyclooxygenase 2,aapp,PubMed
NEG_higher_than,C0043047,Water,inch,C0003402,Antioxidants,phsu,PubMed
NEG_higher_than,C0180524,Non-adherent dressing,medd,C0013119,Sterile coverings,medd,PubMed
NEG_higher_than,C1519595,Transcript,nnon,C0028630,Nucleotides,nnon,PubMed
NEG_higher_than,C0029468,Osteotomy,topp,C0180459,Disks,medd,PubMed
NEG_higher_than,C0070166,clopidogrel,orch,C0004057,Aspirin,orch,PubMed
NEG_higher_than,C0038317,Steroids,strd,C1533685,Injection procedure,topp,PubMed
NEG_higher_than,C0042878,Vitamin K,lipd,C0087111,Therapeutic procedure,topp,PubMed
NEG_higher_than,C0003280,Anticoagulants,phsu,C0087111,Therapeutic procedure,topp,PubMed
NEG_higher_than,C0042210,Vaccines,imft,C0042210,Vaccines,imft,PubMed
NEG_higher_than,C0009953,Convulsive therapy,topp,C0032042,Placebos,medd,PubMed
NEG_higher_than,C0728940,Excision,topp,C0076934,Transposase,aapp,PubMed
NEG_higher_than,C1136102,Capsid Proteins,aapp,C0301714,"Amino Acids, Basic",aapp,PubMed
NEG_higher_than,C0087111,Therapeutic procedure,topp,C0543467,Operative Surgical Procedures,topp,PubMed
NEG_higher_than,C0183210,Sensors,medd,C0457177,Telescope,medd,PubMed
NEG_higher_than,C1335144,Orthologous Gene,gngm,C0017337,Genes,gngm,PubMed
NEG_higher_than,C1276996,Atypical antipsychotic,phsu,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_higher_than,C0662900,AMD 3100,orch,C0087111,Therapeutic procedure,topp,PubMed
NEG_higher_than,C0043016,Walkers,medd,C0043016,Walkers,medd,PubMed
NEG_higher_than,C0394664,Acupuncture procedure,topp,C0394664,Acupuncture procedure,topp,PubMed
