PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_lower_than,C0001128,Acids,chem,C0001128,Acids,chem,PubMed
NEG_lower_than,C0000970,Acetaminophen,orch,C0003211,"Anti-Inflammatory Agents, Non-Steroidal",phsu,PubMed
NEG_lower_than,C1334043,Homologous Gene,gngm,C0085238,"Genome, Bacterial",gngm,PubMed
NEG_lower_than,C0006222,Bromides,inch,C0567415,Atom,elii,PubMed
NEG_lower_than,C1259299,Bronchipret,orch,C0259849,Synthetic drug,phsu,PubMed
NEG_lower_than,C0087111,Therapeutic procedure,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_lower_than,C0032042,Placebos,medd,C0030049,Oxycodone,orch,PubMed
NEG_lower_than,C0044410,Alfacalcidol,phsu,C0249582,paricalcitol,orch,PubMed
NEG_lower_than,C0087111,Therapeutic procedure,topp,C0249582,paricalcitol,orch,PubMed
NEG_lower_than,C0936060,indoleacetic acid,horm,C0033727,Protons,elii,PubMed
NEG_lower_than,C0949266,"Therapies, Investigational",topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_lower_than,C0013103,Drainage procedure,topp,C1515119,Systemic Therapy,topp,PubMed
NEG_lower_than,C0073096,resveratrol,orch,C0025746,Methylene blue,irda,PubMed
NEG_lower_than,C0015684,Fatty Acids,bacs,C0011134,Deet,orch,PubMed
NEG_lower_than,C0001924,Albumins,aapp,C0597177,particle,chvs,PubMed
NEG_lower_than,C0459914,Conservative therapy,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_lower_than,C0068856,nitrosamides,inch,C0026879,Mutagens,hops,PubMed
NEG_lower_than,C0033497,Propranolol,orch,C0028833,Octreotide,aapp,PubMed
NEG_lower_than,C0009429,Combined Modality Therapy,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_lower_than,C0150457,Anticoagulant therapy,topp,C0040808,Treatment Protocols,resa,PubMed
NEG_lower_than,C0002348,Althesin,phsu,C0039925,Thiopental,orch,PubMed
NEG_lower_than,C0039925,Thiopental,orch,C0591624,Hypnomidate,orch,PubMed
NEG_lower_than,C0038150,Stapedectomy,topp,C0543467,Operative Surgical Procedures,topp,PubMed
NEG_lower_than,C0879203,Pigtail Catheters,medd,C1533685,Injection procedure,topp,PubMed
NEG_lower_than,C0171023,olanzapine,orch,C0087111,Therapeutic procedure,topp,PubMed
NEG_lower_than,C0543467,Operative Surgical Procedures,topp,C0554139,Pyeloplasty,topp,PubMed
NEG_lower_than,C0037494,Sodium Chloride,bacs,C0043047,Water,inch,PubMed
NEG_lower_than,C0031676,Phospholipids,bacs,C0008377,Cholesterol,bacs,PubMed
NEG_lower_than,C0012854,DNA,bacs,C0184898,Surgical incisions,topp,PubMed
NEG_lower_than,C0043454,Zearalenone,hops,C0149313,zearalenol,bacs,PubMed
NEG_lower_than,C0526513,quinupristin-dalfopristin,antb,C0002645,Amoxicillin,antb,PubMed
NEG_lower_than,C0052297,arachidonyl-coenzyme A,bacs,C0003695,Arachidonic Acid,eico,PubMed
NEG_lower_than,C0020268,Hydrocortisone,horm,C0002520,Amino Acids,aapp,PubMed
NEG_lower_than,C0004905,Beclomethasone,horm,C0087111,Therapeutic procedure,topp,PubMed
NEG_lower_than,C0162326,DNA Sequence,nnon,C0028630,Nucleotides,nnon,PubMed
NEG_lower_than,C0018318,Guanethidine,orch,C0035179,Reserpine,orch,PubMed
NEG_lower_than,C0040732,Transplantation,topp,C0011946,Dialysis procedure,topp,PubMed
NEG_lower_than,C0369286,H NOS ANTIBODY,aapp,C0003241,Antibodies,aapp,PubMed
NEG_lower_than,C0038164,Staphylococcal Protein A,aapp,C0450442,Agent,chvf,PubMed
NEG_lower_than,C0040555,Toxoids,imft,C1520145,Whole Cell Vaccine,imft,PubMed
NEG_lower_than,C0023767,Lipid A,imft,C0015684,Fatty Acids,bacs,PubMed
NEG_lower_than,C0017725,Glucose,bacs,C0017725,Glucose,bacs,PubMed
NEG_lower_than,C0006669,Calcitonin Gene-Related Peptide,aapp,C0006668,Calcitonin,aapp,PubMed
NEG_lower_than,C0574032,Infusion procedures,topp,C0040732,Transplantation,topp,PubMed
NEG_lower_than,C1276996,Atypical antipsychotic,phsu,C0058698,Dopamine D2 Receptor,aapp,PubMed
NEG_lower_than,C0013227,Pharmaceutical Preparations,phsu,C0058698,Dopamine D2 Receptor,aapp,PubMed
NEG_lower_than,C0009906,Combined Oral Contraceptives,phsu,C0014939,Estrogens,horm,PubMed
NEG_lower_than,C0023837,Lipoxygenase,aapp,C0023837,Lipoxygenase,aapp,PubMed
NEG_lower_than,C0206788,zorubicin,antb,C0012683,Disinfection,topp,PubMed
NEG_lower_than,C0070543,phenazepam,orch,C0699194,Ativan,orch,PubMed
NEG_lower_than,C0033493,Propoxyphene,orch,C0000970,Acetaminophen,orch,PubMed
NEG_lower_than,C0533079,bis(7-amino-4-azaheptyl)dimethylsilane,orch,C0533081,bis(7-ethylamino-4-azaheptyl)dimethylsilane,orch,PubMed
NEG_lower_than,C0070421,perilla seed oil,lipd,C0036048,Safflower Oil,food,PubMed
NEG_lower_than,C0026879,Mutagens,hops,C0030015,Oxides,inch,PubMed
NEG_lower_than,C0243192,agonists,phsu,C0002333,Alprazolam,orch,PubMed
NEG_lower_than,C0243192,agonists,phsu,C0040616,Anti-Anxiety Agents,phsu,PubMed
NEG_lower_than,C0009429,Combined Modality Therapy,topp,C0061863,Granisetron,orch,PubMed
NEG_lower_than,C0752312,Mitogen-Activated Protein Kinases,aapp,C0243077,inhibitors,chvf,PubMed
NEG_lower_than,C0055003,cefepime,antb,C0007559,Ceftazidime,antb,PubMed
NEG_lower_than,C0178638,Folate,orch,C0178638,Folate,orch,PubMed
NEG_lower_than,C0025252,Membrane Proteins,aapp,C0011740,Detergents,chvf,PubMed
NEG_lower_than,C0008145,Chitinase,aapp,C1512523,hydrochloride,inch,PubMed
NEG_lower_than,C0039601,Testosterone,horm,C0019932,Hormones,horm,PubMed
NEG_lower_than,C0001617,Adrenal Cortex Hormones,horm,C0010124,Corticosterone,horm,PubMed
NEG_lower_than,C0033679,Transglutaminases,aapp,C0243077,inhibitors,chvf,PubMed
NEG_lower_than,C0003241,Antibodies,aapp,C0003316,Epitopes,imft,PubMed
NEG_lower_than,C0028959,Oligosaccharides,carb,C0041102,Trisaccharides,carb,PubMed
NEG_lower_than,C1136254,Microbicides,phsu,C1136254,Microbicides,phsu,PubMed
NEG_lower_than,C0093484,2-naphthylamide,orch,C0087870,"1,10-phenanthroline",hops,PubMed
NEG_lower_than,C0087111,Therapeutic procedure,topp,C0039607,Testosterone Propionate,horm,PubMed
NEG_lower_than,C0167626,estradiol 3-benzoate,horm,C0087111,Therapeutic procedure,topp,PubMed
NEG_lower_than,C0049941,7-methylguanine,nnon,C0018321,Guanine,bacs,PubMed
NEG_lower_than,C0019588,Histamine,nsba,C0006675,Calcium,bacs,PubMed
NEG_lower_than,C0008864,Citrulline,aapp,C0006960,Carbamyl Phosphate,bacs,PubMed
NEG_lower_than,C1334043,Homologous Gene,gngm,C0028630,Nucleotides,nnon,PubMed
NEG_lower_than,C0005971,Bone plates,medd,C0005971,Bone plates,medd,PubMed
NEG_lower_than,C0023556,Levamisole,orch,C0007009,Carbon,elii,PubMed
NEG_lower_than,C0031955,Piperacillin,antb,C0040193,Ticarcillin,antb,PubMed
NEG_lower_than,C0003320,Antigens,bacs,C0003320,Antigens,bacs,PubMed
NEG_lower_than,C0030855,Pentachlorophenol,hops,C0001034,Acetylaminofluorene,hops,PubMed
NEG_lower_than,C0007955,Charcoal,elii,C0011946,Dialysis procedure,topp,PubMed
NEG_lower_than,C0014582,Epirubicin,orch,C0013089,Doxorubicin,antb,PubMed
NEG_lower_than,C0038585,Substance P,aapp,C0053672,bipiperidyl mustard,orch,PubMed
NEG_lower_than,C0626053,sural,phsu,C0626053,sural,phsu,PubMed
NEG_lower_than,C0021983,Iodohippuric Acid,irda,C0013254,Pentetic Acid,irda,PubMed
NEG_lower_than,C0025859,Metoprolol,orch,C0025859,Metoprolol,orch,PubMed
NEG_lower_than,C0014277,Enflurane,orch,C0018549,Halothane,orch,PubMed
NEG_lower_than,C0019873,Ethidium Bromide,orch,C0019873,Ethidium Bromide,orch,PubMed
NEG_lower_than,C0206460,Enoxaparin,carb,C0917726,Fragmin,carb,PubMed
NEG_lower_than,C0047456,3-Hydroxybutyric Acid,orch,C0001002,Acetone,orch,PubMed
NEG_lower_than,C0059865,Etodolac,orch,C0021246,Indomethacin,orch,PubMed
NEG_lower_than,C0013879,Elements,elii,C0013879,Elements,elii,PubMed
NEG_lower_than,C0085590,catheter device,medd,C0199176,Prophylactic treatment,topp,PubMed
NEG_lower_than,C0012586,Dipyrone,orch,C0025376,Meperidine,orch,PubMed
NEG_lower_than,C0038766,Sulfonylurea Compounds,orch,C0025598,Metformin,orch,PubMed
NEG_lower_than,C0302912,Radicals (chemistry),chvs,C0027695,Nephrectomy,topp,PubMed
NEG_lower_than,C0019046,Hemoglobin,aapp,C0764700,"4-methyl-5-ethoxalyl-1H-2,3,4,5-tetrahydro-1,5-benzodiazepin-2-one",orch,PubMed
NEG_lower_than,C0034303,Pyrogallol,hops,C0023570,Levodopa,aapp,PubMed
NEG_lower_than,C0066815,morphine-3-glucuronide,phsu,C0026549,Morphine,orch,PubMed
NEG_lower_than,C0728805,Cephalosporinase,aapp,C0243077,inhibitors,chvf,PubMed
NEG_lower_than,C0002521,"Amino Acids, Branched-Chain",aapp,C0041119,Tritium,elii,PubMed
NEG_lower_than,C0004057,Aspirin,orch,C0004057,Aspirin,orch,PubMed
NEG_lower_than,C0018284,Growth Factor,bacs,C0021756,Interleukin-2,aapp,PubMed
NEG_lower_than,C0034798,Dopamine Receptor,aapp,C0013030,Dopamine,nsba,PubMed
NEG_lower_than,C0027695,Nephrectomy,topp,C0013931,"Embolization, Therapeutic",topp,PubMed
NEG_lower_than,C0013216,Pharmacotherapy,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_lower_than,C0038581,Neurokinin A,aapp,C0038585,Substance P,aapp,PubMed
NEG_lower_than,C0003241,Antibodies,aapp,C0596072,amino group,inch,PubMed
NEG_lower_than,C0728940,Excision,topp,C0021900,Intrauterine Devices,medd,PubMed
NEG_lower_than,C0003211,"Anti-Inflammatory Agents, Non-Steroidal",phsu,C0004057,Aspirin,orch,PubMed
NEG_lower_than,C0042313,Vancomycin,aapp,C0087111,Therapeutic procedure,topp,PubMed
NEG_lower_than,C0041004,Triglycerides,bacs,C0031001,Perfusion (procedure),topp,PubMed
NEG_lower_than,C0032042,Placebos,medd,C0008281,Chlorpheniramine,orch,PubMed
NEG_lower_than,C0021757,Interleukin-3,aapp,C0014822,Erythropoietin,aapp,PubMed
NEG_lower_than,C0031507,Phenytoin,orch,C0031507,Phenytoin,orch,PubMed
NEG_lower_than,C0597357,receptor,aapp,C0012854,DNA,bacs,PubMed
NEG_lower_than,C0017797,Glutamine,aapp,C0017797,Glutamine,aapp,PubMed
NEG_lower_than,C0003320,Antigens,bacs,C0770206,"Insulin, Pork",aapp,PubMed
NEG_lower_than,C0037494,Sodium Chloride,bacs,C0037494,Sodium Chloride,bacs,PubMed
NEG_lower_than,C0543467,Operative Surgical Procedures,topp,C0041447,Tympanoplasty,topp,PubMed
NEG_lower_than,C0005367,Bicarbonates,inch,C0000975,Acetate,orch,PubMed
