PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
NEG_same_as,C0014442,Enzymes,enzy,C0035542,Ribonucleases,aapp,PubMed
NEG_same_as,C0286651,atorvastatin,orch,C0289884,copolymer 1,aapp,PubMed
NEG_same_as,C0001128,Acids,chem,C0123163,idebenone,orch,PubMed
NEG_same_as,C0053490,beta-Naphthoflavone,orch,C0243192,agonists,phsu,PubMed
NEG_same_as,C0009325,Collagen,aapp,C0009325,Collagen,aapp,PubMed
NEG_same_as,C0596335,chromophore,chvf,C0043047,Water,inch,PubMed
NEG_same_as,C1336767,Topoisomerase,aapp,C1336767,Topoisomerase,aapp,PubMed
NEG_same_as,C0018282,Growth Inhibitors,bacs,C0014930,Estrogen Antagonists,phsu,PubMed
NEG_same_as,C0813971,Environmental Tobacco Smoke,hops,C0813971,Environmental Tobacco Smoke,hops,PubMed
NEG_same_as,C0110462,Colistimethate sodium,aapp,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_same_as,C0008318,Cholecalciferol,phsu,C0005575,Biotin,orch,PubMed
NEG_same_as,C0005575,Biotin,orch,C0034335,Pyrrolizidine Alkaloids,bacs,PubMed
NEG_same_as,C0014442,Enzymes,enzy,C0020289,Hydrolase,aapp,PubMed
NEG_same_as,C0035700,"RNA, Nuclear",bacs,C0035668,RNA,bacs,PubMed
NEG_same_as,C0031656,PHOSPHOGLYCERATE KINASE,aapp,C0031656,PHOSPHOGLYCERATE KINASE,aapp,PubMed
NEG_same_as,C0019139,"Heparin, Low-Molecular-Weight",carb,C0019134,Heparin,bacs,PubMed
NEG_same_as,C0075766,Tachykinin Receptor,aapp,C0164209,Substance P Receptor,aapp,PubMed
NEG_same_as,C0597357,receptor,aapp,C0597357,receptor,aapp,PubMed
NEG_same_as,C0132555,Nitric Oxide Synthase,aapp,C0003765,Arginine,aapp,PubMed
NEG_same_as,C0060327,fibrinmonomer,aapp,C0016016,Plasmin,aapp,PubMed
NEG_same_as,C0543467,Operative Surgical Procedures,topp,C0022614,Ketamine,orch,PubMed
NEG_same_as,C0025550,Metallothionein IIA,aapp,C0025545,Metallothionein,aapp,PubMed
NEG_same_as,C0015133,Etoposide,carb,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_same_as,C0015684,Fatty Acids,bacs,C0060095,Fatty Acid-Binding Proteins,aapp,PubMed
NEG_same_as,C0013879,Elements,elii,C0212908,MAX Interacting Protein 1,aapp,PubMed
NEG_same_as,C0243192,agonists,phsu,C0005456,Binding Sites,rcpt,PubMed
NEG_same_as,C0008543,Chromates,inch,C0066695,molybdate,inch,PubMed
NEG_same_as,C0012426,Dimethylformamide,irda,C0033684,Proteins,aapp,PubMed
NEG_same_as,C0419017,High frequency oscillatory ventilation,topp,C0199470,Mechanical ventilation,topp,PubMed
NEG_same_as,C0086605,Vitamin K 2,lipd,C0086605,Vitamin K 2,lipd,PubMed
NEG_same_as,C0007447,Cations,chvs,C0302912,Radicals (chemistry),chvs,PubMed
NEG_same_as,C0080093,N-Methyl-D-Aspartate Receptors,aapp,C0033439,Propanidid,orch,PubMed
NEG_same_as,C0043047,Water,inch,C0043047,Water,inch,PubMed
NEG_same_as,C0208355,multicatalytic endopeptidase complex,aapp,C0025552,Metals,inch,PubMed
NEG_same_as,C0042670,Vinblastine,bacs,C0042670,Vinblastine,bacs,PubMed
NEG_same_as,C0599561,E protein,aapp,C0005456,Binding Sites,rcpt,PubMed
NEG_same_as,C0020281,Hydrogen Peroxide,inch,C0030230,Palladium,elii,PubMed
NEG_same_as,C0021699,Integral Membrane Proteins,aapp,C0035696,"RNA, Messenger",bacs,PubMed
NEG_same_as,C1176309,bortezomib,orch,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_same_as,C0527316,donepezil,orch,C0527316,donepezil,orch,PubMed
NEG_same_as,C1136131,Plant Tumor-Inducing Plasmids,bacs,C0075739,T-DNA,nnon,PubMed
NEG_same_as,C0012854,DNA,bacs,C0075739,T-DNA,nnon,PubMed
NEG_same_as,C0033727,Protons,elii,C0219458,silicon phthalocyanine,irda,PubMed
NEG_same_as,C0021641,Insulin,aapp,C0312359,phenylpyruvate tautomerase,aapp,PubMed
NEG_same_as,C0012854,DNA,bacs,C0178959,Adapters,medd,PubMed
NEG_same_as,C0006675,Calcium,bacs,C0052532,aspartate-glutamate carrier,aapp,PubMed
NEG_same_as,C0220806,Chemicals,chem,C0016198,Flame Retardants,chvf,PubMed
NEG_same_as,C0003232,Antibiotics,antb,C0032136,Plasmids,bacs,PubMed
NEG_same_as,C0021083,Immunotherapy,topp,C0087111,Therapeutic procedure,topp,PubMed
NEG_same_as,C0087071,Telomerase,aapp,C0042196,Vaccination,topp,PubMed
NEG_same_as,C0242209,Sugars,carb,C0033382,Proline,aapp,PubMed
NEG_same_as,C0032491,Polygalacturonase,aapp,C0032491,Polygalacturonase,aapp,PubMed
NEG_same_as,C0243077,inhibitors,chvf,C0036733,Serine Proteinase Inhibitors,bacs,PubMed
NEG_same_as,C0029224,Organic Chemicals,orch,C0087111,Therapeutic procedure,topp,PubMed
NEG_same_as,C0243077,inhibitors,chvf,C0015075,Ethylene,orch,PubMed
NEG_same_as,C0002520,Amino Acids,aapp,C0059100,"Xylan Endo-1,3-beta-Xylosidase",aapp,PubMed
NEG_same_as,C0013227,Pharmaceutical Preparations,phsu,C0013227,Pharmaceutical Preparations,phsu,PubMed
NEG_same_as,C0002488,Amidohydrolases,aapp,C0030940,Peptide Hydrolases,aapp,PubMed
NEG_same_as,C0034833,"Receptors, Progesterone",aapp,C0032120,Plasma Proteins,aapp,PubMed
NEG_same_as,C0033311,Progesterone-Binding Globulin,aapp,C0040643,Transcortin,aapp,PubMed
NEG_same_as,C0166417,PPAR gamma,aapp,C0071097,pioglitazone,orch,PubMed
NEG_same_as,C0002059,Alkaline Phosphatase,aapp,C0002059,Alkaline Phosphatase,aapp,PubMed
NEG_same_as,C0870883,Metabolites,bacs,C0369760,Organic acid,orch,PubMed
NEG_same_as,C0009325,Collagen,aapp,C0033684,Proteins,aapp,PubMed
NEG_same_as,C0033684,Proteins,aapp,C0084795,Tristetraprolin,aapp,PubMed
NEG_same_as,C0013227,Pharmaceutical Preparations,phsu,C0022209,isoniazid,orch,PubMed
NEG_same_as,C0033727,Protons,elii,C0033727,Protons,elii,PubMed
NEG_same_as,C0010843,Cytosine,bacs,C0049308,5-Methylcytosine,bacs,PubMed
NEG_same_as,C0185003,Reparative closure,topp,C0185003,Reparative closure,topp,PubMed
NEG_same_as,C0030016,Oxidoreductase,aapp,C0001942,Alcohol dehydrogenase,aapp,PubMed
NEG_same_as,C0028953,Oligonucleotides,nnon,C0035693,"RNA, Double-Stranded",bacs,PubMed
