PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
lower_than,C0001645,Adrenergic beta-Antagonists,phsu,C0003364,Antihypertensive Agents,phsu,PubMed
lower_than,C0021665,Insulin-Like Growth Factor I,aapp,C0450442,Agent,chvf,PubMed
lower_than,C0596040,adduct,chvs,C0007447,Cations,chvs,PubMed
lower_than,C0040048,Thromboplastin,aapp,C0025252,Membrane Proteins,aapp,PubMed
lower_than,C0567415,Atom,elii,C0682927,secondary alcohols,orch,PubMed
lower_than,C0001128,Acids,chem,C0022947,Lactones,orch,PubMed
lower_than,C0025552,Metals,inch,C0006030,Boron,elii,PubMed
lower_than,C0017066,Ganciclovir,nnon,C1519252,Sequential Treatment,topp,PubMed
lower_than,C0002499,Amikacin,antb,C0017436,Gentamicins,antb,PubMed
lower_than,C0087111,Therapeutic procedure,topp,C0014939,Estrogens,horm,PubMed
lower_than,C0033798,Pseudoephedrine,orch,C0002658,Amphetamine,nsba,PubMed
lower_than,C0001655,Corticotropin,aapp,C0001655,Corticotropin,aapp,PubMed
lower_than,C0002911,"Anesthesia, Conduction",topp,C0002915,General Anesthesia,topp,PubMed
lower_than,C0728940,Excision,topp,C0536877,polyvinyl acetal,orch,PubMed
lower_than,C0210657,pemetrexed,orch,C0248521,Super EBA,bodm,PubMed
lower_than,C0072262,prostaglandin A2,bacs,C0144576,Paclitaxel,orch,PubMed
lower_than,C0003241,Antibodies,aapp,C0003241,Antibodies,aapp,PubMed
lower_than,C0006675,Calcium,bacs,C0006675,Calcium,bacs,PubMed
lower_than,C0243077,inhibitors,chvf,C0243071,Analog,chvs,PubMed
lower_than,C0184054,Tray,medd,C0184054,Tray,medd,PubMed
lower_than,C1135135,erlotinib,orch,C0520484,Xenograft procedure,topp,PubMed
lower_than,C0040732,Transplantation,topp,C0079646,Islets of Langerhans Transplantation,topp,PubMed
