PREDICATE,SUBJECT_CUI,SUBJECT_NAME,SUBJECT_SEMTYPE,OBJECT_CUI,OBJECT_NAME,OBJECT_SEMTYPE,Database
same_as,C0015505,Factor VIIa,aapp,C0040048,Thromboplastin,aapp,PubMed
same_as,C0014563,Epinephrine,horm,C0750164,VENOUS ACCESS,medd,PubMed
same_as,C0005978,Bone Wires,medd,C0596335,chromophore,chvf,PubMed
same_as,C0595726,Leukotriene Antagonists,orch,C0243192,agonists,phsu,PubMed
same_as,C0015295,Exons,bacs,C0057256,Defensins,aapp,PubMed
same_as,C0279494,Oestrogen therapy,topp,C0032042,Placebos,medd,PubMed
same_as,C0243077,inhibitors,chvf,C0450442,Agent,chvf,PubMed
same_as,C0012611,Disaccharides,carb,C0012611,Disaccharides,carb,PubMed
same_as,C0717758,Etanercept,aapp,C0017710,Glucocorticoids,horm,PubMed
same_as,C0150685,NASAL PACKING,topp,C0536877,polyvinyl acetal,orch,PubMed
same_as,C0947702,Fibrin Seal,aapp,C0185012,Closure by staple,topp,PubMed
same_as,C0020261,Hydrochlorothiazide,orch,C0717411,amlodipine-benazepril,phsu,PubMed
same_as,C0596973,monomer,chvs,C0596973,monomer,chvs,PubMed
same_as,C0020852,Immunoglobulin G,aapp,C0020852,Immunoglobulin G,aapp,PubMed
same_as,C0017725,Glucose,bacs,C0035417,Rhamnose,bacs,PubMed
same_as,C0032521,Polymers,bodm,C0017718,Glucosamine,carb,PubMed
same_as,C0032521,Polymers,bodm,C0162969,Chitosan,carb,PubMed
same_as,C0032521,Polymers,bodm,C0032521,Polymers,bodm,PubMed
same_as,C0093999,nedaplatin,orch,C0040808,Treatment Protocols,resa,PubMed
same_as,C1609165,tocilizumab,aapp,C0005522,Biological Products,bacs,PubMed
same_as,C0087111,Therapeutic procedure,topp,C0087111,Therapeutic procedure,topp,PubMed
same_as,C0029923,Ovalbumin,aapp,C0011777,Dexamethasone,phsu,PubMed
same_as,C1533685,Injection procedure,topp,C0032042,Placebos,medd,PubMed
same_as,C0021102,Implants,medd,C0087111,Therapeutic procedure,topp,PubMed
same_as,C0032950,prednisolone,phsu,C0011777,Dexamethasone,phsu,PubMed
same_as,C0032950,prednisolone,phsu,C0087111,Therapeutic procedure,topp,PubMed
same_as,C0121925,HIV-1 Reverse Transcriptase,aapp,C0132326,Nevirapine,nnon,PubMed
same_as,C0034798,Dopamine Receptor,aapp,C0299792,aripiprazole,orch,PubMed
same_as,C0034798,Dopamine Receptor,aapp,C0040615,Antipsychotic Agents,phsu,PubMed
same_as,C0069678,osteum,lipd,C0043047,Water,inch,PubMed
same_as,C0031617,Lecithin,bacs,C0031676,Phospholipids,bacs,PubMed
same_as,C0185115,Extraction,topp,C0028351,Norepinephrine,nsba,PubMed
same_as,C0043047,Water,inch,C0450442,Agent,chvf,PubMed
same_as,C0043047,Water,inch,C0043047,Water,inch,PubMed
same_as,C0052781,azidomorphine,orch,C0026549,Morphine,orch,PubMed
same_as,C0003524,Apazone,orch,C0450442,Agent,chvf,PubMed
same_as,C0024373,Lisuride Maleate,orch,C0243077,inhibitors,chvf,PubMed
same_as,C0002482,Amides,orch,C0002482,Amides,orch,PubMed
same_as,C0038761,Sulfones,orch,C0002482,Amides,orch,PubMed
same_as,C0025869,Metrizamide,orch,C1533685,Injection procedure,topp,PubMed
same_as,C1533685,Injection procedure,topp,C0012007,Sodium Diatrizoate,orch,PubMed
same_as,C1533685,Injection procedure,topp,C1533685,Injection procedure,topp,PubMed
same_as,C0037473,Sodium,bacs,C0012004,Diatrizoate,irda,PubMed
same_as,C0182400,Probes,medd,C0182400,Probes,medd,PubMed
same_as,C0024284,Lymphocytotoxic Antibodies,aapp,C0087111,Therapeutic procedure,topp,PubMed
same_as,C0031681,Phosphonoacetic Acid,opco,C0020811,Idoxuridine,nnon,PubMed
same_as,C0012854,DNA,bacs,C0087111,Therapeutic procedure,topp,PubMed
same_as,C0041041,Trimethoprim,orch,C0041044,Trimethoprim-Sulfamethoxazole Combination,orch,PubMed
same_as,C0033850,Psilocybine,orch,C0024334,Lysergic Acid Diethylamide,hops,PubMed
same_as,C0087111,Therapeutic procedure,topp,C0003450,Antivenins,aapp,PubMed
same_as,C0596922,methyl group,orch,C0012854,DNA,bacs,PubMed
